time,sensor01value
2017-01-31 10:00:00,478549
2017-01-31 11:00:00,477857
2017-01-31 12:00:00,474374
2017-01-31 13:00:00,474956
2017-01-31 14:00:00,475478
2017-01-31 15:00:00,476711
2017-01-31 16:00:00,470750
2017-01-31 17:00:00,473330
2017-01-31 18:00:00,475662
2017-01-31 19:00:00,495585
2017-01-31 20:00:00,484473
2017-01-31 21:00:00,493351
2017-01-31 22:00:00,517387
2017-01-31 23:00:00,523885
2017-02-01 00:00:00,524499
2017-02-01 01:00:00,528109
2017-02-01 02:00:00,525163
2017-02-01 03:00:00,524949
2017-02-01 04:00:00,528264
2017-02-01 05:00:00,532484
2017-02-01 06:00:00,470588
2017-02-01 07:00:00,528569
2017-02-01 08:00:00,496905
2017-02-01 09:00:00,510093
2017-02-01 10:00:00,527985
2017-02-01 11:00:00,517164
2017-02-01 12:00:00,530957
2017-02-01 13:00:00,534502
2017-02-01 14:00:00,544767
2017-02-01 15:00:00,565968
2017-02-01 16:00:00,571683
2017-02-01 17:00:00,584960
2017-02-01 18:00:00,607854
2017-02-01 19:00:00,611979
2017-02-01 20:00:00,605534
2017-02-01 21:00:00,607131
2017-02-01 22:00:00,611250
2017-02-01 23:00:00,610698
2017-02-02 00:00:00,610885
2017-02-02 01:00:00,610593
2017-02-02 02:00:00,610309
2017-02-02 03:00:00,603620
2017-02-02 04:00:00,615897
2017-02-02 05:00:00,619254
2017-02-02 06:00:00,629567
2017-02-02 07:00:00,637328
2017-02-02 08:00:00,602189
2017-02-02 09:00:00,603119
2017-02-02 10:00:00,615291
2017-02-02 11:00:00,644396
2017-02-02 12:00:00,709242
2017-02-02 13:00:00,707986
2017-02-02 14:00:00,734263
2017-02-02 15:00:00,780138
2017-02-02 16:00:00,876161
2017-02-02 17:00:00,865779
2017-02-02 18:00:00,954273
2017-02-02 19:00:00,994673
2017-02-02 20:00:00,978401
2017-02-02 21:00:00,972864
2017-02-02 22:00:00,876834
2017-02-02 23:00:00,850952
2017-02-03 00:00:00,775464
2017-02-03 01:00:00,706702
2017-02-03 02:00:00,706550
2017-02-03 03:00:00,699659
2017-02-03 04:00:00,705940
2017-02-03 05:00:00,699554
2017-02-03 06:00:00,705940
2017-02-03 07:00:00,702182
2017-02-03 08:00:00,654928
2017-02-03 09:00:00,654930
2017-02-03 10:00:00,675163
2017-02-03 11:00:00,706846
2017-02-03 12:00:00,764568
2017-02-03 13:00:00,781453
2017-02-03 14:00:00,867577
2017-02-03 15:00:00,984528
2017-02-03 16:00:00,1110481
2017-02-03 17:00:00,1242864
2017-02-03 18:00:00,1265955
2017-02-03 19:00:00,1327500
2017-02-03 20:00:00,1264228
2017-02-03 21:00:00,1232343
2017-02-03 22:00:00,1096980
2017-02-03 23:00:00,1096153
2017-02-04 00:00:00,986255
2017-02-04 01:00:00,911173
2017-02-04 02:00:00,844928
2017-02-04 03:00:00,835239
2017-02-04 04:00:00,779042
2017-02-04 05:00:00,769621
2017-02-04 06:00:00,769674
2017-02-04 07:00:00,762966
2017-02-04 08:00:00,761958
2017-02-04 09:00:00,506220
2017-02-04 10:00:00,767200
2017-02-04 11:00:00,805918
2017-02-04 12:00:00,854780
2017-02-04 13:00:00,908748
2017-02-04 14:00:00,962477
2017-02-04 15:00:00,978454
2017-02-04 16:00:00,1105610
2017-02-04 17:00:00,1098233
2017-02-04 18:00:00,1094330
2017-02-04 19:00:00,1176014
2017-02-04 20:00:00,1191627
2017-02-04 21:00:00,1165756
2017-02-04 22:00:00,1072611
2017-02-04 23:00:00,997944
2017-02-05 00:00:00,963816
2017-02-05 01:00:00,916435
2017-02-05 02:00:00,947395
2017-02-05 03:00:00,931710
2017-02-05 04:00:00,931710
2017-02-05 05:00:00,930909
2017-02-05 06:00:00,931475
2017-02-05 07:00:00,908940
2017-02-05 08:00:00,852059
2017-02-05 09:00:00,940313
2017-02-05 10:00:00,926850
2017-02-05 11:00:00,975228
2017-02-05 12:00:00,978401
2017-02-05 13:00:00,1123513
2017-02-05 14:00:00,1486659
2017-02-05 15:00:00,1816229
2017-02-05 16:00:00,1908591
2017-02-05 17:00:00,1893601
2017-02-05 18:00:00,2343305
2017-02-05 19:00:00,2627834
2017-02-05 20:00:00,2346118
2017-02-05 21:00:00,2528777
2017-02-05 22:00:00,1970902
2017-02-05 23:00:00,1692961
2017-02-06 00:00:00,1660274
2017-02-06 01:00:00,1490077
2017-02-06 02:00:00,1303982
2017-02-06 03:00:00,1241227
2017-02-06 04:00:00,1209057
2017-02-06 05:00:00,1239500
2017-02-06 06:00:00,1234532
2017-02-06 07:00:00,1201697
2017-02-06 08:00:00,1119995
2017-02-06 09:00:00,1056385
2017-02-06 10:00:00,1167989
2017-02-06 11:00:00,1183313
2017-02-06 12:00:00,1252336
2017-02-06 13:00:00,1250965
2017-02-06 14:00:00,1778006
2017-02-06 15:00:00,1887619
2017-02-06 16:00:00,2609034
2017-02-06 17:00:00,2759327
