15cm,15cm_bias,45cm,45cm_bias,75cm,75cm_bias,battery,module,when
"-1",0,-1,0,-1,0,5.262050628662109,01,2017-04-25T12:24:09.304Z
"-1",0,-1,0,-1,0,5.213101863861084,01,2017-04-25T12:26:36.926Z
"-1",0,-1,0,-1,0,5.262050628662109,01,2017-04-25T12:26:45.316Z
"-1",0,-1,0,-1,0,5.337222576141357,01,2017-04-25T12:57:09.461Z
1303,427,759,-123,725,175,5.362759590148926,01,2017-04-25T13:57:23.063Z
1273,449,760,-238,735,199,5.362759590148926,01,2017-04-25T14:28:01.686Z
1268,457,753,-269,738,207,5.213101863861084,01,2017-04-25T14:36:13.741Z
1255,471,728,-319,745,219,5.3119282722473145,01,2017-04-25T15:07:25.188Z
1233,461,692,-333,750,222,5.337222576141357,01,2017-04-25T15:37:20.857Z
1210,457,653,-319,754,227,5.337222576141357,01,2017-04-25T16:07:08.102Z
1194,482,618,-313,755,238,5.3119282722473145,01,2017-04-25T16:36:50.261Z
1163,462,583,-289,756,238,5.3119282722473145,01,2017-04-25T17:06:32.025Z
1142,487,552,-282,754,240,5.3119282722473145,01,2017-04-25T17:36:03.387Z
1125,486,525,-275,752,239,5.3119282722473145,01,2017-04-25T18:05:37.488Z
1103,462,502,-268,754,239,5.286871910095215,01,2017-04-25T18:35:02.888Z
1093,472,482,-260,753,238,5.286871910095215,01,2017-04-25T19:04:23.149Z
1080,481,463,-257,751,239,5.286871910095215,01,2017-04-25T19:33:41.095Z
1075,464,447,-249,753,243,5.262050628662109,01,2017-04-25T20:02:58.546Z
1062,477,430,-251,746,239,5.262050628662109,01,2017-04-25T20:32:11.300Z
1059,467,416,-244,744,238,5.237461566925049,01,2017-04-25T21:01:19.090Z
1050,468,399,-240,742,242,5.237461566925049,01,2017-04-25T21:30:25.280Z
1042,459,388,-232,737,230,5.237461566925049,01,2017-04-25T21:59:30.852Z
1047,460,375,-221,736,238,5.213101863861084,01,2017-04-25T22:28:36.013Z
1028,453,361,-219,732,234,5.213101863861084,01,2017-04-25T22:57:41.095Z
1031,453,355,-214,733,236,5.213101863861084,01,2017-04-25T23:26:46.038Z
1028,459,347,-208,730,233,5.188966751098633,01,2017-04-25T23:55:50.933Z
1015,471,338,-207,723,238,5.188966751098633,01,2017-04-26T00:24:55.101Z
1011,463,328,-202,722,238,5.188966751098633,01,2017-04-26T00:53:59.015Z
1005,463,321,-198,720,230,5.188966751098633,01,2017-04-26T01:23:02.862Z
1001,430,316,-190,722,228,5.165054798126221,01,2017-04-26T01:52:06.457Z
993,441,311,-194,714,223,5.165054798126221,01,2017-04-26T02:21:09.963Z
999,456,307,-189,712,231,5.165054798126221,01,2017-04-26T02:50:13.250Z
995,457,302,-191,711,230,5.165054798126221,01,2017-04-26T03:19:16.551Z
994,454,294,-185,710,230,5.165054798126221,01,2017-04-26T03:48:19.672Z
986,456,288,-180,706,226,5.141361236572266,01,2017-04-26T04:17:22.973Z
976,435,285,-181,705,224,5.141361236572266,01,2017-04-26T04:46:26.228Z
973,439,283,-176,702,225,5.141361236572266,01,2017-04-26T05:15:29.373Z
982,444,281,-173,703,227,5.141361236572266,01,2017-04-26T05:44:32.576Z
975,450,278,-176,695,221,5.141361236572266,01,2017-04-26T06:13:35.620Z
969,432,275,-171,694,221,5.117884635925293,01,2017-04-26T06:42:38.402Z
965,436,270,-175,692,221,5.117884635925293,01,2017-04-26T07:11:41.072Z
974,447,269,-171,694,224,5.117884635925293,01,2017-04-26T07:40:43.543Z
968,448,268,-172,691,226,5.117884635925293,01,2017-04-26T08:09:45.798Z
965,423,265,-165,689,215,5.0946221351623535,01,2017-04-26T08:38:47.933Z
969,442,262,-163,687,222,5.0946221351623535,01,2017-04-26T09:07:50.759Z
959,441,260,-166,685,216,5.0946221351623535,01,2017-04-26T09:36:57.198Z
956,422,258,-161,684,212,5.117884635925293,01,2017-04-26T10:06:11.564Z
955,430,260,-166,682,219,5.117884635925293,01,2017-04-26T10:35:32.732Z
936,441,257,-163,680,210,5.117884635925293,01,2017-04-26T11:04:57.414Z
922,418,255,-162,678,218,5.141361236572266,01,2017-04-26T11:34:27.886Z
918,418,258,-161,675,219,5.141361236572266,01,2017-04-26T12:03:53.535Z
909,417,256,-161,675,218,5.141361236572266,01,2017-04-26T12:33:20.094Z
899,417,256,-158,673,219,5.141361236572266,01,2017-04-26T13:02:50.853Z
888,431,255,-160,673,214,5.141361236572266,01,2017-04-26T13:32:26.201Z
872,402,250,-154,672,217,5.141361236572266,01,2017-04-26T14:02:19.933Z
873,420,250,-154,672,218,5.141361236572266,01,2017-04-26T14:32:10.983Z
864,410,252,-152,672,219,5.141361236572266,01,2017-04-26T15:01:59.535Z
847,406,249,-152,671,212,5.141361236572266,01,2017-04-26T15:31:51.677Z
843,389,246,-149,669,216,5.141361236572266,01,2017-04-26T16:01:27.798Z
835,401,249,-150,670,214,5.141361236572266,01,2017-04-26T16:30:57.009Z
835,406,248,-153,666,217,5.141361236572266,01,2017-04-26T17:00:17.122Z
825,383,245,-148,664,213,5.117884635925293,01,2017-04-26T17:29:44.973Z
823,394,245,-148,664,215,5.117884635925293,01,2017-04-26T17:59:17.851Z
813,408,246,-154,661,219,5.117884635925293,01,2017-04-26T18:28:36.630Z
812,391,242,-147,661,211,5.0946221351623535,01,2017-04-26T18:57:47.802Z
812,389,243,-145,655,213,5.0946221351623535,01,2017-04-26T19:26:58.160Z
817,410,242,-148,657,213,5.0946221351623535,01,2017-04-26T19:56:08.493Z
813,389,243,-149,653,212,5.0946221351623535,01,2017-04-26T20:25:17.976Z
817,404,241,-147,656,214,5.071569442749023,01,2017-04-26T20:54:23.578Z
819,404,242,-146,650,212,5.071569442749023,01,2017-04-26T21:23:28.962Z
813,387,237,-145,651,207,5.071569442749023,01,2017-04-26T21:52:33.751Z
811,387,237,-140,650,206,5.04872465133667,01,2017-04-26T22:21:38.295Z
807,398,237,-146,646,208,5.04872465133667,01,2017-04-26T22:50:42.724Z
812,396,238,-144,645,205,5.04872465133667,01,2017-04-26T23:19:47.006Z
816,407,240,-144,642,209,5.04872465133667,01,2017-04-26T23:48:51.263Z
809,395,238,-145,640,205,5.04872465133667,01,2017-04-27T00:17:55.372Z
809,383,236,-145,642,202,5.026083946228027,01,2017-04-27T00:46:59.133Z
811,406,238,-145,641,211,5.026083946228027,01,2017-04-27T01:16:02.381Z
807,387,237,-141,638,202,5.026083946228027,01,2017-04-27T01:45:05.295Z
808,389,238,-140,636,201,5.026083946228027,01,2017-04-27T02:14:07.852Z
813,403,239,-148,636,207,5.026083946228027,01,2017-04-27T02:43:10.246Z
804,392,235,-145,634,203,5.0036468505859375,01,2017-04-27T03:12:12.412Z
813,402,237,-143,637,203,5.0036468505859375,01,2017-04-27T03:41:14.304Z
806,410,238,-144,634,209,5.0036468505859375,01,2017-04-27T04:10:16.231Z
813,400,238,-143,635,205,5.0036468505859375,01,2017-04-27T04:39:18.370Z
802,407,238,-143,629,202,5.0036468505859375,01,2017-04-27T05:08:20.359Z
804,411,240,-143,629,209,5.0036468505859375,01,2017-04-27T05:37:22.237Z
