when,module,battery,d15cm,d15cm_bias,d45cm,d45cm_bias,d75cm,d75cm_bias
2017-04-25 12:34:39.848,02,5.220928192138672,-1,0,-1,0,-1,0
2017-04-25 12:35:30.808,02,4.2468743324279785,-1,0,201394,-402790,-1,0
2017-04-25 12:35:35.473,02,4.905872344970703,-1,0,-1,0,-1,0
2017-04-25 12:36:18.933,02,5.343485355377197,-1,0,-1,0,-1,0
2017-04-25 12:36:42.495,02,5.318515777587891,-1,0,-1,0,-1,0
2017-04-25 13:09:09.415,02,5.44575309753418,-1,0,-1,0,-1,0
2017-04-25 13:17:04.776,02,5.343485355377197,-1,0,-1,0,-1,0
2017-04-25 14:19:52.182,02,5.394134521484375,-1,0,-1,0,-1,0
2017-04-25 13:49:32.179,02,5.394134521484375,-1,0,-1,0,-1,0
2017-04-25 15:20:44.486,02,5.394134521484375,886,259,880,-90,1192,-277
2017-04-25 15:51:16.383,02,5.197088241577148,853,261,849,-81,1168,-279
2017-04-25 16:21:31.726,02,5.343485355377197,834,259,832,-89,1153,-274
2017-04-25 18:22:38.105,02,5.293778896331787,785,256,780,-61,1169,-233
2017-04-25 14:50:11.223,02,5.394134521484375,935,283,917,-103,1200,-266
2017-04-25 16:51:55.756,02,5.368690490722656,818,257,816,-79,1151,-285
2017-04-25 17:22:09.686,02,5.318515777587891,803,257,802,-72,1129,-267
2017-04-25 17:52:24.892,02,5.1500563621521,796,258,791,-73,1124,-253
2017-04-25 19:53:00.571,02,5.318515777587891,778,256,758,-69,1141,-217
2017-04-25 18:52:48.703,02,5.318515777587891,780,253,775,-71,1168,-234
2017-04-25 19:22:56.451,02,5.318515777587891,778,252,765,-61,1148,-230
2017-04-25 20:52:51.317,02,5.318515777587891,781,259,744,-64,1120,-210
2017-04-25 20:22:59.130,02,5.293778896331787,776,246,750,-67,1125,-215
2017-04-25 21:22:41.595,02,5.318515777587891,783,249,741,-55,1113,-209
2017-04-25 21:52:31.244,02,5.318515777587891,784,256,732,-60,1100,-203
2017-04-26 00:21:35.280,02,5.269270420074463,791,253,722,-50,1078,-195
2017-04-26 00:51:23.134,02,5.269270420074463,790,250,718,-48,1073,-195
2017-04-25 22:22:20.231,02,5.293778896331787,788,256,730,-58,1099,-203
2017-04-25 22:52:09.210,02,5.269270420074463,786,256,725,-56,1086,-203
2017-04-25 23:21:58.114,02,5.293778896331787,788,266,723,-62,1082,-193
2017-04-25 23:51:47.036,02,5.293778896331787,792,254,722,-54,1084,-199
2017-04-26 01:21:10.806,02,5.269270420074463,790,259,714,-51,1070,-191
2017-04-26 02:20:45.850,02,5.269270420074463,794,256,712,-53,1065,-186
2017-04-26 02:50:33.148,02,5.269270420074463,795,257,713,-51,1062,-188
2017-04-26 01:50:58.322,02,5.269270420074463,792,256,713,-57,1068,-191
2017-04-26 03:20:20.352,02,5.244987964630127,794,240,711,-49,1054,-195
2017-04-26 04:19:54.754,02,5.173465251922607,793,249,708,-47,1047,-189
2017-04-26 03:50:07.442,02,5.244987964630127,794,254,708,-44,1054,-184
2017-04-26 04:49:42.179,02,5.081082344055176,799,254,705,-37,1050,-182
2017-04-26 05:19:29.528,02,5.244987964630127,796,249,705,-50,1048,-179
2017-04-26 05:49:16.770,02,5.058499813079834,798,254,707,-42,1049,-180
2017-04-26 06:19:04.049,02,5.244987964630127,790,245,701,-42,1038,-184
2017-04-26 06:48:51.029,02,5.197088241577148,792,243,701,-48,1033,-175
2017-04-26 07:18:37.798,02,5.103867053985596,797,253,703,-38,1041,-176
2017-04-26 07:48:24.484,02,5.173465251922607,797,243,702,-37,1035,-174
2017-04-26 08:18:10.996,02,5.126857757568359,798,244,700,-47,1033,-173
2017-04-26 08:47:57.568,02,5.173465251922607,799,246,701,-42,1029,-173
2017-04-26 10:17:30.940,02,5.103867053985596,793,234,698,-32,1023,-177
2017-04-26 09:17:45.065,02,5.1500563621521,798,247,700,-35,1032,-174
2017-04-26 09:47:36.058,02,5.103867053985596,798,244,700,-38,1028,-173
2017-04-26 10:47:29.656,02,5.197088241577148,788,227,698,-42,1024,-182
2017-04-26 11:47:40.556,02,5.220928192138672,771,231,698,-24,1022,-184
2017-04-26 11:17:35.664,02,5.220928192138672,782,242,701,-42,1029,-176
2017-04-26 12:17:46.523,02,5.244987964630127,767,238,699,-35,1022,-168
2017-04-26 13:18:04.155,02,5.244987964630127,771,228,697,-41,1020,-167
2017-04-26 12:47:54.332,02,5.244987964630127,768,231,697,-40,1015,-174
2017-04-26 13:48:27.343,02,5.244987964630127,763,237,697,-45,1018,-164
2017-04-26 14:18:57.945,02,5.244987964630127,754,224,694,-35,1015,-179
2017-04-26 14:49:27.004,02,5.220928192138672,748,233,695,-32,1021,-170
2017-04-26 15:19:49.393,02,5.244987964630127,742,217,691,-30,1018,-178
2017-04-26 15:50:12.541,02,5.244987964630127,739,227,689,-40,1013,-174
2017-04-26 16:20:22.750,02,5.244987964630127,741,228,686,-42,1009,-168
2017-04-26 16:50:28.685,02,5.220928192138672,744,237,683,-41,1010,-163
2017-04-26 17:20:34.423,02,5.244987964630127,753,234,684,-48,1017,-170
2017-04-26 17:50:49.733,02,5.220928192138672,752,227,681,-35,1007,-169
2017-04-26 18:20:56.167,02,5.220928192138672,760,235,681,-40,1011,-173
2017-04-26 19:50:41.720,02,5.220928192138672,784,234,670,-34,1008,-164
2017-04-26 18:50:52.249,02,5.197088241577148,765,238,676,-45,1006,-174
2017-04-26 19:20:47.196,02,5.220928192138672,775,239,673,-37,1010,-169
2017-04-26 20:50:26.170,02,5.197088241577148,800,237,665,-35,998,-151
2017-04-26 21:20:15.782,02,5.197088241577148,810,247,665,-45,998,-160
2017-04-26 21:50:04.607,02,5.197088241577148,822,251,665,-31,997,-159
2017-04-26 22:49:41.336,02,5.173465251922607,839,250,660,-41,992,-159
2017-04-26 20:20:35.583,02,5.197088241577148,787,238,668,-35,1000,-163
2017-04-26 23:49:17.738,02,5.1500563621521,857,240,663,-31,1000,-164
2017-04-27 00:19:05.784,02,5.173465251922607,866,245,660,-32,995,-161
2017-04-27 00:48:53.640,02,5.126857757568359,871,235,660,-27,995,-157
2017-04-27 01:18:41.028,02,5.126857757568359,879,251,663,-29,997,-157
2017-04-26 22:19:53.063,02,5.173465251922607,832,238,663,-33,999,-160
2017-04-26 23:19:29.554,02,5.1500563621521,847,251,661,-39,996,-160
2017-04-27 03:17:48.259,02,5.103867053985596,904,242,661,-26,987,-160
2017-04-27 03:47:34.620,02,5.103867053985596,913,247,662,-25,990,-151
2017-04-27 01:48:28.148,02,5.1500563621521,890,250,662,-31,995,-161
2017-04-27 02:18:15.037,02,5.1500563621521,893,251,661,-33,989,-153
2017-04-27 04:47:07.643,02,5.103867053985596,921,245,662,-23,989,-158
2017-04-27 02:48:01.737,02,5.126857757568359,901,241,659,-19,994,-169
2017-04-27 07:45:46.021,02,4.927110195159912,954,250,661,-23,983,-150
2017-04-27 05:16:54.125,02,5.103867053985596,929,252,663,-30,993,-156
2017-04-27 10:14:49.532,02,5.126857757568359,969,262,668,-26,1026,-181
2017-04-27 10:44:46.958,02,5.126857757568359,969,250,670,-27,1037,-188
2017-04-27 08:15:32.274,02,4.970141410827637,960,245,667,-24,996,-159
2017-04-27 08:45:18.807,02,5.126857757568359,962,257,666,-33,995,-149
2017-04-27 11:44:33.951,02,5.126857757568359,970,256,666,-28,1033,-190
2017-04-27 12:44:20.255,02,5.126857757568359,979,253,668,-22,1045,-192
2017-04-27 15:14:00.633,02,5.103867053985596,990,267,861,-73,792,-171
2017-04-27 15:47:31.343,02,4.991940021514893,979,254,820,-55,731,-156
2017-04-28 17:53:36.472,02,5.036116600036621,903,250,714,-15,1066,-222
2017-04-28 18:23:14.945,02,4.991940021514893,905,242,710,-23,1067,-223
2017-04-28 19:22:40.157,02,5.013930797576904,910,246,702,-27,1079,-219
2017-04-28 21:20:37.324,02,4.991940021514893,935,254,691,-31,1084,-223
2017-04-28 22:48:50.108,02,4.970141410827637,955,257,686,-26,1102,-230
2017-04-28 23:18:13.650,02,4.970141410827637,956,258,686,-26,1096,-232
2017-04-28 23:47:36.768,02,4.970141410827637,961,251,679,-29,1100,-229
2017-04-29 00:16:59.292,02,4.948532581329346,966,268,682,-31,1104,-219
2017-04-29 01:15:44.361,02,4.948532581329346,977,262,684,-28,1106,-225
2017-04-27 09:15:05.971,02,5.126857757568359,970,262,665,-36,994,-152
2017-04-29 04:11:58.751,02,4.927110195159912,998,257,685,-26,1140,-228
2017-04-29 04:41:21.041,02,4.927110195159912,1006,259,684,-27,1190,-230
2017-04-29 05:10:43.138,02,4.927110195159912,1008,251,684,-22,1230,-235
2017-04-29 05:40:04.998,02,4.927110195159912,1014,261,684,-24,1247,-241
2017-04-29 06:09:26.697,02,4.905872344970703,1012,252,685,-17,1257,-248
2017-04-29 06:38:48.064,02,4.905872344970703,1018,266,688,-24,1262,-241
2017-04-29 07:08:09.458,02,4.905872344970703,1019,266,687,-23,1268,-239
2017-04-29 08:06:51.712,02,4.884817123413086,1024,252,684,-16,1275,-246
2017-04-29 12:32:17.789,02,4.927110195159912,984,241,689,-24,1308,-257
2017-04-29 15:01:52.832,02,4.970141410827637,932,243,686,-27,1324,-246
2017-04-29 15:31:57.344,02,4.970141410827637,922,244,685,-23,1321,-246
2017-04-29 17:34:44.386,02,4.948532581329346,898,227,679,-24,1337,-261
2017-04-29 19:33:20.381,02,4.948532581329346,916,233,668,-27,1339,-252
2017-04-29 22:59:05.288,02,4.927110195159912,976,244,661,-22,1346,-245
2017-04-30 00:56:31.544,02,4.905872344970703,999,245,654,-19,1343,-241
2017-04-30 01:55:14.051,02,4.905872344970703,1008,247,656,-20,1345,-251
2017-04-27 11:14:40.669,02,5.126857757568359,969,258,666,-37,1033,-184
2017-04-27 13:14:11.832,02,5.126857757568359,982,258,670,-26,1047,-191
2017-04-27 13:44:06.337,02,5.126857757568359,985,259,694,-31,1048,-191
2017-04-27 04:17:21.132,02,5.103867053985596,921,248,663,-24,991,-152
2017-04-30 03:23:15.878,02,4.905872344970703,1024,260,660,-20,1349,-243
2017-04-30 03:52:36.091,02,4.884817123413086,1034,256,661,-17,1355,-247
2017-04-30 04:51:16.369,02,4.884817123413086,1043,253,657,-19,1358,-236
2017-04-30 05:20:36.358,02,4.884817123413086,1048,252,659,-18,1361,-242
2017-04-30 05:49:56.474,02,4.884817123413086,1053,256,659,-18,1364,-242
2017-04-30 06:19:16.604,02,4.884817123413086,1059,259,662,-15,1367,-241
2017-04-30 07:17:55.578,02,4.884817123413086,1068,257,665,-22,1416,-235
2017-04-30 07:47:14.769,02,4.884817123413086,1075,258,665,-20,1436,-248
2017-04-30 08:16:33.990,02,4.8639421463012695,1078,246,664,-17,1443,-253
2017-04-30 10:13:53.759,02,4.8639421463012695,1190,298,1024,-83,1641,-278
2017-04-30 14:39:44.067,02,4.884817123413086,856,266,916,-94,2079,-324
2017-04-30 16:08:07.819,02,4.884817123413086,842,257,817,-71,2159,-370
2017-05-04 13:18:27.100,02,4.991940021514893,-1,0,-1,0,-1,0
2017-05-04 13:24:55.155,02,4.991940021514893,-1,0,-1,0,-1,0
2017-05-04 13:57:18.710,02,5.1500563621521,839,-190,678,30,-1,0
2017-05-04 13:58:14.475,02,5.036116600036621,892,-258,755,-58,5514,-763
2017-05-04 15:01:29.338,02,5.197088241577148,869,-264,748,-54,5660,-728
2017-05-04 15:31:32.981,02,5.197088241577148,864,-256,743,-62,5641,-705
2017-04-27 14:43:57.992,02,5.126857757568359,993,252,929,-71,878,-194
2017-04-28 20:21:46.736,02,5.013930797576904,921,259,697,-31,1085,-222
2017-04-28 21:50:01.796,02,4.991940021514893,943,253,690,-33,1096,-228
2017-04-28 22:19:26.089,02,4.970141410827637,949,257,685,-31,1094,-229
2017-04-29 01:45:06.643,02,4.948532581329346,983,260,684,-31,1107,-224
2017-04-29 07:37:30.662,02,4.905872344970703,1021,254,685,-17,1270,-248
2017-04-29 10:33:42.175,02,4.905872344970703,1029,259,689,-23,1298,-242
2017-04-29 14:31:54.960,02,4.970141410827637,941,247,689,-28,1319,-248
2017-04-29 16:01:55.073,02,4.991940021514893,915,238,687,-26,1333,-245
