when,module,battery,15cm,15cm_bias,45cm,45cm_bias,75cm,75cm_bias
2017-04-25T12:24:09.304Z,01,5.262050628662109,-1,0,-1,0,-1,0
2017-04-25T12:26:36.926Z,01,5.213101863861084,-1,0,-1,0,-1,0
2017-04-25T12:26:45.316Z,01,5.262050628662109,-1,0,-1,0,-1,0
2017-04-25T12:57:09.461Z,01,5.337222576141357,-1,0,-1,0,-1,0
2017-04-25T13:57:23.063Z,01,5.362759590148926,1303,427,759,-123,725,175
2017-04-25T14:28:01.686Z,01,5.362759590148926,1273,449,760,-238,735,199
2017-04-25T14:36:13.741Z,01,5.213101863861084,1268,457,753,-269,738,207
2017-04-25T15:07:25.188Z,01,5.3119282722473145,1255,471,728,-319,745,219
2017-04-25T15:37:20.857Z,01,5.337222576141357,1233,461,692,-333,750,222
2017-04-25T16:07:08.102Z,01,5.337222576141357,1210,457,653,-319,754,227
2017-04-25T16:36:50.261Z,01,5.3119282722473145,1194,482,618,-313,755,238
2017-04-25T17:06:32.025Z,01,5.3119282722473145,1163,462,583,-289,756,238
2017-04-25T17:36:03.387Z,01,5.3119282722473145,1142,487,552,-282,754,240
2017-04-25T18:05:37.488Z,01,5.3119282722473145,1125,486,525,-275,752,239
2017-04-25T18:35:02.888Z,01,5.286871910095215,1103,462,502,-268,754,239
2017-04-25T19:04:23.149Z,01,5.286871910095215,1093,472,482,-260,753,238
2017-04-25T19:33:41.095Z,01,5.286871910095215,1080,481,463,-257,751,239
2017-04-25T20:02:58.546Z,01,5.262050628662109,1075,464,447,-249,753,243
2017-04-25T20:32:11.300Z,01,5.262050628662109,1062,477,430,-251,746,239
2017-04-25T21:01:19.090Z,01,5.237461566925049,1059,467,416,-244,744,238
2017-04-25T21:30:25.280Z,01,5.237461566925049,1050,468,399,-240,742,242
2017-04-25T21:59:30.852Z,01,5.237461566925049,1042,459,388,-232,737,230
2017-04-25T22:28:36.013Z,01,5.213101863861084,1047,460,375,-221,736,238
2017-04-25T22:57:41.095Z,01,5.213101863861084,1028,453,361,-219,732,234
2017-04-25T23:26:46.038Z,01,5.213101863861084,1031,453,355,-214,733,236
2017-04-25T23:55:50.933Z,01,5.188966751098633,1028,459,347,-208,730,233
2017-04-26T00:24:55.101Z,01,5.188966751098633,1015,471,338,-207,723,238
2017-04-26T00:53:59.015Z,01,5.188966751098633,1011,463,328,-202,722,238
2017-04-26T01:23:02.862Z,01,5.188966751098633,1005,463,321,-198,720,230
2017-04-26T01:52:06.457Z,01,5.165054798126221,1001,430,316,-190,722,228
2017-04-26T02:21:09.963Z,01,5.165054798126221,993,441,311,-194,714,223
2017-04-26T02:50:13.250Z,01,5.165054798126221,999,456,307,-189,712,231
2017-04-26T03:19:16.551Z,01,5.165054798126221,995,457,302,-191,711,230
2017-04-26T03:48:19.672Z,01,5.165054798126221,994,454,294,-185,710,230
2017-04-26T04:17:22.973Z,01,5.141361236572266,986,456,288,-180,706,226
2017-04-26T04:46:26.228Z,01,5.141361236572266,976,435,285,-181,705,224
2017-04-26T05:15:29.373Z,01,5.141361236572266,973,439,283,-176,702,225
2017-04-26T05:44:32.576Z,01,5.141361236572266,982,444,281,-173,703,227
2017-04-26T06:13:35.620Z,01,5.141361236572266,975,450,278,-176,695,221
2017-04-26T06:42:38.402Z,01,5.117884635925293,969,432,275,-171,694,221
2017-04-26T07:11:41.072Z,01,5.117884635925293,965,436,270,-175,692,221
2017-04-26T07:40:43.543Z,01,5.117884635925293,974,447,269,-171,694,224
2017-04-26T08:09:45.798Z,01,5.117884635925293,968,448,268,-172,691,226
2017-04-26T08:38:47.933Z,01,5.0946221351623535,965,423,265,-165,689,215
2017-04-26T09:07:50.759Z,01,5.0946221351623535,969,442,262,-163,687,222
2017-04-26T09:36:57.198Z,01,5.0946221351623535,959,441,260,-166,685,216
2017-04-26T10:06:11.564Z,01,5.117884635925293,956,422,258,-161,684,212
2017-04-26T10:35:32.732Z,01,5.117884635925293,955,430,260,-166,682,219
2017-04-26T11:04:57.414Z,01,5.117884635925293,936,441,257,-163,680,210
2017-04-26T11:34:27.886Z,01,5.141361236572266,922,418,255,-162,678,218
2017-04-26T12:03:53.535Z,01,5.141361236572266,918,418,258,-161,675,219
2017-04-26T12:33:20.094Z,01,5.141361236572266,909,417,256,-161,675,218
2017-04-26T13:02:50.853Z,01,5.141361236572266,899,417,256,-158,673,219
2017-04-26T13:32:26.201Z,01,5.141361236572266,888,431,255,-160,673,214
2017-04-26T14:02:19.933Z,01,5.141361236572266,872,402,250,-154,672,217
2017-04-26T14:32:10.983Z,01,5.141361236572266,873,420,250,-154,672,218
2017-04-26T15:01:59.535Z,01,5.141361236572266,864,410,252,-152,672,219
2017-04-26T15:31:51.677Z,01,5.141361236572266,847,406,249,-152,671,212
2017-04-26T16:01:27.798Z,01,5.141361236572266,843,389,246,-149,669,216
2017-04-26T16:30:57.009Z,01,5.141361236572266,835,401,249,-150,670,214
2017-04-26T17:00:17.122Z,01,5.141361236572266,835,406,248,-153,666,217
2017-04-26T17:29:44.973Z,01,5.117884635925293,825,383,245,-148,664,213
2017-04-26T17:59:17.851Z,01,5.117884635925293,823,394,245,-148,664,215
2017-04-26T18:28:36.630Z,01,5.117884635925293,813,408,246,-154,661,219
2017-04-26T18:57:47.802Z,01,5.0946221351623535,812,391,242,-147,661,211
2017-04-26T19:26:58.160Z,01,5.0946221351623535,812,389,243,-145,655,213
2017-04-26T19:56:08.493Z,01,5.0946221351623535,817,410,242,-148,657,213
2017-04-26T20:25:17.976Z,01,5.0946221351623535,813,389,243,-149,653,212
2017-04-26T20:54:23.578Z,01,5.071569442749023,817,404,241,-147,656,214
2017-04-26T21:23:28.962Z,01,5.071569442749023,819,404,242,-146,650,212
2017-04-26T21:52:33.751Z,01,5.071569442749023,813,387,237,-145,651,207
2017-04-26T22:21:38.295Z,01,5.04872465133667,811,387,237,-140,650,206
2017-04-26T22:50:42.724Z,01,5.04872465133667,807,398,237,-146,646,208
2017-04-26T23:19:47.006Z,01,5.04872465133667,812,396,238,-144,645,205
2017-04-26T23:48:51.263Z,01,5.04872465133667,816,407,240,-144,642,209
2017-04-27T00:17:55.372Z,01,5.04872465133667,809,395,238,-145,640,205
2017-04-27T00:46:59.133Z,01,5.026083946228027,809,383,236,-145,642,202
2017-04-27T01:16:02.381Z,01,5.026083946228027,811,406,238,-145,641,211
2017-04-27T01:45:05.295Z,01,5.026083946228027,807,387,237,-141,638,202
2017-04-27T02:14:07.852Z,01,5.026083946228027,808,389,238,-140,636,201
2017-04-27T02:43:10.246Z,01,5.026083946228027,813,403,239,-148,636,207
2017-04-27T03:12:12.412Z,01,5.0036468505859375,804,392,235,-145,634,203
2017-04-27T03:41:14.304Z,01,5.0036468505859375,813,402,237,-143,637,203
