data;temp_max;temp_min;air_moisture;solar_radiation;wind_speed;preciptation;evapotranspiration
20/01/03;26,9;23,5;88,8;4,8;60,6;0,0;1,4
21/01/03;25,5;23,7;90,0;4,8;36,2;27,0;1,3
22/01/03;30,2;23,8;80,2;4,8;66,1;31,0;1,6
23/01/03;29,7;24,0;82,3;4,8;86,1;0,0;1,6
24/01/03;30,6;24,0;82,3;4,8;97,1;12,0;1,7
25/01/03;30,3;23,1;83,6;4,8;116,6;30,0;1,7
26/01/03;30,5;24,6;80,9;4,8;138,4;10,0;1,9
27/01/03;30,6;23,9;78,2;3,1;133,4;0,0;1,7
28/01/03;31,0;24,4;78,0;5,0;94,1;0,0;1,8
29/01/03;31,0;24,1;75,4;6,4;102,5;0,0;2,2
30/01/03;31,0;23,0;75,1;7,9;97,2;0,0;2,4
31/01/03;30,5;22,8;80,0;7,3;123,5;0,0;2,2
01/02/03;27,3;22,6;89,5;2,3;80,9;0,0;1,0
02/02/03;26,0;22,5;90,0;1,9;56,6;32,0;0,9
03/02/03;27,9;23,3;90,0;3,7;46,5;8,0;1,1
04/02/03;31,2;23,5;80,3;7,3;92,6;0,0;2,1
05/02/03;31,7;23,9;77,8;8,2;93,7;0,0;2,4
06/02/03;32,1;23,8;76,9;9,2;99,9;0,0;2,6
07/02/03;31,6;24,2;80,1;9,0;101,2;19,0;2,5
08/02/03;29,0;24,3;85,0;5,6;58,3;3,0;1,6
09/02/03;30,5;22,8;80,6;5,3;65,5;7,0;1,7
10/02/03;31,8;24,3;77,8;8,4;96,0;0,0;2,4
11/02/03;31,6;23,3;79,9;6,9;74,5;0,0;2,0
12/02/03;32,2;22,1;79,2;8,5;78,2;0,0;2,3
13/02/03;32,0;22,5;78,9;8,2;87,4;0,0;2,3
14/02/03;31,3;24,3;80,3;6,1;98,0;0,0;2,0
15/02/03;30,5;24,4;79,9;5,2;91,5;0,0;1,8
16/02/03;32,5;24,2;73,9;5,4;128,2;0,0;2,2
17/02/03;32,3;24,6;74,9;7,2;173,8;0,0;2,7
18/02/03;31,3;23,0;83,8;7,2;102,7;0,0;2,0
19/02/03;31,6;23,5;78,3;7,2;116,2;8,0;2,3
20/02/03;27,9;22,8;85,3;7,2;98,4;60,0;1,9
21/02/03;31,8;23,7;77,7;7,2;97,5;0,0;2,2
22/02/03;34,8;24,4;80,5;13,8;64,1;0,0;3,3
23/02/03;28,9;23,3;88,8;5,3;86,4;17,0;1,5
24/02/03;31,7;23,5;83,2;16,6;86,4;0,0;3,6
25/02/03;32,1;25,0;84,2;14,6;86,4;0,0;3,3
26/02/03;32,7;24,7;83,3;15,0;86,4;0,0;3,4
27/02/03;33,6;24,5;80,2;18,5;86,4;0,0;4,2
28/02/03;29,9;23,6;88,5;8,8;86,4;27,0;2,1
01/03/03;32,1;24,3;83,8;23,1;86,4;0,0;4,8
02/03/03;32,4;24,6;80,3;17,4;86,4;0,0;3,9
03/03/03;34,0;23,8;78,0;21,2;86,4;4,0;4,7
04/03/03;32,2;24,2;82,9;18,4;86,4;;4,0
05/03/03;32,5;23,1;82,0;22,6;86,4;0,0;4,7
06/03/03;32,0;25,0;83,4;18,6;86,4;0,0;4,1
07/03/03;31,7;24,1;82,2;15,6;86,4;0,0;3,5
08/03/03;32,9;24,3;79,9;18,8;86,4;0,0;4,2
09/03/03;33,3;24,6;81,3;19,2;86,4;0,0;4,3
10/03/03;33,0;24,7;82,5;19,5;86,4;4,0;4,3
11/03/03;32,1;24,0;84,1;18,4;86,4;0,0;4,0
12/03/03;32,3;23,1;85,6;18,1;86,4;0,0;3,9
13/03/03;33,5;23,3;81,5;22,7;86,4;0,0;4,8
14/03/03;32,2;23,2;82,7;18,1;86,4;0,0;3,9
15/03/03;29,2;23,6;89,1;5,7;86,4;69,0;1,6
16/03/03;30,3;23,7;88,3;13,4;86,4;0,0;2,9
17/03/03;31,4;23,7;85,8;13,1;86,4;50,0;3,0
18/03/03;27,7;23,8;92,4;7,0;86,4;0,0;1,7
19/03/03;31,1;23,4;88,2;15,3;86,4;0,0;3,3
20/03/03;32,3;23,8;83,8;18,7;86,4;0,0;4,0
21/03/03;32,5;23,3;84,1;19,9;86,4;0,0;4,2
22/03/03;32,3;24,2;82,5;23,3;86,4;43,0;4,9
23/03/03;32,3;22,9;85,4;20,8;86,6;0,0;4,3
24/03/03;32,4;24,1;83,3;17,1;108,1;0,0;3,8
25/03/03;32,5;22,7;82,5;21,1;103,1;0,0;4,4
26/03/03;32,7;22,6;81,7;18,6;104,5;19,0;4,0
27/03/03;32,6;24,3;83,8;17,2;105,8;55,0;3,8
28/03/03;32,2;24,5;85,0;19,3;117,2;55,0;4,2
29/03/03;31,5;24,2;84,4;17,6;116,6;0,0;3,8
30/03/03;29,5;23,7;91,6;9,9;93,0;15,0;2,2
31/03/03;30,7;23,8;89,8;9,4;47,6;25,0;2,2
01/04/03;29,9;23,2;90,5;13,3;58,8;29,0;2,8
02/04/03;29,7;23,8;92,3;12,3;52,1;60,0;2,6
03/04/03;27,7;24,0;94,9;7,4;54,2;49,0;1,7
04/04/03;25,7;23,6;95,5;3,2;64,4;7,0;1,0
05/04/03;31,7;23,3;89,3;13,7;86,4;0,0;3,0
06/04/03;29,5;24,1;90,7;10,7;86,4;4,0;2,4
07/04/03;30,5;24,1;91,9;9,7;86,4;290,0;2,2
08/04/03;29,5;22,9;93,5;7,7;86,4;0,0;1,8
09/04/03;30,6;23,8;90,3;10,2;86,4;0,0;2,3
10/04/03;31,2;23,3;89,1;18,0;86,4;10,0;3,7
11/04/03;31,6;24,1;84,6;23,3;86,4;25,0;4,7
12/04/03;29,6;23,5;93,8;7,3;86,4;0,0;1,7
13/04/03;32,8;23,6;83,3;17,5;86,4;0,0;3,8
14/04/03;32,6;23,5;81,7;18,1;86,4;0,0;3,9
15/04/03;32,7;23,5;84,8;16,4;86,4;0,0;3,6
16/04/03;33,4;22,7;81,7;20,6;86,4;8,0;4,4
17/04/03;31,8;23,9;87,7;10,7;86,4;0,0;2,5
18/04/03;33,0;23,4;81,9;18,3;86,4;0,0;4,0
19/04/03;30,8;23,8;86,1;8,6;86,4;0,0;2,2
20/04/03;32,2;23,4;79,4;18,7;86,4;5,0;4,0
21/04/03;33,3;23,7;79,7;21,3;86,4;0,0;4,5
22/04/03;32,5;24,4;78,7;20,1;86,4;144,0;4,3
23/04/03;25,5;23,0;94,8;2,3;86,4;0,0;0,8
24/04/03;32,0;22,2;84,0;21,2;86,4;0,0;4,3
25/04/03;32,9;23,7;82,0;21,9;86,4;0,0;4,6
26/04/03;32,4;23,1;82,1;20,8;86,4;0,0;4,3
27/04/03;32,1;24,8;83,7;19,3;86,4;0,0;4,1
28/04/03;32,7;23,8;81,9;22,5;86,4;9,0;4,6
29/04/03;33,0;23,4;79,2;17,1;86,4;0,0;3,8
30/04/03;30,9;24,2;86,4;17,7;86,4;0,0;3,7
01/05/03;32,1;23,9;82,6;19,8;86,4;0,0;4,1
02/05/03;32,5;24,1;83,0;20,3;86,4;0,0;4,3
03/05/03;32,6;22,6;87,4;14,4;86,4;10,0;3,1
04/05/03;31,7;22,9;85,8;18,8;86,4;0,0;3,8
05/05/03;32,6;22,8;82,9;23,3;86,4;0,0;4,7
06/05/03;30,3;22,3;87,3;12,7;86,4;0,0;2,7
07/05/03;31,7;22,8;85,2;16,4;86,4;0,0;3,5
08/05/03;33,4;23,2;80,7;22,7;86,4;0,0;4,7
09/05/03;34,2;24,6;76,9;22,0;86,4;5,0;4,7
10/05/03;28,8;23,9;90,8;7,7;86,4;15,0;1,8
11/05/03;32,4;24,0;85,6;15,8;86,4;0,0;3,4
12/05/03;29,6;23,5;89,5;14,4;86,4;0,0;3,0
13/05/03;31,4;23,4;89,0;15,5;86,4;22,0;3,2
14/05/03;31,9;23,4;86,9;17,8;86,4;0,0;3,7
15/05/03;31,5;23,6;87,7;15,9;86,4;0,0;3,3
16/05/03;32,0;23,5;85,7;21,5;86,4;3,0;4,3
17/05/03;32,0;23,0;83,1;19,3;86,4;0,0;4,0
18/05/03;32,3;22,7;82,7;20,7;86,4;0,0;4,2
19/05/03;30,8;23,2;86,6;14,2;86,4;0,0;3,0
20/05/03;31,7;23,2;81,9;20,6;86,4;0,0;4,2
21/05/03;33,2;23,2;76,1;21,4;86,4;0,0;4,5
22/05/03;32,3;22,2;82,4;15,9;86,4;0,0;3,4
23/05/03;31,4;22,2;82,8;20,0;86,4;0,0;4,0
24/05/03;31,8;23,7;83,9;19,0;86,4;0,0;3,9
25/05/03;31,8;21,3;81,6;21,7;86,4;0,0;4,2
26/05/03;32,3;22,2;82,2;19,2;86,4;0,0;3,9
27/05/03;33,4;23,6;78,9;19,2;86,4;6,0;4,1
28/05/03;32,3;22,9;83,0;20,0;86,4;0,0;4,1
29/05/03;32,1;21,9;83,3;19,5;86,4;0,0;3,9
30/05/03;32,8;22,4;83,8;21,1;86,4;0,0;4,2
31/05/03;31,6;24,0;85,0;12,8;86,4;5,0;2,9
01/06/03;32,2;23,4;89,1;12,0;86,4;0,0;2,6
02/06/03;32,2;23,2;84,8;19,5;86,4;0,0;4,0
03/06/03;32,6;23,4;84,8;19,0;86,4;0,0;3,9
04/06/03;32,0;24,0;85,2;16,5;86,4;0,0;3,5
05/06/03;31,9;23,5;83,0;17,4;86,4;0,0;3,6
06/06/03;32,8;23,8;81,6;16,9;86,4;0,0;3,6
07/06/03;31,6;23,2;82,2;21,2;86,5;0,0;4,2
08/06/03;32,7;22,4;82,0;17,5;69,0;0,0;3,6
09/06/03;32,5;21,8;83,4;20,1;52,5;0,0;4,0
10/06/03;32,5;22,2;83,1;19,1;41,7;0,0;3,8
11/06/03;32,2;22,8;81,0;14,5;43,5;0,0;3,1
12/06/03;32,5;22,9;83,5;21,5;39,9;0,0;4,3
13/06/03;32,2;23,6;85,6;16,7;34,5;0,0;3,4
14/06/03;32,4;21,6;79,2;21,2;74,2;0,0;4,2
15/06/03;32,0;20,6;80,1;18,1;63,4;0,0;3,6
16/06/03;33,1;21,8;78,0;21,6;68,8;0,0;4,3
17/06/03;33,7;21,5;76,9;21,0;65,2;0,0;4,2
18/06/03;32,8;20,7;79,3;18,8;70,6;0,0;3,8
19/06/03;32,1;20,6;78,5;20,6;67,0;0,0;4,0
20/06/03;32,2;21,4;78,9;19,2;79,7;0,0;3,9
21/06/03;32,4;22,4;77,6;17,6;107,0;0,0;3,8
22/06/03;33,5;21,6;75,6;20,7;59,8;0,0;4,2
23/06/03;32,4;22,5;79,7;15,9;83,3;0,0;3,4
24/06/03;33,7;21,8;76,1;20,8;85,2;0,0;4,3
25/06/03;32,6;23,8;76,9;20,7;108,7;0,0;4,4
26/06/03;31,6;23,1;76,2;19,1;114,2;0,0;4,0
27/06/03;32,7;24,2;70,6;20,8;103,3;0,0;4,5
28/06/03;33,5;23,5;71,5;15,2;66,9;0,0;3,4
29/06/03;32,4;21,3;74,6;17,0;101,5;0,0;3,7
30/06/03;34,1;19,9;71,8;20,8;79,7;0,0;4,3
01/07/03;33,9;19,9;72,3;20,8;88,8;0,0;4,3
02/07/03;33,0;21,3;73,3;21,0;90,6;0,0;4,3
03/07/03;32,7;21,4;74,9;21,2;95,9;0,0;4,3
04/07/03;34,2;21,4;75,0;17,8;83,3;0,0;3,9
05/07/03;32,3;21,5;74,9;18,8;85,2;0,0;3,9
06/07/03;32,5;23,0;76,5;19,2;96,0;0,0;4,1
07/07/03;28,2;23,0;88,9;8,1;32,6;0,0;1,8
08/07/03;32,8;22,8;79,9;20,5;76,0;0,0;4,2
09/07/03;30,4;21,8;85,3;12,8;41,7;0,0;2,7
10/07/03;29,6;23,0;83,3;10,0;54,3;0,0;2,3
11/07/03;31,6;23,1;78,1;21,0;88,7;0,0;4,2
12/07/03;30,9;23,3;77,1;18,8;125,1;0,0;4,0
