codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao,vento_rajada,radiacao,precipitacao
A359,25/04/2017,23,26.6,27.0,26.6,76,76,74,22.1,22.1,21.9,999.6,999.6,998.8,3.9,108,9.4,-3.54,0.0
A359,25/04/2017,22,27.0,27.4,26.9,74,75,73,21.9,22.2,21.9,998.8,998.8,997.9,5.5,101,9.4,-3.54,0.0
A359,25/04/2017,21,27.4,28.4,27.4,73,74,72,22.1,22.9,22.0,997.9,997.9,997.6,3.5,100,6.4,44.48,0.0
A359,25/04/2017,20,28.4,30.0,28.2,73,75,68,23.0,23.5,23.0,997.6,997.6,997.2,2.9,89,6.6,201.6,0.2
A359,25/04/2017,19,30.0,31.3,29.4,68,69,58,23.5,23.6,21.2,997.2,997.2,996.8,4.5,80,8.0,1314.,0.0
A359,25/04/2017,18,31.2,31.4,30.8,58,61,56,21.9,22.6,21.2,996.9,997.5,996.9,3.1,109,6.9,2286.,0.0
A359,25/04/2017,17,31.2,31.7,30.8,58,62,54,21.9,23.1,21.0,997.5,998.1,997.5,3.6,121,7.6,3060.,0.0
A359,25/04/2017,16,31.0,31.6,29.9,59,64,57,22.0,23.3,21.5,998.1,998.9,998.1,3.3,116,7.6,3360.,0.0
A359,25/04/2017,15,30.5,30.8,29.8,63,65,58,22.8,23.5,21.1,998.9,1000.1,998.9,3.6,121,7.7,3317.,0.0
A359,25/04/2017,14,30.7,30.7,28.5,66,71,62,23.5,23.5,21.5,1000.0,1000.8,1000.0,3.5,112,7.6,2801.,0.0
A359,25/04/2017,13,28.7,29.7,27.8,69,70,65,22.5,23.3,21.6,1000.8,1001.0,1000.8,3.3,113,7.5,2307.,0.0
A359,25/04/2017,12,28.2,29.0,27.7,70,74,67,22.2,23.0,21.5,1000.9,1000.9,1000.5,3.6,101,8.0,2213.,0.0
A359,25/04/2017,11,27.7,27.9,26.9,73,76,71,22.3,23.0,21.9,1000.5,1000.5,999.4,4.4,102,8.0,1439.,0.0
A359,25/04/2017,10,27.0,27.0,25.6,75,84,75,22.1,22.7,22.0,999.4,999.4,998.9,4.3,111,8.0,378.1,0.0
A359,25/04/2017,09,25.6,26.1,25.4,84,84,82,22.6,22.8,22.5,998.9,998.9,998.5,3.8,101,8.3,18.70,0.0
A359,25/04/2017,08,26.1,26.2,25.9,82,84,82,22.8,23.1,22.8,998.5,998.5,998.2,4.7,110,8.4,-3.34,0.0
A359,25/04/2017,07,26.1,26.1,25.8,83,85,83,23.1,23.2,23.0,998.3,998.4,998.2,4.0,114,7.0,-3.38,0.0
A359,25/04/2017,06,25.9,25.9,25.7,84,85,83,23.0,23.1,22.6,998.3,998.8,998.2,3.1,112,5.3,-3.48,0.0
A359,25/04/2017,05,25.7,25.8,25.4,83,86,83,22.6,23.2,22.5,998.7,999.4,998.7,2.7,103,4.6,-3.20,0.0
A359,25/04/2017,04,25.8,25.8,24.8,86,88,86,23.2,23.4,22.6,999.4,1000.4,999.4,2.0,118,3.7,-3.52,0.0
A359,25/04/2017,03,25.1,25.2,24.4,87,90,87,22.8,22.9,22.6,1000.4,1001.1,1000.4,0.4,259,1.4,-3.53,0.0
A359,25/04/2017,02,24.4,24.6,24.4,90,91,90,22.6,22.9,22.6,1001.1,1001.4,1001.1,0.5,115,1.2,-3.43,0.0
A359,25/04/2017,00,25.0,25.4,24.9,90,90,88,23.3,23.6,23.0,1001.1,1001.1,1000.3,0.3,196,2.2,-3.20,0.0
A359,25/04/2017,01,24.6,25.0,24.5,90,91,90,22.9,23.4,22.9,1001.4,1001.4,1001.1,0.5,81,1.3,-3.32,0.0
A359,26/04/2017,23,26.3,26.7,25.6,75,75,68,21.4,21.4,20.2,999.9,999.9,999.2,2.5,99,4.5,-3.54,0.0
A359,26/04/2017,22,26.7,27.0,26.4,69,78,68,20.4,22.3,20.4,999.2,999.2,998.7,2.3,112,4.5,-3.51,0.0
A359,26/04/2017,21,26.6,27.5,26.6,75,75,71,21.9,22.1,21.6,998.7,998.7,997.8,1.8,69,5.5,14.94,0.0
A359,26/04/2017,20,27.5,27.9,27.2,72,79,72,22.0,23.7,22.0,997.8,997.8,997.4,3.8,96,6.3,191.2,0.0
A359,26/04/2017,19,27.6,30.5,27.6,78,79,61,23.5,24.2,22.1,997.4,997.4,996.7,3.6,63,7.5,1242.,0.0
A359,26/04/2017,18,30.5,31.4,30.3,62,63,55,22.4,22.8,20.8,996.8,996.9,996.6,4.0,99,7.5,1453.,0.0
A359,26/04/2017,17,31.1,31.9,30.9,56,58,52,21.4,22.0,20.5,996.9,997.5,996.9,4.2,126,8.3,2976.,0.0
A359,26/04/2017,16,31.7,31.7,30.8,58,64,54,22.2,23.6,21.1,997.5,998.9,997.5,3.7,123,8.0,3285.,0.0
A359,26/04/2017,15,31.0,31.2,29.6,61,68,61,22.6,23.8,22.2,998.9,1000.0,998.9,4.0,116,8.2,3104.,0.0
