data,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel,vento_rajada,radiacao,precipitacao
31-01-2017 23:00:00,25.6,25.7,25.5,81,81,79,22.2,22.2,21.7,1000.3,1000.3,999.9,3.3,102,8.0,-3.53,0.0
31-01-2017 22:00:00,25.5,25.7,25.5,80,83,80,21.8,22.6,21.7,1000.0,1000.0,998.9,3.9,96,7.2,-2.69,0.0
31-01-2017 21:00:00,25.7,25.9,25.6,83,83,79,22.5,22.5,22.0,998.9,998.9,998.2,4.2,93,7.0,23.18,0.0
31-01-2017 20:00:00,25.8,26.1,25.7,80,88,80,22.0,23.7,22.0,998.5,998.7,998.3,4.0,106,11.3,112.7,0.0
31-01-2017 19:00:00,25.8,30.3,24.9,88,89,64,23.7,23.7,20.9,998.3,998.3,997.6,5.4,77,15.6,263.4,7.2
31-01-2017 18:00:00,30.3,31.6,29.5,65,67,59,22.9,23.3,21.6,997.6,998.5,997.6,5.2,66,9.5,1377.,0.0
31-01-2017 17:00:00,30.5,31.8,29.6,60,67,58,21.8,23.9,21.7,998.5,999.1,998.5,5.8,83,9.4,2403.,0.0
31-01-2017 16:00:00,29.7,31.2,29.7,65,70,62,22.4,24.2,22.2,999.1,1000.2,999.1,4.9,103,8.9,2937.,0.0
31-01-2017 15:00:00,29.9,29.9,28.1,70,84,69,23.8,25.3,23.0,1000.2,1000.9,1000.2,4.2,109,9.5,2673.,0.0
31-01-2017 14:00:00,28.0,28.0,23.4,83,90,79,25.0,25.3,20.6,1000.9,1001.9,1000.9,4.4,114,13.0,1587.,10.0
31-01-2017 13:00:00,25.3,30.0,25.3,79,79,62,21.3,22.3,21.2,1001.9,1002.0,1001.0,6.7,79,13.0,1397.,2.4
31-01-2017 12:00:00,29.8,30.1,28.4,63,69,62,21.9,22.7,21.1,1001.0,1001.0,1000.8,4.1,125,8.9,1929.,0.0
31-01-2017 11:00:00,28.6,28.8,27.4,68,72,68,22.1,22.6,21.6,1000.9,1001.0,1000.6,3.9,120,9.4,1201.,0.0
31-01-2017 10:00:00,27.5,27.6,26.4,72,76,72,22.0,22.2,21.7,1000.6,1000.7,999.5,4.8,107,9.9,408.2,0.0
31-01-2017 09:00:00,26.4,26.6,26.4,75,77,75,21.7,22.2,21.7,999.5,999.6,999.3,5.2,112,9.5,10.25,0.0
31-01-2017 08:00:00,26.5,26.6,26.3,77,79,77,22.1,22.5,22.1,999.3,999.3,999.0,5.0,112,11.1,-3.08,0.0
31-01-2017 07:00:00,26.3,26.3,26.0,79,80,79,22.4,22.4,22.3,999.0,999.2,998.9,4.5,111,7.5,-3.26,0.0
31-01-2017 06:00:00,26.0,26.7,25.8,80,80,76,22.4,22.4,22.0,999.2,999.5,999.2,4.5,116,8.1,-3.49,0.2
31-01-2017 05:00:00,26.7,26.7,26.4,76,76,76,22.1,22.1,21.9,999.3,999.8,999.3,4.3,110,7.6,-3.50,0.0
31-01-2017 04:00:00,26.4,26.8,26.4,76,76,75,21.9,22.0,21.8,999.8,1000.6,999.8,4.4,110,10.3,-3.50,0.0
31-01-2017 03:00:00,26.8,26.8,26.6,75,75,74,21.9,21.9,21.6,1000.5,1000.9,1000.5,6.5,105,10.3,-3.54,0.0
31-01-2017 02:00:00,26.7,26.7,26.4,74,75,74,21.6,21.6,21.5,1000.8,1001.2,1000.8,5.6,106,9.1,-3.54,0.0
31-01-2017 01:00:00,26.5,26.7,26.4,74,75,74,21.6,21.7,21.5,1001.2,1001.4,1001.2,4.5,107,8.4,-3.48,0.0
31-01-2017 00:00:00,26.4,26.7,26.4,75,75,71,21.7,21.7,20.9,1001.3,1001.3,1000.9,4.1,101,6.5,-3.54,0.0
01-02-2017 23:00:00,26.7,27.2,26.7,79,79,74,22.8,22.8,22.1,999.5,999.5,998.7,4.5,100,8.2,-3.46,0.0
01-02-2017 22:00:00,27.1,27.4,27.1,74,74,72,22.1,22.1,21.8,998.7,998.7,998.0,4.4,110,8.4,-3.42,0.0
01-02-2017 21:00:00,27.4,28.2,27.4,72,72,69,21.8,22.1,21.8,998.0,998.2,998.0,3.2,102,7.5,60.09,0.0
01-02-2017 20:00:00,28.2,30.0,28.2,69,70,67,22.0,23.6,22.0,998.2,998.2,997.6,4.5,98,8.9,764.9,0.0
01-02-2017 19:00:00,29.4,29.8,28.5,69,74,68,23.3,24.1,22.8,997.6,998.2,997.5,3.9,107,8.0,1613.,0.0
01-02-2017 18:00:00,28.7,28.8,27.4,74,79,71,23.5,23.9,22.7,998.2,998.4,998.2,2.9,112,6.5,884.1,0.4
01-02-2017 17:00:00,28.4,29.1,25.7,72,82,70,22.9,24.1,22.1,998.4,999.2,998.4,3.9,96,9.5,1725.,0.0
01-02-2017 16:00:00,25.7,31.8,25.3,81,81,55,22.1,22.6,20.0,999.2,999.7,998.9,4.4,127,11.5,1615.,1.6
01-02-2017 15:00:00,31.6,31.9,30.5,57,64,55,22.0,23.5,21.1,999.7,1000.3,999.7,5.6,101,9.8,2799.,0.0
01-02-2017 14:00:00,31.1,31.1,28.8,63,70,62,23.1,23.9,22.4,1000.3,1000.9,1000.3,4.9,95,8.2,2029.,0.0
01-02-2017 13:00:00,29.6,29.8,27.9,67,73,67,22.8,23.5,22.1,1000.9,1001.1,1000.9,4.1,116,8.7,1916.,0.0
01-02-2017 12:00:00,28.7,28.9,27.3,70,76,69,22.6,23.1,22.1,1001.1,1001.1,1000.7,4.4,113,8.1,1812.,0.0
01-02-2017 11:00:00,27.3,27.5,26.2,76,79,74,22.6,23.1,22.0,1000.7,1000.7,1000.1,4.8,117,8.1,1054.,0.0
01-02-2017 10:00:00,26.2,26.4,25.4,79,81,78,22.2,22.4,21.8,1000.1,1000.1,999.3,3.7,118,9.8,325.8,0.0
01-02-2017 09:00:00,25.4,25.6,25.4,81,81,80,21.9,22.0,21.8,999.3,999.3,998.5,4.5,110,9.4,4.585,0.0
01-02-2017 08:00:00,25.4,25.6,25.3,80,81,80,21.8,21.9,21.7,998.6,998.6,998.3,4.8,104,10.3,-3.53,0.0
01-02-2017 07:00:00,25.4,25.7,25.3,80,80,78,21.7,21.7,21.4,998.3,998.3,997.7,3.8,106,7.1,-3.54,0.0
01-02-2017 06:00:00,25.6,25.6,25.4,79,81,79,21.7,22.1,21.7,997.7,997.9,997.6,3.3,107,8.0,-3.54,0.0
01-02-2017 05:00:00,25.6,25.9,25.5,81,82,81,22.1,22.6,22.1,997.9,998.4,997.8,2.8,98,7.1,-3.53,0.0
01-02-2017 04:00:00,25.8,26.0,25.8,82,83,82,22.6,22.7,22.5,998.4,999.1,998.4,4.1,100,8.4,-3.54,0.0
01-02-2017 03:00:00,25.9,26.2,25.9,82,82,81,22.7,22.9,22.6,999.1,1000.0,999.1,4.2,99,9.5,-3.54,0.0
01-02-2017 02:00:00,26.0,26.2,25.9,82,82,80,22.7,22.8,22.3,1000.0,1000.4,999.9,5.7,99,9.5,-3.29,0.0
01-02-2017 01:00:00,26.0,26.0,25.6,80,81,80,22.3,22.3,22.0,1000.4,1000.6,1000.1,4.8,101,7.7,-3.44,0.0
01-02-2017 00:00:00,25.7,25.7,25.6,81,81,81,22.1,22.2,22.1,1000.1,1000.3,1000.1,2.8,116,7.9,-3.54,0.0
02-02-2017 23:00:00,27.0,27.4,27.0,74,74,71,21.9,21.9,21.7,998.9,998.9,997.9,5.8,110,9.9,-3.54,0.0
02-02-2017 22:00:00,27.4,28.5,27.4,71,71,64,21.7,21.7,21.0,998.0,998.0,997.4,6.2,96,10.1,-3.06,0.0
02-02-2017 21:00:00,28.5,30.2,28.5,64,64,58,21.0,21.2,20.7,997.5,997.5,997.1,5.7,92,10.0,197.1,0.0
02-02-2017 20:00:00,30.2,31.4,30.2,58,58,52,21.0,21.4,20.1,997.1,997.1,996.8,5.3,96,10.9,1009.,0.0
02-02-2017 19:00:00,31.3,32.3,31.1,56,56,50,21.4,22.2,20.3,996.8,997.1,996.8,6.6,94,11.7,1740.,0.0
02-02-2017 18:00:00,32.0,33.3,31.2,56,57,50,22.2,22.4,20.9,997.0,997.3,997.0,6.2,90,11.4,2015.,0.0
02-02-2017 17:00:00,32.0,33.0,31.4,53,56,51,21.2,22.2,20.6,997.3,998.0,997.3,6.8,88,10.7,2473.,0.0
02-02-2017 16:00:00,32.8,32.9,30.9,54,58,52,22.2,22.5,21.1,997.9,998.8,997.9,4.8,91,9.4,2233.,0.0
02-02-2017 15:00:00,32.2,32.7,30.9,52,58,50,21.2,22.4,20.6,998.8,999.3,998.8,4.3,120,10.5,3198.,0.0
02-02-2017 14:00:00,31.5,32.0,29.9,58,65,56,22.4,23.1,21.4,999.3,999.9,999.3,6.1,99,8.9,2967.,0.0
02-02-2017 13:00:00,29.9,30.3,28.8,64,67,62,22.3,23.0,21.5,999.9,1000.2,999.8,4.1,104,8.4,2318.,0.0
02-02-2017 12:00:00,29.3,29.5,28.1,65,72,65,22.1,22.7,22.0,1000.1,1000.2,1000.0,4.9,124,8.9,2126.,0.0
02-02-2017 11:00:00,28.2,28.4,26.4,71,77,70,22.4,22.9,22.0,1000.1,1000.1,999.5,4.1,123,9.0,1079.,0.0
02-02-2017 10:00:00,26.5,26.5,26.1,77,80,76,22.1,22.4,21.9,999.5,999.5,998.8,4.1,124,9.0,230.8,0.0
02-02-2017 09:00:00,26.2,26.2,26.0,80,81,80,22.4,22.6,22.3,998.8,998.9,998.3,4.6,108,8.7,6.835,0.0
02-02-2017 08:00:00,26.0,26.2,26.0,81,81,81,22.5,22.7,22.5,998.3,998.3,997.9,4.4,113,10.1,-3.54,0.0
02-02-2017 07:00:00,26.0,26.2,25.8,81,83,81,22.5,22.7,22.5,997.9,998.0,997.5,5.3,111,9.4,-3.45,0.0
02-02-2017 06:00:00,25.8,26.2,25.6,83,84,81,22.7,22.9,22.6,997.6,997.8,997.6,5.6,107,9.5,-3.42,0.2
02-02-2017 05:00:00,26.1,26.3,26.1,81,82,81,22.7,22.9,22.7,997.7,998.1,997.7,4.9,103,11.1,-3.54,0.0
02-02-2017 04:00:00,26.3,26.4,26.2,81,82,81,22.8,22.9,22.7,998.1,998.6,998.1,5.2,98,9.2,-3.53,0.0
02-02-2017 03:00:00,26.4,26.4,26.3,81,81,81,22.9,22.9,22.8,998.6,999.2,998.6,6.0,102,8.3,-3.54,0.0
