@relation 'WMLOGB_edited-weka.filters.unsupervised.attribute.Remove-R1,3-4,6-28,30-52,54-75'

@attribute temperature numeric
@attribute sensor01value numeric
@attribute sensor02value numeric
@attribute sensor03value numeric

@data
40,478549,3538,8122
38.75,477857,2932,8196
45.75,474374,2506,8275
46.25,474956,2200,8329
44.5,475478,1952,8395
40.75,476711,1779,8448
31.25,470750,1674,8439
29,473330,1635,8442
26.75,475662,1595,8439
26,495585,1592,8398
26,484473,1566,8386
26,493351,1571,8371
25.75,517387,1583,8339
26,523885,1566,8339
25.5,524499,1573,8365
25,528109,1571,8353
24.25,525163,1569,8316
24,524949,1597,8287
24.25,528264,1597,8287
23.75,532484,1600,8272
24,470588,1602,8272
28.5,528569,1607,8261
38.5,496905,1604,8316
40.75,510093,1590,8305
44.75,527985,1592,8371
42,517164,1595,8398
40.5,530957,1606,8457
37.75,534502,1618,8439
37.75,544767,1660,8454
38.5,565968,1692,8549
34.25,571683,1714,8534
34.25,584960,1757,8492
28.25,607854,1800,8492
26.75,611979,1844,8477
26.5,605534,1896,8448
26.25,607131,1949,8489
25.75,611250,1984,8474
24.5,610698,2006,8489
25.5,610885,2039,8489
25.5,610593,2083,8460
25,610309,2109,8501
24.25,603620,2135,8486
24.25,615897,2158,8486
23.75,619254,2181,8501
23.75,629567,2215,8501
30.25,637328,2235,8516
39.5,602189,2220,8561
39.5,603119,2182,8576
42.75,615291,2175,8606
41,644396,2171,8606
46.25,709242,2193,8634
42.25,707986,2197,8646
44,734263,2216,8661
43,780138,2239,8661
41,876161,2224,8800
35,865779,2262,8674
28.75,954273,2337,8583
27,994673,2390,8669
26.25,978401,2439,8669
25.75,972864,2472,8685
25.5,876834,2519,8685
24.5,850952,2525,8792
25.25,775464,2622,8682
24.5,706702,2648,8667
24,706550,2706,8667
23.5,699659,2733,8682
24,705940,2773,8698
23.25,699554,2820,8652
24.25,705940,2847,8711
34,702182,2882,8713
40.25,654928,2875,8730
41,654930,2861,8745
46.25,675163,2892,8717
46,706846,2911,8717
48.75,764568,2962,8804
45.25,781453,3010,8789
45.5,867577,3016,8776
43,984528,3080,8804
40.75,1110481,3139,8743
35,1242864,3217,8785
28.5,1265955,3201,8907
26.75,1327500,3249,8936
26.25,1264228,3260,8936
26,1232343,3289,8946
25.5,1096980,3349,8781
24,1096153,3371,8826
23.5,986255,3387,8826
23.25,911173,3410,8901
23,844928,3392,8963
23,835239,3491,8841
22.75,779042,3450,9007
22.5,769621,3541,8839
23,769674,3591,8900
33.5,762966,3570,8888
41,761958,3558,8950
32.5,506220,3577,8901
39.75,767200,3617,8964
45.75,805918,3685,8979
46.5,854780,3691,9122
44.25,908748,3760,8981
43.75,962477,3832,8857
40.75,978454,3885,8964
40.25,1105610,3949,9009
34.75,1098233,3991,8992
28,1094330,4053,8992
25.75,1176014,4169,9007
25.5,1191627,4134,9131
24.75,1165756,4214,9034
24.25,1072611,4234,9050
24.25,997944,4255,9051
24.25,963816,4232,9051
23.75,916435,4313,8987
23.25,947395,4343,8955
23.75,931710,4363,9081
23.75,931710,4383,9065
23,930909,4403,9113
23.75,931475,4423,9129
29.75,908940,4466,9065
41.5,852059,4427,9145
44.5,940313,4376,9208
47.75,926850,4427,9240
50,975228,4489,9272
47.75,978401,4614,9241
45.5,1123513,4776,9256
44.5,1486659,4825,9347
44,1816229,4972,9369
41,1908591,5100,9379
34.5,1893601,5182,9337
28.5,2343305,5300,9323
26.25,2627834,5375,9358
25.75,2346118,5391,9358
24.75,2528777,5407,9388
24.5,1970902,5398,9394
25.5,1692961,5390,9372
25.25,1660274,5404,9399
24.75,1490077,5421,9410
24.5,1303982,5424,9399
24,1241227,5450,9422
23.5,1209057,5466,9427
23.5,1239500,5498,9396
23.75,1234532,5514,9406
32,1201697,5601,9318
39.5,1119995,5546,9351
38.75,1056385,5493,9335
41.75,1167989,5566,9400
42.5,1183313,5560,9521
47.5,1252336,5692,9537
47.25,1250965,5820,9549
45.75,1778006,5948,9558
44.5,1887619,6122,9533
38.25,2609034,6261,9512
34.75,2759327,6439,9546
