time               ,temperature,VCC ,sensor01resistancebias,sensor01value,raw01  ,raw02  ,raw03  ,raw04  ,raw05  ,raw06  ,raw07  ,raw08  ,raw09  ,raw10  ,raw11  ,raw12  ,raw13  ,raw14  ,raw15  ,raw16  ,raw17     ,raw18    ,raw19    ,raw20,raw21,raw22,sensor02resistancebias,sensor02value,raw23 ,raw24 ,raw25 ,raw26 ,raw27 ,raw28 ,raw29 ,raw30 ,raw31 ,raw32 ,raw33 ,raw34,raw35,raw36,raw37,raw38,raw39,raw40,raw41,raw42,raw43,raw44,sensor03resistancebias,sensor03value,raw45,raw46,raw47,raw48,raw49,raw50,raw51,raw52,raw53,raw54,raw55,raw56,raw57,raw58,raw59,raw60,raw61,raw62,raw63,raw64,raw65,raw66
2017-01-31 10:00:00,43.50      ,6.01,683                   ,6108         ,6448   ,6448   ,6478   ,6448   ,6448   ,6448   ,6448   ,6448   ,6448   ,6448   ,6448   ,5744   ,5770   ,5770   ,5770   ,5770   ,5770      ,5770     ,5770     ,5770 ,5770 ,5770 ,270463                ,130539       ,416420,346233,296100,276046,258500,243017,229255,229255,216942,205860,205860,-4668,-4684,-4692,-4692,-4700,-4700,-4700,-4684,488  ,3845 ,4073 ,4073                  ,4091         ,4091 ,4091 ,4091 ,4072 ,4101 ,4101 ,4101 ,4101 ,3561 ,3594 ,3594 ,3594 ,3594 ,3610 ,3626 ,3610 ,3610 ,3610 ,3610 ,     ,     ,     
2017-01-31 11:00:00,44.50      ,5.91,690                   ,6049         ,6394   ,6394   ,6394   ,6394   ,6394   ,6394   ,6394   ,6394   ,6394   ,6394   ,6394   ,5681   ,5681   ,5707   ,5707   ,5707   ,5707      ,5707     ,5707     ,5707 ,5707 ,5732 ,230858                ,117848       ,275733,345841,318876,295764,258206,275733,275733,258206,258206,1872  ,1882  ,2413 ,2442 ,2417 ,2417 ,2417 ,2425 ,2417 ,2425 ,2417 ,2417 ,2405 ,500                   ,3870         ,4090 ,4127 ,4108 ,4127 ,4108 ,4127 ,4127 ,4127 ,4127 ,4127 ,4127 ,3589 ,3622 ,3622 ,3631 ,3631 ,3622 ,3622 ,3622 ,3622 ,3622 ,3622 
2017-01-31 12:00:00,50.25      ,5.85,670                   ,5775         ,6125   ,6097   ,6110   ,6110   ,6110   ,6110   ,6110   ,6110   ,6110   ,6110   ,6110   ,5421   ,5421   ,5445   ,5445   ,5445   ,5445      ,5445     ,5445     ,5445 ,5445 ,5445 ,-442                  ,2550         ,2338  ,2338  ,2334  ,2334  ,2334  ,2334  ,2334  ,2322  ,2314  ,2322  ,2322  ,2733 ,2759 ,2773 ,2773 ,2773 ,2773 ,2773 ,2773 ,2786 ,2786 ,2786 ,495                   ,3899         ,4117 ,4136 ,4136 ,4136 ,4154 ,4154 ,4154 ,4154 ,4173 ,4154 ,4154 ,3622 ,3655 ,3655 ,3655 ,3655 ,3655 ,3655 ,3655 ,3655 ,3655 ,3655 
2017-01-31 13:00:00,51.00      ,5.82,651                   ,5458         ,5801   ,5801   ,5801   ,5801   ,5775   ,5775   ,5775   ,5775   ,5775   ,5775   ,5775   ,5115   ,5115   ,5138   ,5138   ,5138   ,5138      ,5138     ,5138     ,5138 ,5138 ,5138 ,-395                  ,2533         ,2334  ,2342  ,2342  ,2342  ,2342  ,2330  ,2338  ,2326  ,2326  ,2350  ,2326  ,2697 ,2723 ,2723 ,2736 ,2736 ,2736 ,2736 ,2736 ,2736 ,2736 ,2750 ,486                   ,3925         ,4137 ,4155 ,4155 ,4174 ,4174 ,4174 ,4174 ,4174 ,4174 ,4174 ,4193 ,3657 ,3674 ,3674 ,3690 ,3690 ,3690 ,3690 ,3690 ,3690 ,3690 ,3674 
2017-01-31 14:00:00,50.00      ,5.76,652                   ,5258         ,5584   ,5584   ,5584   ,5584   ,5559   ,5610   ,5584   ,5584   ,5584   ,5584   ,5584   ,4914   ,4914   ,4936   ,4936   ,4936   ,4936      ,4936     ,4936     ,4936 ,4936 ,4936 ,-377                  ,2486         ,2318  ,2318  ,2306  ,2295  ,2295  ,2295  ,2295  ,2295  ,2295  ,2283  ,2283  ,2651 ,2677 ,2690 ,2677 ,2677 ,2677 ,2677 ,2677 ,2677 ,2677 ,2677 ,501                   ,3949         ,4173 ,4192 ,4211 ,4211 ,4211 ,4192 ,4202 ,4202 ,4202 ,4202 ,4202 ,3698 ,3698 ,3698 ,3698 ,3714 ,3698 ,3698 ,3698 ,3698 ,3698 ,3698 
2017-01-31 15:00:00,45.25      ,5.67,624                   ,5127         ,5439   ,5439   ,5439   ,5439   ,5439   ,5439   ,5439   ,5439   ,5439   ,5439   ,5439   ,4795   ,4817   ,4817   ,4817   ,4817   ,4817      ,4817     ,4817     ,4817 ,4817 ,4817 ,-363                  ,2464         ,2294  ,2294  ,2294  ,2283  ,2283  ,2283  ,2283  ,2283  ,2283  ,2271  ,2271  ,2613 ,2639 ,2639 ,2652 ,2652 ,2652 ,2652 ,2652 ,2652 ,2652 ,2652 ,505                   ,4006         ,4227 ,4247 ,4247 ,4266 ,4266 ,4266 ,4266 ,4266 ,4266 ,4266 ,4266 ,3735 ,3742 ,3742 ,3760 ,3760 ,3760 ,3760 ,3760 ,3760 ,3760 ,3760 
2017-01-31 16:00:00,33.50      ,5.55,613                   ,5009         ,5310   ,5334   ,5334   ,5334   ,5310   ,5310   ,5310   ,5310   ,5310   ,5310   ,5310   ,4678   ,4700   ,4700   ,4700   ,4700   ,4721      ,4721     ,4721     ,4700 ,4700 ,4700 ,-353                  ,2421         ,2267  ,2267  ,2255  ,2244  ,2244  ,2255  ,2244  ,2232  ,2232  ,2232  ,2232  ,2572 ,2585 ,2598 ,2598 ,2598 ,2598 ,2598 ,2611 ,2598 ,2611 ,2611 ,506                   ,4025         ,4273 ,4273 ,4273 ,4273 ,4293 ,4273 ,4273 ,4293 ,4293 ,4273 ,4273 ,3756 ,3763 ,3790 ,3763 ,3790 ,3790 ,3773 ,3763 ,3773 ,3763 ,3773 
2017-01-31 17:00:00,31.00      ,5.61,602                   ,4939         ,5249   ,5249   ,5249   ,5249   ,5225   ,5237   ,5237   ,5237   ,5237   ,5237   ,5237   ,4616   ,4637   ,4637   ,4637   ,4637   ,4637      ,4637     ,4657     ,4637 ,4657 ,4637 ,-342                  ,2401         ,2236  ,2248  ,2236  ,2236  ,2225  ,2225  ,2225  ,2225  ,2225  ,2225  ,2225  ,2546 ,2563 ,2563 ,2576 ,2576 ,2576 ,2576 ,2576 ,2576 ,2576 ,2589 ,496                   ,4071         ,4293 ,4313 ,4313 ,4313 ,4313 ,4313 ,4332 ,4332 ,4332 ,4332 ,4332 ,3792 ,3809 ,3844 ,3827 ,3827 ,3827 ,3827 ,3827 ,3827 ,3827 ,3827 
2017-01-31 18:00:00,29.00      ,5.55,594                   ,4881         ,5157   ,5181   ,5181   ,5181   ,5181   ,5181   ,5181   ,5181   ,5181   ,5181   ,5181   ,4563   ,4584   ,4584   ,4584   ,4584   ,4584      ,4584     ,4584     ,4605 ,4584 ,4584 ,-352                  ,2369         ,2186  ,2193  ,2201  ,2201  ,2201  ,2190  ,2198  ,2198  ,2186  ,2186  ,2186  ,2517 ,2530 ,2542 ,2542 ,2542 ,2555 ,2555 ,2555 ,2555 ,2555 ,2555 ,505                   ,4087         ,4312 ,4332 ,4332 ,4332 ,4332 ,4351 ,4351 ,4351 ,4351 ,4351 ,4351 ,3807 ,3825 ,3842 ,3842 ,3842 ,3842 ,3825 ,3842 ,3842 ,3842 ,3842 
2017-01-31 19:00:00,27.75      ,5.55,612                   ,4830         ,5134   ,5134   ,5134   ,5157   ,5134   ,5134   ,5134   ,5134   ,5134   ,5134   ,5134   ,4492   ,4512   ,4512   ,4532   ,4532   ,4532      ,4532     ,4532     ,4532 ,4532 ,4532 ,17981                 ,7546         ,16866 ,17561 ,17208 ,16866 ,16643 ,16426 ,16318 ,16212 ,16107 ,16107 ,15597 ,-2679,776  ,809  ,786  ,-2136,-2350,-2182,-2278,-2185,-2307,-2147,518                   ,4102         ,4310 ,4351 ,4370 ,4370 ,4370 ,4370 ,4351 ,4371 ,4371 ,4371 ,4371 ,3807 ,3833 ,3833 ,3833 ,3842 ,3860 ,3842 ,3877 ,3860 ,3850 ,3842 
