node1,node2,node3,node4
22.853,27.909,32.154,11.274
18.566,27.706,30.552,10.66
17.013,27.74,28.698,9.7942
17.019,27.77,27.529,9.2621
17.127,27.842,26.763,9.1568
17.148,27.494,26.073,9.2562
18.516,27.645,25.664,9.496
18.924,27.781,25.325,9.6597
20.174,28.946,25.026,9.8234
19.475,28.296,24.675,9.9287
20.361,28.815,24.442,10.028
20.437,30.221,24.214,10.139
20.444,30.601,24.114,10.139
20.694,30.637,24.062,10.244
21.727,30.848,24.05,10.268
22.466,30.676,24.067,10.356
22.519,30.663,24.097,10.455
22.601,30.857,24.132,10.508
22.559,31.104,24.214,10.566
22.505,27.484,24.348,10.636
20.902,30.875,24.465,10.665
19.625,29.023,24.354,10.554
19.252,29.794,24.214,10.461
20.196,30.841,24.196,10.426
20.542,30.208,24.401,10.443
20.897,31.014,24.535,10.396
21.385,31.222,24.728,10.396
21.359,31.822,24.904,10.543
21.476,33.062,25.073,10.66
22.992,33.396,25.173,10.817
23.039,34.172,25.325,10.969
21.21,35.511,25.506,11.25
21.362,35.752,25.781,11.449
21.639,35.375,25.915,11.63
23.607,35.468,26.026,11.724
23.681,35.709,26.096,11.823
24.233,35.677,26.143,11.888
24.145,35.688,26.225,11.94
26.193,35.671,26.319,11.987
26.284,35.654,26.377,12.045
26.436,35.263,26.506,12.08
26.416,35.981,26.64,12.104
26.674,36.177,26.775,12.186
27.031,36.78,26.973,12.268
26.49,37.234,27.125,12.297
23.951,35.179,26.997,12.121
24.346,35.234,26.804,12.022
26.275,35.946,26.851,11.806
26.665,37.647,27.014,11.49
28.555,41.439,27.359,11.122
27.346,41.366,27.605,10.56
29.605,42.902,28.196,10.285
29.777,45.585,28.576,9.9754
29.423,51.199,28.681,9.8468
26.728,50.592,28.956,9.8527
19.84,55.767,29.383,10.057
19.615,58.129,29.652,10.28
19.517,57.178,29.692,10.467
20.065,56.854,29.634,10.619
21.213,51.239,29.552,10.771
21.764,49.725,29.517,10.858
21.935,45.311,29.523,10.94
23.495,41.291,29.459,11.04
23.679,41.282,29.529,11.11
24.021,40.879,29.611,11.233
24.113,41.246,29.739,11.303
26.152,40.873,29.88,11.379
26.294,41.246,30.008,11.443
23.879,41.026,30.137,11.478
23.38,38.263,30.002,11.25
24.315,38.263,29.663,10.923
29.726,39.446,29.681,10.665
29.877,41.299,29.862,10.332
30.305,44.674,30.318,9.9813
29.835,45.662,30.616,9.5252
29.957,50.697,31.412,9.1334
29.973,57.536,32.002,8.9522
29.626,64.901,32.271,8.8762
26.536,72.641,32.622,8.9171
19.573,73.992,32.984,9.1393
18.381,77.59,33.23,9.4024
19.131,73.891,33.195,9.5778
19.638,72.026,33.166,9.7474
20.328,64.111,33.014,9.8994
21.632,64.063,32.85,9.9871
21.947,57.637,32.803,10.133
23.021,53.247,32.78,10.25
23.592,49.373,32.803,10.344
23.982,48.807,32.92,10.472
24.099,45.521,32.908,10.595
25.154,44.97,33.037,10.683
26.369,44.973,33.142,10.8
24.156,44.581,33.265,10.788
23.788,44.522,33.031,10.613
23.893,29.568,32.792,10.332
24.001,44.828,32.809,10.239
24.435,47.092,33.4,10.11
24.493,49.949,33.862,9.8643
23.904,53.105,34.177,9.4375
26.839,56.246,34.657,9.1744
29.737,57.181,34.978,8.9873
28.141,64.616,34.891,8.9229
26.137,64.185,34.937,8.9522
21.825,63.956,35.335,9.1101
21.518,68.733,35.715,9.379
22.039,69.646,35.838,9.6129
22.808,68.133,35.902,9.8
24.037,62.686,35.826,9.9521
24.461,58.32,35.908,10.098
24.921,56.325,35.879,10.186
26.747,53.554,35.99,10.303
26.725,55.365,36.113,10.367
27.009,54.447,36.247,10.484
27.586,54.447,36.51,10.56
29.454,54.401,36.697,10.636
29.936,54.434,37.031,10.718
26.973,53.116,37.206,10.777
27.145,49.79,36.961,10.589
30.979,54.951,36.528,10.244
35.078,54.163,36.505,9.993
35.735,56.992,0,9.7006
35.524,57.178,0,9.3322
33.907,65.663,0,8.9346
35.156,86.897,0,8.5663
35.358,106.17,0,8.3791
34.646,111.57,0,8.268
27.497,110.69,0,8.3499
20.267,136.99,0,8.5604
19.351,153.62,0,8.7651
19.981,137.15,0,9.0223
21.811,147.83,0,9.2562
22.137,115.21,0,9.3966
22.371,98.96,0,9.5135
23.867,97.049,0,9.648
24.096,87.097,0,9.7533
24.325,76.215,0,9.8
26.473,72.546,0,9.8936
26.399,70.665,0,10.034
27.079,72.445,0,10.139
27.337,72.154,0,10.227
26.535,70.234,0,10.25
25.306,65.457,0,10.157
26.904,61.738,0,9.9111
30.584,68.263,0,9.724
31.162,69.159,0,9.4784
30.875,73.195,0,9.2095
31.354,73.115,0,8.7475
35.659,103.93,0,8.4259
35.718,110.34,0,8.1745
32.992,152.53,0,8.1511
30.413,161.31,0,8.2037
