when,d15cm_modulo1,d45cm_modulo1,d75cm_modulo1,d15cm_modulo2,d45cm_modulo2,d75cm_modulo2,d15cm_modulo3,d45cm_modulo3,d75cm_modulo3,d15cm_modulo4,d45cm_modulo4,d75cm_modulo4,wetness_modulo5,temperature_modulo5,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_dir,vento_rajada,radiacao,precipitacao,EToPM
2017-04-25 16:00:00.000,1210,653,754,853,849,1168,728,829,604,555,1398,772,1023,27.6875,31,31.6,29.9,59,64,57,22,23.3,21.5,99.81,998.9,998.1,3.3,116,7.6,3.36,0,1.06676777484537
2017-04-25 17:00:00.000,1163,583,756,818,816,1151,703,801,597,540,1398,761,1023,27.875,31.2,31.7,30.8,58,62,54,21.9,23.1,21,99.75,998.1,997.5,3.6,121,7.6,3.06,0,0.98944534773468
2017-04-25 18:00:00.000,1125,525,752,796,791,1124,686,783,598,529,1390,753,1023,28.0625,31.2,31.4,30.8,58,61,56,21.9,22.6,21.2,99.69,997.5,996.9,3.1,109,6.9,2.286,0,0.553030215106444
2017-04-25 19:00:00.000,1093,482,753,780,775,1168,671,767,605,517,1377,746,1023,28.2678506575689,30,31.3,29.4,68,69,58,23.5,23.6,21.2,99.72,997.2,996.8,4.5,80,8,1.314,0,0.301847180080857
2017-04-25 20:00:00.000,1075,447,753,778,758,1141,658,750,604,507,1360,736,1023,28.4375,28.4,30,28.2,73,75,68,23,23.5,23,99.76,997.6,997.2,2.9,89,6.6,0.2016,0.2,0.0907105750031168
2017-04-25 21:00:00.000,1059,416,744,781,744,1120,655,735,609,510,1339,730,1023,28.625,27.4,28.4,27.4,73,74,72,22.1,22.9,22,99.79,997.9,997.6,3.5,100,6.4,0.04448,0,0.0637737242406371
2017-04-25 22:00:00.000,1042,388,737,784,732,1100,658,715,607,506,1330,724,1023,28.6875,27,27.4,26.9,74,75,73,21.9,22.2,21.9,99.88,998.8,997.9,5.5,101,9.4,-0.00354,0,0.0662059786455374
2017-04-25 23:00:00.000,1028,361,732,786,725,1086,659,706,609,501,1322,715,1023,28.75,26.6,27,26.6,76,76,74,22.1,22.1,21.9,99.96,999.6,998.8,3.9,108,9.4,-0.00354,0,0.0508648361539395
2017-04-26 00:00:00.000,1028,347,730,792,722,1084,661,697,610,502,1313,709,1023,28.8125,26.5,26.7,26.4,77,77,75,22.1,22.1,21.9,100,1000,999.6,2.9,106,6.9,-0.00354,0,0.0410014320842042
2017-04-26 01:00:00.000,1011,328,722,790,718,1073,662,688,604,502,1311,704,1023,28.75,26.5,26.6,26.4,78,78,77,22.4,22.4,22.1,100.01,1000.1,999.9,4.5,104,7.3,-0.00354,0,0.0499673016091136
2017-04-26 02:00:00.000,1001,316,722,792,713,1068,664,681,601,496,1303,694,1023,28.7453591745856,26.3,26.5,26.3,81,81,78,22.7,22.7,22.4,99.97,1000.1,999.7,4.1,109,7.5,-0.00354,0,0.0407851492603802
2017-04-26 03:00:00.000,999,307,712,795,713,1062,664,675,607,494,1304,688,1023,28.6875,26.3,26.3,26.1,81,82,81,22.8,22.9,22.7,99.92,999.7,999.2,3.7,109,6,-0.00354,0,0.0386045004430579
2017-04-26 04:00:00.000,986,288,706,794,708,1054,665,670,603,498,1300,682,1023,28.5800070413238,26.3,26.5,26.2,82,82,81,22.9,22.9,22.8,99.85,999.2,998.5,4.1,106,7.9,-0.00354,0,0.0385912953051556
2017-04-26 05:00:00.000,973,283,702,799,705,1050,667,668,605,498,1291,677,1023,28.5,26.3,26.4,26.1,82,83,81,23,23,22.9,99.81,998.5,998.1,3.7,116,7.5,-0.00354,0,0.0562697963638471
2017-04-26 06:00:00.000,975,278,695,798,707,1049,665,663,594,499,1265,667,1023,28.4375,26.2,26.3,26.1,82,83,82,22.9,23,22.9,99.8,998.1,997.9,4,115,8.4,-0.00354,0,0.0598768907431899
