Date,d15cm_unified,d45cm_unified,d75cm_unified,wetness_modulo5,temperature_modulo5,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_dir,vento_rajada,radiacao,precipitacao,EToPM
2017-04-25 16:00:00.000,NaN,NaN,NaN,1023,27.6875,31,31.6,29.9,59,64,57,22,23.3,21.5,99.81,998.9,998.1,3.3,116,7.6,3.36,0,1.06676777484537
2017-04-25 17:00:00.000,801.990099326939,895.024925185713,812.189104300655,1023,27.875,31.2,31.7,30.8,58,62,54,21.9,23.1,21,99.75,998.1,997.5,3.6,121,7.6,3.06,0,0.98944534773468
2017-04-25 18:00:00.000,783.919159464974,872.607235216996,804.896077824237,1023,28.0625,31.2,31.4,30.8,58,61,56,21.9,22.6,21.2,99.69,997.5,996.9,3.1,109,6.9,2.286,0,0.553030215106444
2017-04-25 19:00:00.000,765.401062512198,850.571954102595,813.505812514424,1023,28.2678506575689,30,31.3,29.4,68,69,58,23.5,23.6,21.2,99.72,997.2,996.8,4.5,80,8,1.314,0,0.301847180080857
2017-04-25 20:00:00.000,753.118711193585,828.903746280286,807.98959909264,1023,28.4375,28.4,30,28.2,73,75,68,23,23.5,23,99.76,997.6,997.2,2.9,89,6.6,0.2016,0.2,0.0907105750031168
2017-04-25 21:00:00.000,748.668137426026,808.35021175261,800.655351447176,1023,28.625,27.4,28.4,27.4,73,74,72,22.1,22.9,22,99.79,997.9,997.6,3.5,100,6.4,0.04448,0,0.0637737242406371
2017-04-25 22:00:00.000,745.34431127789,790.469126281282,792.127741766308,1023,28.6875,27,27.4,26.9,74,75,73,21.9,22.2,21.9,99.88,998.8,997.9,5.5,101,9.4,-0.00354,0,0.0662059786455374
2017-04-25 23:00:00.000,741.830648164976,776.904719601231,785.293419386874,1023,28.75,26.6,27,26.6,76,76,74,22.1,22.1,21.9,99.96,999.6,998.8,3.9,108,9.4,-0.00354,0,0.0508648361539395
2017-04-26 00:00:00.000,743.576385439739,767.650404318599,782.43777774536,1023,28.8125,26.5,26.7,26.4,77,77,75,22.1,22.1,21.9,100,1000,999.6,2.9,106,6.9,-0.00354,0,0.0410014320842042
2017-04-26 01:00:00.000,740.174025044088,759.385869487508,775.658523124075,1023,28.75,26.5,26.6,26.4,78,78,77,22.4,22.4,22.1,100.01,1000.1,999.9,4.5,104,7.3,-0.00354,0,0.0499673016091136
2017-04-26 02:00:00.000,737.277547512535,751.622387681956,770.878064051059,1023,28.7453591745856,26.3,26.5,26.3,81,81,78,22.7,22.7,22.4,99.97,1000.1,999.7,4.1,109,7.5,-0.00354,0,0.0407851492603802
2017-04-26 03:00:00.000,736.866008986154,747.825761722124,766.8301807486,1023,28.6875,26.3,26.3,26.1,81,82,81,22.8,22.9,22.7,99.92,999.7,999.2,3.7,109,6,-0.00354,0,0.0386045004430579
2017-04-26 04:00:00.000,734.946182879529,740.328295878332,761.104358070789,1023,28.5800070413238,26.3,26.5,26.2,82,82,81,22.9,22.9,22.8,99.85,999.2,998.5,4.1,106,7.9,-0.00354,0,0.0385912953051556
2017-04-26 05:00:00.000,733.498344101146,735.403323512806,758.035863455296,1023,28.5,26.3,26.4,26.1,82,83,81,23,23,22.9,99.81,998.5,998.1,3.7,116,7.5,-0.00354,0,0.0562697963638471
2017-04-26 06:00:00.000,733.443779399705,727.408727776941,751.296942131568,1023,28.4375,26.2,26.3,26.1,82,83,82,22.9,23,22.9,99.8,998.1,997.9,4,115,8.4,-0.00354,0,0.0598768907431899
2017-04-26 07:00:00.000,732.156479188716,723.064245072722,745.654811289817,1023,28.3407309450047,26.1,26.2,26,82,83,82,22.9,23,22.8,99.81,998.2,997.9,3.9,119,7,-0.00353,0,0.0585034695570985
2017-04-26 08:00:00.000,748.725856334965,739.142665781902,766.924036727649,1023,28.25,25.7,26.1,25.7,81,82,81,22.3,22.9,22.2,99.84,998.4,998,3,108,7.6,-0.00354,0,0.0490497883350752
2017-04-26 09:00:00.000,736.962701102415,723.645279304549,750.272867415027,1023,28.1875,26.1,26.1,25.7,80,82,80,22.4,22.4,22.2,99.92,999.2,998.4,2.4,113,5.8,0.02751,0,0.0511844417142523
2017-04-26 10:00:00.000,722.936942815283,723.592963863726,740.224705594178,1023,28.0625,27.8,27.8,26.1,74,80,74,22.8,23.1,22.4,99.98,999.8,999.2,2.4,115,4.5,0.4924,0,0.194748244309636
2017-04-26 11:00:00.000,710.494112880282,723.00300374733,735.29678423508,1023,28,28.2,28.4,27.8,74,75,73,23.1,23.4,22.7,100.07,1000.7,999.8,3.3,118,6.6,1.336,0,0.433310342235648
2017-04-26 12:00:00.000,697.785076367348,721.50910220368,711.731370466196,1023,27.9375,28.7,29.1,27.8,73,76,70,23.4,23.6,22.5,100.09,1000.9,1000.7,3.9,109,7.6,1.821,0,0.569511649643649
2017-04-26 13:00:00.000,688.958682672629,719.777540387211,688.400730369514,1023,27.875,28.8,29.8,28.6,71,73,68,22.9,23.9,22.5,100.07,1000.9,1000.6,4.1,111,7.9,1.925,0,0.604647786123671
2017-04-26 14:00:00.000,678.23905788585,716.392684262503,664.666751333649,1023,27.900050670494,30.1,30.2,28.7,66,72,65,23.1,24.2,22.3,100,1000.7,1000,4,119,8.2,2.063,0,0.674750228726666
2017-04-26 15:00:00.000,668.975956597696,714.122197455599,644.022066184045,1023,27.9399047081369,31,31.2,29.6,61,68,61,22.6,23.8,22.2,99.89,1000,998.9,4,116,8.2,3.104,0,0.986027939652062
2017-04-26 16:00:00.000,661.260402635594,708.997566110742,630.665001632065,1023,28.053460808257,31.7,31.7,30.8,58,64,54,22.2,23.6,21.1,99.75,998.9,997.5,3.7,123,8,3.285,0,1.05991302724635
2017-04-26 17:00:00.000,640.084423144121,709.020663725537,624.715683519764,1023,28.25,31.1,31.9,30.9,56,58,52,21.4,22,20.5,99.69,997.5,996.9,4.2,126,8.3,2.976,0,0.972542011793245
2017-04-26 18:00:00.000,649.520390172137,700.226955723953,621.734304283332,1023,28.4234240902293,30.5,31.4,30.3,62,63,55,22.4,22.8,20.8,99.68,996.9,996.6,4,99,7.5,1.453,0,0.353375958470229
2017-04-26 19:00:00.000,654.800822976672,692.807995635828,618.973617631234,1023,28.6470800034693,27.6,30.5,27.6,78,79,61,23.5,24.2,22.1,99.74,997.4,996.7,3.6,63,7.5,1.242,0,0.260476026875432
2017-04-26 20:00:00.000,662.468561301912,689.797903482172,615.320911541724,1000,28.8125,27.5,27.9,27.2,72,79,72,22,23.7,22,99.78,997.8,997.4,3.8,96,6.3,0.1912,0,0.0930291669404676
