when,module,battery,d15cm,d15cm_bias,d45cm,d45cm_bias,d75cm,d75cm_bias
2017-04-25 15:00:00.000,2,5.394134521484370,935,283,917,-103,1200,-266
2017-04-25 15:30:00.000,2,5.394134521484370,886,259,880,-90,1192,-277
2017-04-25 16:00:00.000,2,5.197088241577140,853,261,849,-81,1168,-279
2017-04-25 16:30:00.000,2,5.343485355377190,834,259,832,-89,1153,-274
2017-04-25 17:00:00.000,2,5.368690490722650,818,257,816,-79,1151,-285
2017-04-25 17:30:00.000,2,5.318515777587890,803,257,802,-72,1129,-267
2017-04-25 18:00:00.000,2,5.1500563621521,796,258,791,-73,1124,-253
2017-04-25 18:30:00.000,2,5.293778896331780,785,256,780,-61,1169,-233
2017-04-25 19:00:00.000,2,5.318515777587890,780,253,775,-71,1168,-234
2017-04-25 19:30:00.000,2,5.318515777587890,778,252,765,-61,1148,-230
2017-04-25 20:00:00.000,2,5.318515777587890,778,256,758,-69,1141,-217
2017-04-25 20:30:00.000,2,5.293778896331780,776,246,750,-67,1125,-215
2017-04-25 21:00:00.000,2,5.318515777587890,781,259,744,-64,1120,-210
2017-04-25 21:30:00.000,2,5.318515777587890,783,249,741,-55,1113,-209
2017-04-25 22:00:00.000,2,5.318515777587890,784,256,732,-60,1100,-203
2017-04-25 22:30:00.000,2,5.293778896331780,788,256,730,-58,1099,-203
2017-04-25 23:00:00.000,2,5.269270420074460,786,256,725,-56,1086,-203
2017-04-25 23:30:00.000,2,5.293778896331780,788,266,723,-62,1082,-193
2017-04-26 00:00:00.000,2,5.293778896331780,792,254,722,-54,1084,-199
2017-04-26 00:30:00.000,2,5.269270420074460,791,253,722,-50,1078,-195
2017-04-26 01:00:00.000,2,5.269270420074460,790,250,718,-48,1073,-195
2017-04-26 01:30:00.000,2,5.269270420074460,790,259,714,-51,1070,-191
2017-04-26 02:00:00.000,2,5.269270420074460,792,256,713,-57,1068,-191
2017-04-26 02:30:00.000,2,5.269270420074460,794,256,712,-53,1065,-186
2017-04-26 03:00:00.000,2,5.269270420074460,795,257,713,-51,1062,-188
2017-04-26 03:30:00.000,2,5.244987964630120,794,240,711,-49,1054,-195
2017-04-26 04:00:00.000,2,5.244987964630120,794,254,708,-44,1054,-184
2017-04-26 04:30:00.000,2,5.173465251922600,793,249,708,-47,1047,-189
2017-04-26 05:00:00.000,2,5.081082344055170,799,254,705,-37,1050,-182
2017-04-26 05:30:00.000,2,5.244987964630120,796,249,705,-50,1048,-179
2017-04-26 06:00:00.000,2,5.058499813079830,798,254,707,-42,1049,-180
2017-04-26 06:30:00.000,2,5.244987964630120,790,245,701,-42,1038,-184
2017-04-26 07:00:00.000,2,5.197088241577140,792,243,701,-48,1033,-175
2017-04-26 07:30:00.000,2,5.103867053985590,797,253,703,-38,1041,-176
2017-04-26 08:00:00.000,2,5.173465251922600,797,243,702,-37,1035,-174
2017-04-26 08:30:00.000,2,5.126857757568350,798,244,700,-47,1033,-173
2017-04-26 09:00:00.000,2,5.1500563621521,798,247,700,-35,1032,-174
2017-04-26 09:30:00.000,2,5.103867053985590,798,244,700,-38,1028,-173
2017-04-26 10:00:00.000,2,5.103867053985590,793,234,698,-32,1023,-177
2017-04-26 10:30:00.000,2,5.197088241577140,788,227,698,-42,1024,-182
2017-04-26 11:00:00.000,2,5.220928192138670,782,242,701,-42,1029,-176
2017-04-26 11:30:00.000,2,5.220928192138670,771,231,698,-24,1022,-184
2017-04-26 12:00:00.000,2,5.244987964630120,767,238,699,-35,1022,-168
2017-04-26 12:30:00.000,2,5.244987964630120,768,231,697,-40,1015,-174
2017-04-26 13:00:00.000,2,5.244987964630120,771,228,697,-41,1020,-167
2017-04-26 13:30:00.000,2,5.244987964630120,763,237,697,-45,1018,-164
2017-04-26 14:00:00.000,2,5.244987964630120,754,224,694,-35,1015,-179
2017-04-26 14:30:00.000,2,5.220928192138670,748,233,695,-32,1021,-170
2017-04-26 15:00:00.000,2,5.244987964630120,742,217,691,-30,1018,-178
2017-04-26 15:30:00.000,2,5.244987964630120,739,227,689,-40,1013,-174
2017-04-26 16:00:00.000,2,5.244987964630120,741,228,686,-42,1009,-168
2017-04-26 16:30:00.000,2,5.220928192138670,744,237,683,-41,1010,-163
2017-04-26 17:30:00.000,2,5.244987964630120,753,234,684,-48,1017,-170
2017-04-26 18:00:00.000,2,5.220928192138670,752,227,681,-35,1007,-169
2017-04-26 18:30:00.000,2,5.220928192138670,760,235,681,-40,1011,-173
2017-04-26 19:00:00.000,2,5.197088241577140,765,238,676,-45,1006,-174
2017-04-26 19:30:00.000,2,5.220928192138670,775,239,673,-37,1010,-169
2017-04-26 20:00:00.000,2,5.220928192138670,784,234,670,-34,1008,-164
2017-04-26 20:30:00.000,2,5.197088241577140,787,238,668,-35,1000,-163
2017-04-26 21:00:00.000,2,5.197088241577140,800,237,665,-35,998,-151
2017-04-26 21:30:00.000,2,5.197088241577140,810,247,665,-45,998,-160
2017-04-26 22:00:00.000,2,5.197088241577140,822,251,665,-31,997,-159
2017-04-26 22:30:00.000,2,5.173465251922600,832,238,663,-33,999,-160
2017-04-26 23:00:00.000,2,5.173465251922600,839,250,660,-41,992,-159
2017-04-26 23:30:00.000,2,5.1500563621521,847,251,661,-39,996,-160
2017-04-27 00:00:00.000,2,5.173465251922600,866,245,660,-32,995,-161
