when,module,battery,d15cm,d15cm_bias,d45cm,d45cm_bias,d75cm,d75cm_bias
2017-04-25 12:39:03.235,03,5.312490463256836,-1,0,-1,0,-1,0
2017-04-25 12:39:29.510,03,5.386964321136475,-1,0,-1,0,-1,0
2017-04-25 12:39:36.948,03,5.169552803039551,-1,0,-1,0,-1,0
2017-04-25 12:39:41.611,03,5.361908912658691,-1,0,-1,0,-1,0
2017-04-25 13:10:44.531,03,5.216336727142334,-1,0,-1,0,-1,0
2017-04-25 13:18:41.131,03,5.192839622497559,-1,0,-1,0,-1,0
2017-04-25 14:18:27.808,03,4.947684288024902,853,220,880,237,779,-166
2017-04-25 14:50:04.577,03,5.240046977996826,791,219,858,246,730,-192
2017-04-25 15:50:18.262,03,5.361908912658691,728,212,829,252,604,-189
2017-04-25 16:20:05.185,03,5.361908912658691,717,228,813,260,604,-197
2017-04-25 16:50:01.336,03,5.337085247039795,703,224,801,266,597,-205
2017-04-25 17:49:31.180,03,5.312490463256836,686,224,783,270,598,-212
2017-04-25 18:48:48.195,03,5.263974189758301,671,230,767,276,605,-217
2017-04-25 15:20:12.344,03,5.386964321136475,759,222,845,253,621,-192
2017-04-25 17:19:46.940,03,5.312490463256836,694,222,793,264,599,-203
2017-04-25 19:18:19.925,03,5.240046977996826,661,231,756,273,604,-217
2017-04-25 19:47:47.753,03,5.240046977996826,658,229,750,272,604,-225
2017-04-25 20:46:31.693,03,5.192839622497559,655,239,735,278,609,-224
2017-04-25 18:19:12.410,03,5.288120746612549,677,236,773,270,601,-206
2017-04-25 22:14:20.621,03,5.123601913452148,658,243,715,267,607,-226
2017-04-25 20:17:11.882,03,5.216336727142334,656,240,742,278,608,-223
2017-04-25 22:43:35.718,03,5.100930690765381,659,235,711,269,608,-228
2017-04-25 23:12:51.161,03,5.100930690765381,659,242,706,270,609,-229
2017-04-25 21:15:48.888,03,5.169552803039551,655,241,725,271,606,-226
2017-04-25 21:45:05.178,03,5.146474838256836,657,235,723,270,607,-229
2017-04-26 00:11:21.203,03,5.0784592628479,661,244,697,270,610,-230
2017-04-26 00:40:35.325,03,5.056185722351074,661,238,691,261,602,-228
2017-04-25 23:42:06.416,03,5.0784592628479,660,246,700,260,604,-223
2017-04-26 02:08:16.032,03,5.034106254577637,664,240,681,258,601,-231
2017-04-26 01:09:49.123,03,5.056185722351074,662,237,688,264,604,-232
2017-04-26 01:39:02.603,03,5.034106254577637,663,245,684,259,607,-225
2017-04-26 03:06:42.959,03,5.012218952178955,664,236,675,262,607,-236
2017-04-26 02:37:29.372,03,5.012218952178955,665,241,680,264,604,-228
2017-04-26 03:35:55.446,03,4.990521430969238,666,243,675,257,603,-227
2017-04-26 04:05:08.227,03,4.926540374755859,665,237,670,261,603,-231
2017-04-26 04:34:21.416,03,4.947684288024902,667,239,670,260,602,-234
2017-04-26 05:03:34.494,03,4.947684288024902,667,241,668,260,605,-230
2017-04-26 05:32:47.523,03,4.926540374755859,667,249,667,256,599,-224
2017-04-26 06:02:00.413,03,4.88478946685791,665,246,663,251,594,-220
2017-04-26 07:00:25.539,03,4.823474407196045,667,247,663,250,598,-221
2017-04-26 08:28:01.750,03,4.823474407196045,669,250,657,252,600,-224
2017-04-26 08:57:13.812,03,4.8033766746521,667,249,656,250,599,-228
2017-04-26 09:26:27.707,03,4.88478946685791,668,242,652,255,600,-233
2017-04-26 09:55:48.931,03,4.905575752258301,668,248,652,252,604,-228
2017-04-26 10:54:44.434,03,4.947684288024902,664,249,650,247,600,-219
2017-04-26 10:25:14.983,03,4.926540374755859,668,250,655,252,600,-225
2017-04-26 11:24:22.210,03,4.947684288024902,660,248,650,250,598,-228
2017-04-26 12:23:31.165,03,4.947684288024902,656,247,649,256,601,-226
2017-04-26 11:53:56.140,03,4.947684288024902,660,249,648,252,603,-229
2017-04-26 12:53:09.917,03,4.947684288024902,651,254,645,251,601,-229
2017-04-26 13:22:48.560,03,4.947684288024902,651,246,646,254,602,-227
2017-04-26 13:52:45.193,03,4.969010353088379,648,254,646,252,605,-224
2017-04-26 14:22:47.323,03,4.969010353088379,646,248,648,251,604,-227
2017-04-26 14:52:46.884,03,4.969010353088379,640,254,644,249,600,-220
2017-04-26 15:22:40.142,03,4.969010353088379,637,252,646,248,602,-225
2017-04-26 15:52:31.534,03,4.947684288024902,633,249,644,251,604,-228
2017-04-26 16:22:08.980,03,4.926540374755859,629,248,639,253,603,-235
2017-04-26 16:51:42.816,03,4.905575752258301,625,246,634,254,606,-234
2017-04-26 17:21:16.338,03,4.88478946685791,620,249,633,246,602,-226
2017-04-26 17:50:58.276,03,4.88478946685791,619,249,633,251,603,-227
2017-04-26 18:20:30.798,03,4.864178657531738,617,253,632,244,600,-229
2017-04-26 19:48:32.467,03,4.783445358276367,614,259,628,244,603,-229
2017-04-26 20:17:50.931,03,4.763679027557373,614,248,625,251,605,-231
2017-04-26 20:47:06.713,03,4.744075775146484,614,257,621,245,605,-226
2017-04-26 18:49:52.958,03,4.823474407196045,615,257,628,245,605,-225
2017-04-26 19:19:13.255,03,4.8033766746521,614,253,628,251,606,-230
2017-04-26 21:16:21.273,03,4.724632740020752,613,258,620,245,603,-228
2017-04-26 22:14:47.741,03,4.686221122741699,614,264,619,235,599,-219
2017-04-26 22:44:00.316,03,4.686221122741699,618,260,620,244,603,-228
2017-04-26 21:45:34.838,03,4.705348491668701,615,256,623,244,604,-227
2017-04-26 23:13:12.824,03,4.667248249053955,615,252,617,242,601,-228
2017-04-27 00:11:37.547,03,4.648428916931152,615,257,616,237,600,-230
2017-04-27 00:40:49.700,03,4.648428916931152,618,255,615,245,604,-227
2017-04-26 23:42:25.271,03,4.667248249053955,616,263,617,239,602,-225
2017-04-27 01:39:12.745,03,4.629760265350342,619,256,616,240,602,-232
2017-04-27 02:08:23.696,03,4.629760265350342,618,259,614,242,601,-229
2017-04-27 02:37:34.528,03,4.611241340637207,620,259,611,235,601,-224
2017-04-27 03:06:45.098,03,4.611241340637207,620,264,614,234,603,-222
2017-04-27 01:10:01.348,03,4.629760265350342,617,264,614,234,601,-222
2017-04-27 05:03:26.530,03,4.592870235443115,623,260,611,238,607,-217
2017-04-27 06:01:46.942,03,4.574644565582275,621,265,610,233,602,-214
2017-04-27 04:34:16.242,03,4.592870235443115,622,255,611,247,605,-223
2017-04-27 07:00:07.474,03,4.574644565582275,624,267,613,230,604,-216
2017-04-27 07:58:27.801,03,4.556562900543213,626,263,612,241,608,-222
2017-04-27 05:32:36.777,03,4.592870235443115,624,259,611,237,605,-213
2017-04-27 06:30:57.167,03,4.574644565582275,623,256,611,237,606,-220
2017-04-27 10:54:05.975,03,4.667248249053955,622,264,613,237,608,-212
2017-04-27 13:20:36.061,03,4.611241340637207,612,245,621,246,614,-231
2017-04-27 13:49:56.737,03,4.629760265350342,609,255,625,240,613,-219
2017-04-28 17:17:03.743,03,4.400039196014404,1266,390,709,244,1349,-405
2017-04-28 20:14:16.363,03,4.131936550140381,1170,366,670,240,1270,-402
2017-04-28 22:11:05.367,03,3.9889633655548096,1124,360,651,230,1219,-385
2017-04-29 00:07:43.578,03,3.921123504638672,1085,350,633,230,1179,-371
2017-04-29 00:36:51.593,03,3.9078316688537598,1084,348,634,231,1171,-372
2017-04-29 01:05:59.663,03,3.894629716873169,1071,352,629,229,1165,-370
2017-04-27 09:55:17.090,03,4.611241340637207,627,262,615,238,608,-223
2017-04-29 03:31:37.277,03,3.855552911758423,1035,331,623,226,1088,-345
2017-04-29 04:00:44.783,03,3.855552911758423,1172,361,671,243,1094,-347
2017-04-29 04:29:51.996,03,3.8427011966705322,1251,388,669,241,1112,-344
2017-04-29 04:58:58.886,03,3.829934597015381,1291,401,666,232,1142,-350
2017-04-29 05:28:05.412,03,3.8172528743743896,1309,399,667,237,1152,-356
2017-04-29 05:57:11.658,03,3.804654598236084,1325,396,660,236,1157,-357
2017-04-29 06:26:17.330,03,3.7921392917633057,1323,388,653,239,1156,-360
2017-04-29 06:55:22.736,03,3.7921392917633057,1318,381,652,235,1150,-354
2017-04-29 07:24:27.949,03,3.7797062397003174,1309,391,644,230,1147,-352
2017-04-29 09:20:47.088,03,3.7428908348083496,1278,397,634,223,1135,-341
2017-04-29 10:19:00.340,03,3.755082607269287,1262,384,634,226,1130,-342
2017-04-29 10:48:12.965,03,3.855552911758423,1246,379,632,226,1124,-343
2017-04-29 12:16:40.420,03,4.002813816070557,1207,370,623,225,1113,-339
2017-04-29 14:15:30.360,03,4.0591912269592285,1140,362,617,222,1092,-337
2017-04-29 15:15:16.182,03,4.087979793548584,1109,352,615,227,1088,-335
2017-04-29 16:15:04.109,03,4.087979793548584,1080,345,610,224,1079,-334
2017-04-29 18:45:50.070,03,3.921123504638672,1003,329,594,219,1055,-340
2017-04-29 19:15:25.061,03,3.894629716873169,996,329,594,219,1052,-333
2017-04-29 20:14:20.412,03,3.7921392917633057,975,321,587,218,1035,-328
2017-04-29 21:42:19.693,03,3.7067856788635254,958,318,584,214,1029,-328
2017-04-29 22:40:56.394,03,3.671370506286621,949,321,581,212,1015,-319
2017-04-29 23:10:13.780,03,3.659715414047241,943,312,580,212,1012,-323
2017-04-30 02:05:51.888,03,3.5690722465515137,918,312,570,210,985,-315
2017-04-30 02:35:06.780,03,3.5471088886260986,915,300,572,214,989,-322
2017-04-30 03:04:21.192,03,3.5362281799316406,911,298,572,213,984,-313
2017-04-27 11:23:25.170,03,4.648428916931152,622,262,614,239,608,-222
2017-04-27 11:52:43.572,03,4.629760265350342,621,260,612,240,609,-219
2017-04-27 12:22:03.068,03,4.611241340637207,620,260,612,240,608,-221
2017-04-27 03:35:55.456,03,4.611241340637207,620,260,614,232,601,-228
2017-04-27 04:05:05.835,03,4.592870235443115,620,259,611,239,601,-227
2017-04-30 04:32:02.307,03,3.4933645725250244,897,302,567,212,975,-314
2017-04-30 05:59:40.876,03,3.4515280723571777,886,297,568,214,964,-307
2017-04-30 06:28:53.399,03,3.430983066558838,888,295,728,277,1087,-363
2017-04-30 06:58:05.003,03,3.420802116394043,952,311,752,278,1275,-390
2017-04-30 09:23:58.551,03,3.3511929512023926,3399,1017,1928,9,2215,-517
2017-04-30 12:19:42.099,03,3.472320318222046,4564,840,1269,158,3109,-611
2017-04-30 13:18:50.883,03,3.7067856788635254,5035,856,1386,198,3181,-610
2017-04-30 15:16:52.287,03,3.3906185626983643,4572,775,1408,236,3372,-647
2017-04-30 15:46:10.799,03,3.3511929512023926,4287,737,1397,233,3445,-648
2017-04-30 18:13:52.457,03,3.558056592941284,3823,794,1522,133,3596,-664
2017-05-04 13:37:29.516,03,5.463556289672852,-1,0,-1,0,-1,0
2017-05-04 13:38:53.823,03,5.192839622497559,-1,0,-1,0,-1,0
2017-05-04 15:03:12.685,03,5.489573001861572,4496,930,1078,-258,3467,695
2017-04-28 17:46:45.523,03,4.333873271942139,1243,390,697,243,1336,-405
2017-04-28 18:45:48.913,03,4.269668102264404,1210,384,685,239,1309,-399
2017-04-28 19:15:23.883,03,4.269668102264404,1195,371,681,242,1298,-404
2017-04-28 20:43:30.946,03,4.073534965515137,1155,373,665,234,1255,-387
2017-04-28 21:12:43.081,03,4.030805587768555,1146,359,659,237,1245,-393
2017-04-28 21:41:54.434,03,4.002813816070557,1136,358,657,234,1236,-388
2017-04-28 22:40:15.950,03,3.975208282470703,1117,362,646,234,1216,-383
2017-04-28 23:09:25.890,03,3.961547613143921,1107,357,641,231,1205,-381
2017-04-28 23:38:35.141,03,3.934506416320801,1097,362,637,227,1191,-375
2017-04-29 02:04:14.864,03,3.881516456604004,1055,339,628,232,1146,-369
2017-04-29 02:33:22.552,03,3.8684909343719482,1052,344,623,226,1138,-363
2017-04-29 03:02:29.839,03,3.8684909343719482,1044,334,624,225,1109,-353
2017-04-29 13:45:45.332,03,4.044948577880859,1154,353,618,229,1101,-345
2017-04-29 18:16:10.745,03,4.002813816070557,1017,323,602,218,1059,-332
2017-04-29 21:13:00.934,03,3.718743085861206,965,318,587,214,1029,-330
2017-04-29 23:39:31.011,03,3.6481339931488037,940,316,577,214,1007,-321
2017-04-30 01:07:20.392,03,3.5913095474243164,927,307,575,211,1000,-316
2017-04-30 03:33:35.161,03,3.5146656036376953,906,296,569,215,980,-315
2017-04-30 04:02:48.881,03,3.5039827823638916,901,301,569,212,976,-309
2017-04-30 05:01:15.282,03,3.472320318222046,891,296,565,209,970,-317
2017-04-30 05:30:28.115,03,3.46189284324646,893,298,569,212,970,-306
2017-04-30 07:56:26.846,03,3.3806755542755127,1001,311,702,255,1283,-382
2017-04-30 08:25:37.480,03,3.370790481567383,1039,316,955,331,1850,-566
2017-05-04 17:03:05.625,03,5.437784671783447,3656,819,980,-252,3584,725
2017-05-04 18:02:31.214,03,5.41225528717041,3344,773,938,-254,3614,745
2017-05-04 20:59:01.681,03,5.337085247039795,2681,662,842,-242,3669,755
2017-05-04 23:25:06.220,03,5.288120746612549,2359,601,779,-235,3664,757
2017-05-05 03:18:49.624,03,5.240046977996826,3279,711,2315,-405,3577,745
2017-05-05 07:41:33.048,03,5.192839622497559,2535,583,2086,-181,3503,738
2017-04-30 09:53:10.031,03,3.3511929512023926,2941,834,2222,36,2571,-580
2017-04-30 10:22:22.673,03,3.3609631061553955,3054,802,2937,-108,2799,-602
2017-04-30 11:20:53.519,03,3.400620460510254,3579,775,1509,79,3031,-629
2017-04-30 11:50:17.106,03,3.472320318222046,4076,811,1372,117,3085,-609
2017-04-30 14:47:29.889,03,3.472320318222046,5058,839,1399,225,3300,-627
2017-04-30 16:44:56.384,03,3.3806755542755127,4163,753,1260,241,3577,-677
2017-04-30 19:13:03.797,03,3.3906185626983643,3565,785,1297,176,3545,-687
2017-05-04 13:37:22.233,03,5.463556289672852,-1,0,-1,0,-1,0
2017-05-04 13:38:05.400,03,5.216336727142334,-1,0,-1,0,-1,0
2017-05-04 14:01:24.884,03,5.288120746612549,4958,956,1145,-259,3386,696
2017-05-04 16:03:15.469,03,5.437784671783447,4051,889,1029,-263,3536,729
2017-05-04 16:33:12.614,03,5.437784671783447,3848,840,1000,-252,3557,707
2017-05-04 17:32:57.994,03,5.41225528717041,3509,801,959,-257,3598,733
2017-05-04 18:32:06.082,03,5.361908912658691,3209,761,918,-254,3634,742
2017-05-04 19:01:36.113,03,5.386964321136475,3073,742,903,-250,3636,754
2017-05-04 19:31:01.838,03,5.386964321136475,2958,707,885,-239,3650,736
2017-05-04 20:29:46.463,03,5.361908912658691,2762,688,853,-247,3664,769
2017-05-04 21:28:15.417,03,5.312490463256836,2611,656,831,-239,3668,759
2017-05-04 21:57:28.685,03,5.312490463256836,2538,641,816,-238,3675,760
2017-04-27 07:29:17.702,03,4.574644565582275,623,262,612,237,604,-222
2017-04-27 08:27:37.993,03,4.556562900543213,627,263,612,241,608,-222
2017-04-27 08:56:48.497,03,4.556562900543213,625,266,613,233,604,-221
2017-05-05 00:52:44.694,03,5.263974189758301,2221,568,752,-225,3656,765
2017-05-05 01:21:57.756,03,5.263974189758301,2176,567,742,-227,3655,762
2017-05-05 01:51:11.175,03,5.263974189758301,2132,556,736,-224,3651,766
2017-05-05 04:17:13.292,03,5.240046977996826,2948,567,6039,-25,3444,662
2017-05-05 04:46:24.893,03,5.216336727142334,2867,542,6619,-88,3421,637
2017-05-05 05:44:47.702,03,5.216336727142334,2761,570,3370,109,3482,691
2017-05-05 06:13:58.894,03,5.216336727142334,2702,581,2843,3,3501,705
2017-05-05 08:39:56.032,03,5.192839622497559,2423,556,1896,-227,3500,733
2017-05-05 09:09:08.371,03,5.192839622497559,2377,548,1804,-242,3493,736
2017-05-05 09:38:24.579,03,5.192839622497559,2333,553,1719,-257,3492,744
2017-05-05 10:07:43.914,03,4.969010353088379,2287,537,1647,-264,3485,730
2017-05-05 10:37:04.133,03,5.100930690765381,2237,537,1578,-276,3485,750
2017-05-05 11:06:26.698,03,5.169552803039551,2189,525,1517,-284,3475,748
2017-05-05 11:35:58.416,03,5.192839622497559,2150,508,1465,-284,3474,734
2017-05-05 12:05:37.602,03,5.216336727142334,2109,522,1413,-291,3469,744
2017-05-05 12:35:21.794,03,5.192839622497559,2065,510,1370,-287,3467,751
2017-05-05 13:35:08.126,03,5.216336727142334,1975,489,1289,-290,3454,744
2017-05-05 15:05:16.233,03,5.263974189758301,1865,460,1188,-288,3448,742
2017-05-05 15:35:15.474,03,5.263974189758301,1829,465,1163,-288,3445,740
2017-05-05 16:35:05.675,03,5.263974189758301,1768,451,1127,-286,3430,739
2017-04-27 09:26:00.396,03,4.574644565582275,622,261,614,232,605,-227
2017-04-27 10:24:41.822,03,4.667248249053955,622,256,612,237,606,-216
2017-05-05 18:33:45.843,03,5.240046977996826,1654,435,1057,-280,3399,735
2017-05-05 20:02:09.030,03,5.216336727142334,1600,428,1004,-267,3380,759
2017-05-05 21:00:44.196,03,5.192839622497559,1567,427,972,-268,3355,757
2017-05-05 21:29:57.548,03,5.169552803039551,1552,425,958,-268,3354,752
2017-05-05 22:28:22.135,03,5.146474838256836,1526,419,929,-262,3333,756
2017-05-05 23:26:45.367,03,5.146474838256836,1506,413,907,-260,3320,744
2017-05-05 23:55:56.368,03,5.169552803039551,1494,409,893,-255,3310,747
2017-05-06 01:52:37.623,03,5.146474838256836,1454,394,852,-246,3285,746
2017-05-06 02:21:47.628,03,5.123601913452148,1448,402,844,-244,3283,748
2017-05-06 03:20:07.989,03,5.123601913452148,1432,392,823,-238,3270,762
2017-05-06 03:49:17.768,03,5.123601913452148,1424,392,815,-239,3267,752
2017-05-06 04:18:27.172,03,5.123601913452148,1408,391,808,-238,3254,748
2017-05-06 04:47:36.317,03,5.100930690765381,1399,387,802,-235,3255,750
2017-04-27 15:16:16.761,03,4.451004981994629,1070,376,838,283,625,-238
2017-04-27 15:16:25.485,03,4.383309364318848,1072,373,835,281,624,-243
2017-04-27 15:47:59.962,03,4.629760265350342,1057,368,802,276,615,-229
2017-04-28 18:16:15.975,03,4.269668102264404,1230,388,695,240,1322,-402
2017-04-28 19:44:56.473,03,4.222748756408691,1186,374,677,237,1284,-394
2017-04-29 01:35:07.421,03,3.894629716873169,1066,356,629,223,1149,-363
2017-04-29 07:53:32.895,03,3.7673540115356445,1304,396,646,231,1147,-346
2017-05-06 06:15:04.544,03,5.100930690765381,1373,386,783,-233,3239,748
2017-05-06 07:42:33.270,03,5.100930690765381,1346,373,764,-223,3220,751
2017-05-06 09:39:11.901,03,5.0784592628479,1317,367,751,-226,3209,742
2017-05-06 10:37:46.679,03,5.100930690765381,1301,373,742,-229,3207,753
2017-05-06 11:07:12.427,03,5.123601913452148,1295,362,739,-225,3203,750
2017-05-06 11:36:44.423,03,5.123601913452148,1289,364,733,-224,3202,750
2017-05-06 13:05:52.109,03,5.100930690765381,1242,353,723,-225,3197,754
2017-05-06 14:05:43.383,03,5.123601913452148,1209,349,716,-225,3198,756
2017-05-06 15:37:06.783,03,5.100930690765381,1165,340,697,-219,3213,735
2017-05-06 16:07:01.279,03,5.123601913452148,1151,333,695,-217,3220,744
2017-05-06 17:06:32.671,03,5.100930690765381,1124,325,678,-212,3247,727
2017-05-06 18:05:59.516,03,5.100930690765381,1104,338,669,-210,3284,730
2017-05-06 19:34:33.518,03,5.0784592628479,1077,326,657,-206,3331,729
2017-05-06 20:33:18.532,03,5.056185722351074,1058,313,643,-198,3349,728
2017-05-06 21:02:32.101,03,5.056185722351074,1052,316,638,-201,3355,740
2017-05-06 21:31:44.252,03,5.034106254577637,1051,326,638,-198,3364,740
2017-05-06 22:00:55.779,03,5.012218952178955,1045,312,632,-198,3369,729
2017-05-06 22:59:17.778,03,5.012218952178955,1040,328,624,-199,3371,747
2017-05-07 00:26:49.939,03,4.990521430969238,1030,319,619,-196,3383,754
2017-05-08 10:36:47.694,03,4.763679027557373,808,280,534,-181,3182,744
2017-05-08 11:06:05.556,03,4.744075775146484,813,281,628,-213,3186,750
2017-05-08 11:35:27.883,03,4.744075775146484,928,304,1220,-396,3182,752
2017-05-08 12:04:53.591,03,4.763679027557373,1039,331,1237,-378,3184,743
2017-05-08 12:34:25.133,03,4.763679027557373,1064,332,1178,-340,3182,749
2017-05-08 13:04:00.919,03,4.783445358276367,1066,331,1123,-319,3179,729
2017-05-08 13:33:23.478,03,4.763679027557373,1061,336,1108,-306,3175,742
2017-05-08 14:02:48.632,03,4.763679027557373,1056,336,1099,-305,3183,741
2017-05-08 14:32:18.507,03,4.763679027557373,1048,338,1070,-291,3186,748
2017-05-08 15:01:56.538,03,4.763679027557373,1034,327,1036,-281,3189,727
2017-05-08 15:31:31.756,03,4.783445358276367,1021,331,1008,-281,3191,737
2017-05-08 16:01:02.683,03,4.763679027557373,1012,332,986,-274,3196,740
2017-05-08 16:32:17.154,03,4.724632740020752,1010,329,1033,-271,3205,736
2017-05-08 17:01:59.956,03,4.724632740020752,1091,339,1550,-354,3192,741
2017-05-08 17:31:40.820,03,4.724632740020752,1119,357,1596,-353,3196,742
2017-05-08 18:01:18.297,03,4.705348491668701,1303,382,2782,-390,3164,725
2017-04-29 08:22:37.495,03,3.755082607269287,1294,379,640,229,1138,-351
2017-04-29 08:51:41.953,03,3.7428908348083496,1284,385,641,230,1141,-350
2017-04-29 09:49:53.156,03,3.755082607269287,1269,389,635,227,1133,-342
2017-04-29 11:17:36.146,03,3.934506416320801,1234,387,630,222,1117,-331
2017-04-29 11:47:05.582,03,3.961547613143921,1222,380,627,223,1112,-340
2017-04-29 12:46:16.048,03,4.002813816070557,1192,370,623,224,1110,-337
2017-04-29 13:15:57.156,03,4.030805587768555,1174,366,621,221,1104,-337
2017-04-29 14:45:26.250,03,4.087979793548584,1124,351,615,226,1094,-339
2017-04-29 15:45:11.424,03,4.073534965515137,1092,344,612,224,1080,-341
2017-04-29 16:46:26.498,03,3.961547613143921,1062,338,609,222,1072,-333
2017-04-29 17:16:28.277,03,4.0591912269592285,1048,341,608,223,1072,-333
2017-04-29 19:44:55.430,03,3.8427011966705322,984,323,590,219,1041,-333
2017-04-29 20:43:41.465,03,3.755082607269287,971,329,587,215,1031,-325
2017-04-29 22:11:38.188,03,3.6831002235412598,954,315,582,214,1021,-324
2017-04-30 00:08:48.022,03,3.625189781188965,935,318,574,210,1001,-314
2017-04-30 00:38:04.332,03,3.613825559616089,931,313,574,214,999,-317
2017-04-30 01:36:36.370,03,3.5801563262939453,921,303,572,214,993,-320
2017-04-30 07:27:16.073,03,3.400620460510254,989,315,724,264,1279,-377
2017-04-30 08:54:47.990,03,3.3609631061553955,3509,1016,2237,210,2081,-479
2017-05-07 00:56:01.250,03,4.990521430969238,1027,320,615,-199,3380,754
2017-05-07 01:25:12.304,03,4.969010353088379,1025,308,614,-191,3381,738
2017-05-07 01:54:23.095,03,4.969010353088379,1020,323,612,-196,3374,758
2017-05-07 02:23:33.990,03,4.969010353088379,1015,313,606,-189,3374,751
2017-05-07 02:52:44.775,03,4.969010353088379,1014,318,606,-193,3373,753
2017-05-07 03:21:54.900,03,4.947684288024902,1010,312,606,-193,3370,743
2017-05-07 03:51:05.007,03,4.947684288024902,1004,303,603,-191,3373,734
2017-05-07 04:20:14.894,03,4.947684288024902,1000,317,601,-190,3376,760
2017-05-07 04:49:24.699,03,4.926540374755859,997,316,598,-193,3376,764
2017-05-07 06:16:53.746,03,4.926540374755859,984,305,596,-192,3356,747
2017-05-07 06:46:03.526,03,4.926540374755859,986,308,597,-190,3362,759
2017-05-07 07:15:13.183,03,4.905575752258301,979,306,594,-190,3353,772
2017-05-07 08:13:32.035,03,4.905575752258301,973,312,589,-191,3345,768
2017-05-07 08:42:41.479,03,4.905575752258301,966,304,587,-190,3330,760
2017-05-07 09:11:51.140,03,4.88478946685791,963,299,587,-187,3327,752
2017-05-07 09:41:02.201,03,4.88478946685791,960,305,585,-188,3327,760
2017-05-07 11:08:55.425,03,4.905575752258301,951,303,585,-190,3341,751
2017-05-07 13:37:08.647,03,4.947684288024902,919,294,578,-187,3361,747
2017-05-07 14:06:59.214,03,4.947684288024902,910,291,576,-185,3347,745
2017-05-08 18:30:54.707,03,4.686221122741699,1458,420,3389,-430,3153,720
2017-05-08 19:00:30.439,03,4.686221122741699,1645,450,3755,-375,3118,693
2017-05-08 19:30:06.551,03,4.667248249053955,1796,496,3235,-255,3127,710
2017-05-08 19:59:42.915,03,4.667248249053955,1833,518,2822,-214,3133,698
2017-05-08 20:29:17.880,03,4.667248249053955,1817,503,2530,-228,3125,697
2017-05-08 20:58:51.779,03,4.648428916931152,1816,500,2309,-234,3137,698
2017-05-08 21:28:25.501,03,4.648428916931152,1883,505,2491,-267,3133,688
2017-05-08 21:57:58.941,03,4.629760265350342,2163,584,2881,-292,3115,695
2017-05-08 22:27:31.859,03,4.629760265350342,2306,610,2841,-265,3116,694
2017-05-08 22:57:04.687,03,4.629760265350342,2380,624,2764,-255,3133,686
2017-05-08 23:26:37.307,03,4.629760265350342,2393,641,2535,-252,3152,687
2017-05-08 23:56:09.615,03,4.611241340637207,2369,602,2343,-247,3176,678
2017-05-09 00:25:41.653,03,4.611241340637207,2331,598,2202,-251,3201,672
2017-05-09 00:55:13.630,03,4.611241340637207,2276,574,2069,-257,3215,677
2017-05-09 01:24:45.500,03,4.592870235443115,2233,560,1949,-267,3234,678
2017-05-09 01:54:17.223,03,4.592870235443115,2197,555,1855,-268,3258,689
