when,d15cm_modulo1,d45cm_modulo1,d75cm_modulo1,d15cm_modulo2,d45cm_modulo2,d75cm_modulo2,d15cm_modulo3,d45cm_modulo3,d75cm_modulo3,d15cm_modulo4,d45cm_modulo4,d75cm_modulo4,wetness,soil_temperature,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao,vento_rajada,radiacao,precipitacao,EToPM
2017-04-25 15:00:00.000,12.4068826074289,9.74506240161043,9.83028165200366,10.7856483252265,10.6949097007993,12.1271364397443,10.0610893409932,10.3978270123073,9.755085978069,8.91017446359949,13.0852535269592,10.0610893409932,1023,27.625,30.5,30.8,29.8,63,65,58,22.8,23.5,21.1,99.89,100.01,99.89,3.6,121,7.7,3.317,0,1.03062832189397
2017-04-25 16:00:00.000,12.1919765204622,9.38029609419116,9.88670048957315,10.3845453936947,10.3644021865366,11.978342249533,9.75619462177498,10.2637218891156,9.13515781152678,8.89037328685212,13.1515236611308,9.97710943315717,1023,27.6875,31,31.6,29.9,59,64,57,22,23.3,21.5,99.81,99.89,99.81,3.3,116,7.6,3.36,0,1.06676777484537
2017-04-25 17:00:00.000,11.9942979052803,9.06119357267908,9.93079078590165,10.2435247144648,10.2334275448239,11.9330991493879,9.66390898258773,10.1577178643431,9.13140016819403,8.84574060306829,13.1972027478034,9.95598995770115,1023,27.875,31.2,31.7,30.8,58,62,54,21.9,23.1,21,99.75,99.81,99.75,3.6,121,7.6,3.06,0,0.98944534773468
2017-04-25 18:00:00.000,11.8415387374889,8.80082066330809,9.94484482129425,10.1674881964845,10.1421731317126,11.8364254820108,9.61142549930134,10.1016768616767,9.16788212689096,8.82091305155834,13.2019625152937,9.94990166243361,1023,28.0625,31.2,31.4,30.8,58,61,56,21.9,22.6,21.2,99.69,99.75,99.69,3.1,109,6.9,2.286,0,0.553030215106444
2017-04-25 19:00:00.000,11.7322639805763,8.62451391348457,9.99590907474653,10.1331510643495,10.1077275253024,12.1176728983724,9.57977796140463,10.0670577644968,9.24558207279374,8.80100910731724,13.1962786960153,9.96034588923626,1023,28.3125,30,31.3,29.4,68,69,58,23.5,23.6,21.2,99.72,99.72,99.68,4.5,80,8,1.314,0,0.301847180080857
2017-04-25 20:00:00.000,11.666998910051,8.46769026522345,10.0190727011014,10.1464480694611,10.0445401449957,12.0067464908216,9.53591479541067,10.0037940651437,9.26188905052829,8.77076649694486,13.1389458647276,9.93251190928737,1023,28.4375,28.4,30,28.2,73,75,68,23,23.5,23,99.76,99.76,99.72,2.9,89,6.6,0.2016,0.2,0.0907105750031168
2017-04-25 21:00:00.000,11.6253327239979,8.34015772871506,10.0080237730236,10.1971995103623,10.0080237730236,11.9403051804251,9.55383969506653,9.96203985061343,9.31956802943041,8.81646919392642,13.0759078323275,9.9364985993196,1023,28.625,27.4,28.4,27.4,73,74,72,22.1,22.9,22,99.79,99.79,99.76,3.5,100,6.4,0.04448,0,0.0637737242406371
2017-04-25 22:00:00.000,11.551145901161,8.20802778315498,9.98386284079756,10.2244407718576,9.95828945841031,11.8508227021105,9.58025256638867,9.87136871856379,9.3202024835936,8.80637459425872,13.044389996996,9.91738004518131,1023,28.6875,27,27.4,26.9,74,75,73,21.9,22.2,21.9,99.88,99.88,99.79,5.5,101,9.4,0,0,0.066688341978299
2017-04-25 23:00:00.000,11.4923220100406,8.08076608552058,9.96989124759669,10.2466191845388,9.93405205047764,11.7922346654198,9.59651061701603,9.83681229571213,9.34124319694265,8.79117269797235,13.0180192282738,9.88286629885594,1023,28.75,26.6,27,26.6,76,76,74,22.1,22.1,21.9,99.96,99.96,99.88,3.9,108,9.4,0,0,0.0514337163928584
2017-04-26 00:00:00.000,11.5057867007085,8.01917800099122,9.97126726516922,10.2893929114856,9.93026210143818,11.7956997469134,9.61792258263505,9.80218467360313,9.35722632526922,8.80648224889186,12.9863751718892,9.86364979601652,1023,28.8125,26.5,26.7,26.4,77,77,75,22.1,22.1,21.9,100,100,99.96,2.9,106,6.9,0,0,0.0416478690837383
