@relation faz-granjeiro-2016-completo-weka.filters.unsupervised.attribute.Remove-R1

@attribute temp_max numeric
@attribute temp_min numeric
@attribute air_moisture numeric
@attribute solar_radiation numeric
@attribute wind_speed numeric
@attribute preciptation numeric
@attribute evapotranspiration numeric

@data
26.9,23.5,88.8,4.8,60.6,0,1.4
25.5,23.7,90,4.8,36.2,27,1.3
30.2,23.8,80.2,4.8,66.1,31,1.6
29.7,24,82.3,4.8,86.1,0,1.6
30.6,24,82.3,4.8,97.1,12,1.7
30.3,23.1,83.6,4.8,116.6,30,1.7
30.5,24.6,80.9,4.8,138.4,10,1.9
30.6,23.9,78.2,3.1,133.4,0,1.7
31,24.4,78,5,94.1,0,1.8
31,24.1,75.4,6.4,102.5,0,2.2
31,23,75.1,7.9,97.2,0,2.4
30.5,22.8,80,7.3,123.5,0,2.2
27.3,22.6,89.5,2.3,80.9,0,1
26,22.5,90,1.9,56.6,32,0.9
27.9,23.3,90,3.7,46.5,8,1.1
31.2,23.5,80.3,7.3,92.6,0,2.1
31.7,23.9,77.8,8.2,93.7,0,2.4
32.1,23.8,76.9,9.2,99.9,0,2.6
31.6,24.2,80.1,9,101.2,19,2.5
29,24.3,85,5.6,58.3,3,1.6
30.5,22.8,80.6,5.3,65.5,7,1.7
31.8,24.3,77.8,8.4,96,0,2.4
31.6,23.3,79.9,6.9,74.5,0,2
32.2,22.1,79.2,8.5,78.2,0,2.3
32,22.5,78.9,8.2,87.4,0,2.3
31.3,24.3,80.3,6.1,98,0,2
30.5,24.4,79.9,5.2,91.5,0,1.8
32.5,24.2,73.9,5.4,128.2,0,2.2
32.3,24.6,74.9,7.2,173.8,0,2.7
31.3,23,83.8,7.2,102.7,0,2
31.6,23.5,78.3,7.2,116.2,8,2.3
27.9,22.8,85.3,7.2,98.4,60,1.9
31.8,23.7,77.7,7.2,97.5,0,2.2
34.8,24.4,80.5,13.8,64.1,0,3.3
28.9,23.3,88.8,5.3,86.4,17,1.5
31.7,23.5,83.2,16.6,86.4,0,3.6
32.1,25,84.2,14.6,86.4,0,3.3
32.7,24.7,83.3,15,86.4,0,3.4
33.6,24.5,80.2,18.5,86.4,0,4.2
29.9,23.6,88.5,8.8,86.4,27,2.1
32.1,24.3,83.8,23.1,86.4,0,4.8
32.4,24.6,80.3,17.4,86.4,0,3.9
34,23.8,78,21.2,86.4,4,4.7
32.2,24.2,82.9,18.4,86.4,?,4
32.5,23.1,82,22.6,86.4,0,4.7
32,25,83.4,18.6,86.4,0,4.1
31.7,24.1,82.2,15.6,86.4,0,3.5
32.9,24.3,79.9,18.8,86.4,0,4.2
33.3,24.6,81.3,19.2,86.4,0,4.3
33,24.7,82.5,19.5,86.4,4,4.3
32.1,24,84.1,18.4,86.4,0,4
32.3,23.1,85.6,18.1,86.4,0,3.9
33.5,23.3,81.5,22.7,86.4,0,4.8
32.2,23.2,82.7,18.1,86.4,0,3.9
29.2,23.6,89.1,5.7,86.4,69,1.6
30.3,23.7,88.3,13.4,86.4,0,2.9
31.4,23.7,85.8,13.1,86.4,50,3
27.7,23.8,92.4,7,86.4,0,1.7
31.1,23.4,88.2,15.3,86.4,0,3.3
32.3,23.8,83.8,18.7,86.4,0,4
32.5,23.3,84.1,19.9,86.4,0,4.2
32.3,24.2,82.5,23.3,86.4,43,4.9
32.3,22.9,85.4,20.8,86.6,0,4.3
32.4,24.1,83.3,17.1,108.1,0,3.8
32.5,22.7,82.5,21.1,103.1,0,4.4
32.7,22.6,81.7,18.6,104.5,19,4
32.6,24.3,83.8,17.2,105.8,55,3.8
32.2,24.5,85,19.3,117.2,55,4.2
31.5,24.2,84.4,17.6,116.6,0,3.8
29.5,23.7,91.6,9.9,93,15,2.2
30.7,23.8,89.8,9.4,47.6,25,2.2
29.9,23.2,90.5,13.3,58.8,29,2.8
29.7,23.8,92.3,12.3,52.1,60,2.6
27.7,24,94.9,7.4,54.2,49,1.7
25.7,23.6,95.5,3.2,64.4,7,1
31.7,23.3,89.3,13.7,86.4,0,3
29.5,24.1,90.7,10.7,86.4,4,2.4
30.5,24.1,91.9,9.7,86.4,290,2.2
29.5,22.9,93.5,7.7,86.4,0,1.8
30.6,23.8,90.3,10.2,86.4,0,2.3
31.2,23.3,89.1,18,86.4,10,3.7
31.6,24.1,84.6,23.3,86.4,25,4.7
29.6,23.5,93.8,7.3,86.4,0,1.7
32.8,23.6,83.3,17.5,86.4,0,3.8
32.6,23.5,81.7,18.1,86.4,0,3.9
32.7,23.5,84.8,16.4,86.4,0,3.6
33.4,22.7,81.7,20.6,86.4,8,4.4
31.8,23.9,87.7,10.7,86.4,0,2.5
33,23.4,81.9,18.3,86.4,0,4
30.8,23.8,86.1,8.6,86.4,0,2.2
32.2,23.4,79.4,18.7,86.4,5,4
33.3,23.7,79.7,21.3,86.4,0,4.5
32.5,24.4,78.7,20.1,86.4,144,4.3
25.5,23,94.8,2.3,86.4,0,0.8
32,22.2,84,21.2,86.4,0,4.3
32.9,23.7,82,21.9,86.4,0,4.6
32.4,23.1,82.1,20.8,86.4,0,4.3
32.1,24.8,83.7,19.3,86.4,0,4.1
32.7,23.8,81.9,22.5,86.4,9,4.6
33,23.4,79.2,17.1,86.4,0,3.8
30.9,24.2,86.4,17.7,86.4,0,3.7
32.1,23.9,82.6,19.8,86.4,0,4.1
32.5,24.1,83,20.3,86.4,0,4.3
32.6,22.6,87.4,14.4,86.4,10,3.1
31.7,22.9,85.8,18.8,86.4,0,3.8
32.6,22.8,82.9,23.3,86.4,0,4.7
30.3,22.3,87.3,12.7,86.4,0,2.7
31.7,22.8,85.2,16.4,86.4,0,3.5
33.4,23.2,80.7,22.7,86.4,0,4.7
34.2,24.6,76.9,22,86.4,5,4.7
28.8,23.9,90.8,7.7,86.4,15,1.8
32.4,24,85.6,15.8,86.4,0,3.4
29.6,23.5,89.5,14.4,86.4,0,3
31.4,23.4,89,15.5,86.4,22,3.2
31.9,23.4,86.9,17.8,86.4,0,3.7
31.5,23.6,87.7,15.9,86.4,0,3.3
32,23.5,85.7,21.5,86.4,3,4.3
32,23,83.1,19.3,86.4,0,4
32.3,22.7,82.7,20.7,86.4,0,4.2
30.8,23.2,86.6,14.2,86.4,0,3
31.7,23.2,81.9,20.6,86.4,0,4.2
33.2,23.2,76.1,21.4,86.4,0,4.5
32.3,22.2,82.4,15.9,86.4,0,3.4
31.4,22.2,82.8,20,86.4,0,4
31.8,23.7,83.9,19,86.4,0,3.9
31.8,21.3,81.6,21.7,86.4,0,4.2
32.3,22.2,82.2,19.2,86.4,0,3.9
33.4,23.6,78.9,19.2,86.4,6,4.1
32.3,22.9,83,20,86.4,0,4.1
32.1,21.9,83.3,19.5,86.4,0,3.9
32.8,22.4,83.8,21.1,86.4,0,4.2
31.6,24,85,12.8,86.4,5,2.9
32.2,23.4,89.1,12,86.4,0,2.6
32.2,23.2,84.8,19.5,86.4,0,4
32.6,23.4,84.8,19,86.4,0,3.9
32,24,85.2,16.5,86.4,0,3.5
31.9,23.5,83,17.4,86.4,0,3.6
32.8,23.8,81.6,16.9,86.4,0,3.6
