@relation faz-granjeiro-2017-janeiro-weka.filters.unsupervised.attribute.Remove-R1

@attribute temp_max numeric
@attribute temp_min numeric
@attribute air_moisture numeric
@attribute solar_radiation numeric
@attribute wind_speed numeric
@attribute preciptation numeric
@attribute evapotranspiration numeric

@data
33.495,26.085,75,16.7,97.8,0,4
32.924,25.817,76.6,15.6,68.8,0,3.6
32.278,25.162,79.1,14.8,70.6,0,3.4
32.484,23.713,82.3,17.8,81.5,0,3.9
33.783,24.484,77.5,18.5,79.6,0,4.2
33.574,24.847,75.1,15.6,85.1,0,3.7
32.794,24.653,75.9,20.8,74.2,0,4.5
28.345,23.4,85.7,9.1,39.9,57,2.1
31.255,22.274,83.3,15.2,47.1,0,3.3
32.355,23.448,81.9,13.9,50.7,3,3.1
27.259,22.513,90.6,6,10.8,0,1.5
32.15,22.609,83,19.1,61.6,22,4
31.919,22.537,78.8,19.1,79.6,0,4.1
32.073,22.561,79.7,19.2,57.9,0,4
31.357,23.304,83.4,20.3,56.1,8,4.2
31.714,23.016,80.8,19.7,70.6,0,4.2
32.691,25.404,75.7,19.1,76.1,0,4.3
28.791,23.521,86.9,7.7,21.7,4,1.8
30.52,23.088,86.3,16.4,36.3,13,3.4
30.343,23.04,85.6,15.3,36.3,20,3.2
32.794,23.424,81.1,16.3,48.9,6,3.6
31.331,24.363,84.9,17,41.7,2,3.6
31.74,23.016,83.8,19.7,50.8,6,4.1
32.639,25.016,78.8,18.7,67,0,4.1
32.098,22.513,79.9,14.9,47.2,0,3.3
32.073,24.243,78.8,19.4,67,0,4.2
30.646,23.905,82.5,16.9,59.8,0,3.6
31.204,23.833,83.3,14.5,57.9,0,3.2
31.637,23.617,83.1,18.9,56.1,54,4
32.021,23.761,77.9,22.4,79.7,5,4.7
30.748,23.785,85.3,14.6,61.6,24,3.2
