date,temp_max,temp_min,air_moisture,solar_radiation,wind_speed,preciptation,evapotranspiration
01/01/2017,33.495,26.085,75.0,16.7,97.8,0.0,4.0
02/01/2017,32.924,25.817,76.6,15.6,68.8,0.0,3.6
03/01/2017,32.278,25.162,79.1,14.8,70.6,0.0,3.4
04/01/2017,32.484,23.713,82.3,17.8,81.5,0.0,3.9
05/01/2017,33.783,24.484,77.5,18.5,79.6,0.0,4.2
06/01/2017,33.574,24.847,75.1,15.6,85.1,0.0,3.7
07/01/2017,32.794,24.653,75.9,20.8,74.2,0.0,4.5
08/01/2017,28.345,23.4,85.7,9.1,39.9,57.0,2.1
09/01/2017,31.255,22.274,83.3,15.2,47.1,0.0,3.3
10/01/2017,32.355,23.448,81.9,13.9,50.7,3.0,3.1
11/01/2017,27.259,22.513,90.6,6.0,10.8,0.0,1.5
12/01/2017,32.15,22.609,83.0,19.1,61.6,22.0,4.0
13/01/2017,31.919,22.537,78.8,19.1,79.6,0.0,4.1
14/01/2017,32.073,22.561,79.7,19.2,57.9,0.0,4.0
15/01/2017,31.357,23.304,83.4,20.3,56.1,8.0,4.2
16/01/2017,31.714,23.016,80.8,19.7,70.6,0.0,4.2
17/01/2017,32.691,25.404,75.7,19.1,76.1,0.0,4.3
18/01/2017,28.791,23.521,86.9,7.7,21.7,4.0,1.8
19/01/2017,30.52,23.088,86.3,16.4,36.3,13.0,3.4
20/01/2017,30.343,23.04,85.6,15.3,36.3,20.0,3.2
21/01/2017,32.794,23.424,81.1,16.3,48.9,6.0,3.6
22/01/2017,31.331,24.363,84.9,17.0,41.7,2.0,3.6
23/01/2017,31.74,23.016,83.8,19.7,50.8,6.0,4.1
24/01/2017,32.639,25.016,78.8,18.7,67.0,0.0,4.1
25/01/2017,32.098,22.513,79.9,14.9,47.2,0.0,3.3
26/01/2017,32.073,24.243,78.8,19.4,67.0,0.0,4.2
27/01/2017,30.646,23.905,82.5,16.9,59.8,0.0,3.6
28/01/2017,31.204,23.833,83.3,14.5,57.9,0.0,3.2
29/01/2017,31.637,23.617,83.1,18.9,56.1,54.0,4.0
30/01/2017,32.021,23.761,77.9,22.4,79.7,5.0,4.7
31/01/2017,30.748,23.785,85.3,14.6,61.6,24.0,3.2
