codigo_estacao;data;temp_inst;temp_max;temp_min;umid_inst;umid_max;umid_min;pto_orvalho_inst;pto_orvalho_max;pto_orvalho_min;pressao;pressao_max;pressao_min;vento_direcao;vento_vel; vento_rajada;radiacao;precipitacao
A359;01/04/2017 23:00;23,3;23,6;23,1;92;92;92;22,0;22,2;21,7;1002,3;1002,3;1001,7;1,2;33;4,0;-1,93;0,0
A359;01/04/2017 22:00;23,6;23,6;23,1;92;92;91;22,2;22,2;21,7;1001,7;1001,7;1001,1;2,0;102;8,3;-1,84;2,0
A359;01/04/2017 21:00;23,2;24,2;23,2;91;92;90;21,6;22,8;21,6;1001,1;1001,1;1000,6;5,2;91;8,3;28,93;1,4
A359;01/04/2017 20:00;23,9;25,7;23,9;92;92;90;22,4;24,0;22,4;1000,6;1000,6;1000,1;2,4;113;6,6;130,7;3,8
A359;01/04/2017 19:00;25,7;25,8;25,0;91;92;90;24,1;24,2;23,5;1000,1;1000,1;999,7;2,6;70;3,7;540,0;0,0
A359;01/04/2017 18:00;25,2;25,2;24,0;92;93;92;23,8;23,9;22,8;999,7;1000,2;999,7;0,5;28;2,3;665,5;0,2
A359;01/04/2017 17:00;24,1;24,3;23,7;93;93;92;22,9;23,0;22,5;1000,2;1000,8;1000,2;1,1;103;5,0;282,4;7,0
A359;01/04/2017 16:00;24,2;25,9;24,0;92;92;87;22,9;23,8;22,4;1000,8;1001,6;1000,8;2,8;44;12,0;523,4;1,4
A359;01/04/2017 15:00;25,9;27,9;25,7;88;88;76;23,7;23,7;23,0;1001,5;1001,9;1001,5;3,5;62;8,2;907,7;1,0
A359;01/04/2017 14:00;27,4;28,1;27,2;77;78;74;23,1;23,5;22,5;1001,7;1002,2;1001,7;4,6;109;7,9;1396,;0,0
A359;01/04/2017 13:00;27,2;27,2;25,6;78;86;78;23,0;23,8;22,7;1002,2;1002,2;1001,7;1,0;136;4,1;1059,;0,0
A359;01/04/2017 12:00;25,6;27,1;25,4;85;92;84;23,0;25,4;22,7;1002,0;1002,0;1001,3;1,4;191;8,0;922,0;0,2
A359;01/04/2017 11:00;25,9;26,1;24,4;92;94;92;24,5;24,8;23,4;1001,3;1001,3;1000,5;0,3;79;1,7;918,3;0,0
A359;01/04/2017 10:00;24,6;24,6;23,4;94;94;93;23,5;23,5;22,4;1000,5;1000,5;1000,2;0,7;58;6,0;183,5;6,0
A359;01/04/2017 09:00;24,2;24,7;24,2;93;94;93;23,1;23,6;23,1;1000,3;1000,3;999,4;2,8;118;6,0;2,044;8,0
A359;01/04/2017 08:00;24,5;24,6;24,4;93;93;93;23,4;23,5;23,3;999,5;999,6;999,4;0,8;25;1,8;-1,50;1,2
A359;01/04/2017 07:00;24,6;24,7;24,5;93;93;93;23,4;23,5;23,4;999,4;999,5;999,3;0,4;257;2,0;-2,17;0,0
A359;01/04/2017 06:00;24,7;24,8;24,6;93;93;93;23,5;23,6;23,4;999,5;1000,0;999,5;0,8;277;2,2;-2,15;0,0
A359;01/04/2017 05:00;24,6;24,9;24,6;93;93;92;23,4;23,6;23,4;1000,0;1000,3;999,9;1,4;290;2,6;-2,25;0,0
A359;01/04/2017 04:00;24,9;25,3;24,9;92;92;92;23,6;23,9;23,6;1000,3;1000,9;1000,3;1,0;295;2,1;-2,38;0,0
A359;01/04/2017 03:00;25,1;25,3;25,0;92;92;92;23,7;23,9;23,6;1000,9;1001,5;1000,9;1,5;35;2,3;-2,71;0,0
A359;01/04/2017 02:00;25,1;25,1;25,0;92;93;92;23,7;23,8;23,7;1001,5;1002,0;1001,5;1,4;69;3,5;-2,82;0,0
A359;01/04/2017 01:00;25,1;25,2;25,0;92;92;92;23,8;23,8;23,7;1002,0;1002,0;1001,7;2,3;64;4,7;-2,18;0,0
A359;01/04/2017 00:00;25,2;25,3;25,1;92;92;91;23,8;23,8;23,6;1001,7;1001,7;1001,4;2,7;69;4,8;-1,95;0,0
A359;02/04/2017 23:00;26,3;26,3;26,0;84;85;84;23,4;23,4;23,1;999,2;999,2;998,8;4,0;104;6,8;-3,06;0,0
A359;02/04/2017 22:00;26,0;26,2;26,0;84;84;82;23,1;23,1;22,8;998,8;998,8;997,6;2,7;98;4,9;-2,87;0,0
A359;02/04/2017 21:00;26,1;26,4;26,1;83;86;81;22,9;23,6;22,9;997,6;997,6;997,0;1,8;109;5,3;34,24;0,0
A359;02/04/2017 20:00;26,1;27,7;26,1;86;86;74;23,5;24,4;22,6;997,0;997,2;996,8;2,5;121;8,7;171,6;0,4
A359;02/04/2017 19:00;27,7;32,3;27,7;74;74;60;22,7;24,0;22,4;996,8;996,8;996,5;4,3;113;8,7;1744,;0,8
A359;02/04/2017 18:00;31,8;31,9;30,6;61;65;60;23,5;24,0;22,4;996,7;997,5;996,7;3,5;79;5,9;2398,;0,0
A359;02/04/2017 17:00;30,8;31,3;29,0;64;71;60;23,3;24,4;22,2;997,5;998,7;997,5;3,3;94;5,9;2204,;0,0
A359;02/04/2017 16:00;29,8;31,2;29,2;67;70;62;23,0;24,3;22,2;998,7;999,7;998,7;2,7;98;6,6;2668,;0,0
A359;02/04/2017 15:00;29,4;30,4;28,7;68;72;66;23,0;24,5;22,4;999,7;1000,5;999,7;3,0;128;6,3;1963,;0,0
A359;02/04/2017 14:00;28,7;30,4;28,5;72;74;67;23,1;24,4;22,4;1000,5;1000,8;1000,4;3,2;95;6,0;1653,;0,0
A359;02/04/2017 13:00;29,6;30,2;27,2;70;82;68;23,6;24,3;22,5;1000,7;1000,9;1000,7;2,3;67;4,9;3360,;0,0
A359;02/04/2017 12:00;27,4;27,4;25,1;82;89;81;24,0;24,3;23,0;1000,9;1000,9;1000,6;0,6;33;2,3;1463,;0,2
