codigo_estacao,data,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A359,01/06/2016 00:00,26.2,26.3,26.0,76,78,76,21.6,21.8,21.6,1000.1,1000.2,999.8,3.7,107,6.8,-3.54,0.0
A359,01/06/2016 05:00,26.2,26.2,25.9,79,81,79,22.3,22.5,22.2,998.9,999.3,998.8,3.8,118,7.0,-3.53,0.0
A359,01/06/2016 06:00,25.7,26.3,25.6,82,83,78,22.5,22.5,22.1,998.5,998.9,998.4,3.2,113,6.3,-3.54,0.2
A359,01/06/2016 07:00,25.3,25.9,25.0,85,87,82,22.7,22.8,22.3,998.5,998.6,998.4,4.0,105,6.8,-3.53,0.6
A359,01/06/2016 08:00,25.4,25.8,25.1,83,85,81,22.2,22.6,22.2,999.0,999.0,998.5,2.8,110,6.8,-2.54,0.0
A359,01/06/2016 09:00,25.5,25.6,25.3,82,83,82,22.3,22.3,22.1,999.5,999.6,999.0,2.9,104,5.1,14.11,0.0
A359,01/06/2016 10:00,27.1,27.1,25.5,76,82,76,22.5,22.7,22.3,1000.4,1000.4,999.5,3.4,121,7.3,244.0,0.0
A359,01/06/2016 11:00,28.7,28.9,27.1,72,76,70,23.1,23.2,22.3,1001.0,1001.0,1000.4,3.3,118,8.0,1216.,0.0
A359,01/06/2016 12:00,29.2,30.5,28.7,65,72,64,21.9,23.3,21.9,1001.2,1001.2,1000.9,3.5,147,7.5,2250.,0.0
A359,01/06/2016 13:00,31.1,31.4,29.0,58,66,57,21.8,22.8,21.5,1000.9,1001.3,1000.9,4.0,116,8.8,2511.,0.0
A359,01/06/2016 14:00,31.0,32.5,31.0,57,59,53,21.5,22.5,20.9,1000.3,1000.9,1000.3,2.4,135,8.7,2726.,0.0
A359,01/06/2016 15:00,32.3,33.2,30.5,50,59,49,20.4,22.3,20.4,999.1,1000.3,999.1,3.0,125,7.0,2435.,0.0
A359,01/06/2016 16:00,33.0,33.5,31.4,49,55,48,21.0,21.7,20.2,998.1,999.1,998.1,3.0,140,7.8,2621.,0.0
A359,01/06/2016 17:00,32.2,34.4,32.0,55,55,46,22.1,22.3,20.1,997.5,998.1,997.5,3.2,88,6.6,1890.,0.0
A359,01/06/2016 18:00,32.2,34.2,31.4,57,60,49,22.7,23.2,21.4,997.1,997.5,997.1,5.3,85,7.9,1787.,0.0
A359,01/06/2016 19:00,30.9,32.3,30.8,60,60,57,22.3,22.9,22.1,997.2,997.2,997.0,5.4,85,8.7,1420.,0.0
A359,01/06/2016 20:00,28.8,31.0,28.8,66,66,60,21.7,22.4,21.7,998.0,998.0,997.2,5.8,92,8.5,589.0,0.0
A359,01/06/2016 21:00,27.0,28.8,27.0,75,75,66,22.2,22.2,21.8,998.8,998.9,998.0,3.9,93,8.2,41.87,0.0
A359,01/06/2016 23:00,26.4,26.5,26.3,81,81,79,22.9,22.9,22.6,999.9,999.9,999.5,3.9,106,6.7,-3.54,0.0
A359,01/06/2016 22:00,26.5,27.0,26.5,79,79,75,22.6,22.7,22.2,999.5,999.5,998.8,3.7,102,7.4,-3.54,0.0
A359,01/06/2016 01:00,26.1,26.3,26.0,80,80,76,22.3,22.3,21.7,1000.1,1000.3,1000.1,2.8,111,6.0,-3.54,0.0
A359,01/06/2016 02:00,26.0,26.2,25.9,81,81,80,22.4,22.5,22.3,999.8,1000.1,999.8,3.5,106,6.4,-3.54,0.0
A359,01/06/2016 03:00,26.2,26.3,26.0,80,81,80,22.5,22.6,22.5,999.5,999.9,999.5,4.0,115,7.7,-3.54,0.0
A359,01/06/2016 04:00,25.9,26.2,25.9,81,81,80,22.4,22.5,22.3,999.3,999.5,999.3,3.2,108,6.9,-3.54,0.0
A359,02/06/2016 01:00,26.7,26.7,26.4,79,80,79,22.8,22.8,22.7,1000.7,1000.8,1000.6,3.3,102,7.0,-3.54,0.0
A359,02/06/2016 21:00,27.7,28.8,27.7,70,70,67,21.6,22.0,21.6,999.4,999.4,998.5,4.7,86,8.2,30.74,0.0
A359,02/06/2016 02:00,26.9,26.9,26.7,78,79,77,22.6,22.7,22.5,1000.5,1000.7,1000.5,3.2,113,6.4,-3.34,0.0
A359,02/06/2016 23:00,27.0,27.3,26.7,75,77,72,22.3,22.3,21.7,1000.7,1000.7,1000.0,2.3,126,6.9,-3.54,0.0
A359,02/06/2016 03:00,26.6,26.9,26.6,78,78,77,22.5,22.6,22.4,1000.0,1000.5,999.9,2.9,117,7.5,-3.53,0.0
A359,02/06/2016 22:00,26.7,27.7,26.5,77,78,70,22.3,22.5,21.6,1000.0,1000.0,999.4,1.2,86,8.0,-3.54,0.0
A359,02/06/2016 04:00,26.6,26.9,26.5,77,79,77,22.3,22.6,22.3,999.3,1000.0,999.3,2.4,96,5.0,-3.53,0.0
A359,02/06/2016 05:00,26.3,26.7,26.3,80,80,77,22.6,22.6,22.2,998.6,999.3,998.6,2.9,97,6.9,-3.54,0.0
A359,02/06/2016 06:00,26.2,26.3,26.1,81,81,80,22.6,22.7,22.5,998.1,998.6,998.1,3.9,118,7.2,-3.54,0.0
A359,02/06/2016 07:00,26.0,26.2,26.0,81,81,80,22.5,22.6,22.4,998.6,998.6,998.1,4.0,113,7.6,-3.54,0.0
A359,02/06/2016 08:00,26.4,26.5,26.0,80,81,80,22.7,22.7,22.5,999.1,999.1,998.6,3.9,113,8.2,-3.54,0.0
A359,02/06/2016 09:00,26.4,26.4,26.2,81,81,80,22.8,22.8,22.6,1000.0,1000.0,999.1,3.0,110,7.0,13.93,0.0
A359,02/06/2016 10:00,26.8,27.3,26.4,78,81,76,22.7,23.1,22.6,1000.8,1000.8,1000.0,4.2,105,7.2,220.9,0.0
A359,02/06/2016 11:00,29.1,29.2,26.8,68,78,68,22.6,23.2,22.5,1001.3,1001.3,1000.8,4.3,111,8.7,940.6,0.0
A359,02/06/2016 12:00,30.2,30.8,27.9,64,73,63,22.7,23.4,22.2,1001.6,1001.7,1001.3,5.6,103,9.3,1808.,0.0
A359,02/06/2016 13:00,31.5,32.2,29.8,59,65,57,22.4,23.3,22.0,1001.5,1001.8,1001.5,4.5,115,9.3,2590.,0.0
A359,02/06/2016 14:00,32.5,32.8,31.4,51,60,51,20.9,23.0,20.9,1000.8,1001.5,1000.8,4.5,109,8.1,3006.,0.0
A359,02/06/2016 15:00,33.6,33.8,32.3,48,53,47,21.1,22.1,20.6,999.6,1000.8,999.6,4.8,90,8.9,3127.,0.0
A359,02/06/2016 16:00,34.1,34.7,33.0,46,49,43,21.0,21.4,19.6,998.7,999.7,998.7,3.6,122,8.6,3056.,0.0
A359,02/06/2016 17:00,33.4,35.2,32.7,51,52,43,22.0,22.5,20.1,998.0,998.7,998.0,4.6,80,9.6,2550.,0.0
A359,02/06/2016 18:00,32.8,34.0,31.0,57,62,51,23.1,23.5,21.7,997.6,998.0,997.6,5.4,78,9.3,1604.,0.0
A359,02/06/2016 19:00,30.9,32.8,30.9,61,61,57,22.6,23.3,22.5,998.0,998.0,997.6,5.8,83,9.5,1585.,0.0
A359,02/06/2016 20:00,28.8,30.9,28.8,67,67,61,22.0,22.5,22.0,998.5,998.5,998.0,4.8,83,9.6,554.2,0.0
A359,02/06/2016 00:00,26.5,26.6,26.4,80,81,80,22.8,23.0,22.8,1000.6,1000.6,999.9,4.0,105,7.3,-3.54,0.0
A359,03/06/2016 20:00,28.4,29.9,28.4,72,72,66,23.0,23.0,22.5,999.1,999.1,998.3,5.4,85,10.7,282.8,0.0
A359,03/06/2016 21:00,27.5,28.4,27.4,78,78,72,23.2,23.2,22.9,999.7,999.7,999.1,5.3,89,9.0,41.13,0.0
A359,03/06/2016 22:00,27.3,27.5,27.2,77,79,77,23.0,23.4,22.9,1000.6,1000.6,999.6,4.7,103,9.0,-1.93,0.0
A359,03/06/2016 02:00,26.9,27.1,26.7,80,80,78,23.1,23.1,23.0,1001.3,1001.4,1001.2,3.0,126,6.6,-3.50,0.0
A359,03/06/2016 00:00,27.0,27.1,27.0,78,78,75,22.8,22.8,22.3,1001.3,1001.3,1000.7,1.4,111,6.9,-2.96,0.0
A359,03/06/2016 01:00,27.1,27.1,26.9,78,79,78,22.9,23.1,22.8,1001.4,1001.5,1001.3,2.9,113,6.0,-3.38,0.0
A359,03/06/2016 04:00,26.5,26.8,26.4,81,81,78,23.0,23.0,22.7,1000.0,1000.5,1000.0,3.5,112,7.1,-3.53,0.0
A359,03/06/2016 06:00,25.3,26.5,25.1,89,89,82,23.4,23.4,22.7,999.2,999.4,999.2,2.9,100,7.3,-3.28,0.8
A359,03/06/2016 05:00,26.5,26.7,26.4,82,82,80,23.1,23.1,22.9,999.4,1000.0,999.4,3.6,95,6.8,-3.51,0.0
A359,03/06/2016 03:00,26.8,26.9,26.7,78,80,78,22.7,23.1,22.7,1000.5,1001.3,1000.5,3.4,112,6.7,-3.54,0.0
A359,03/06/2016 08:00,25.0,25.4,24.9,91,91,89,23.4,23.5,23.2,999.7,999.8,999.5,0.9,99,3.4,-3.27,0.0
A359,03/06/2016 07:00,25.4,25.4,25.2,90,90,89,23.5,23.6,23.4,999.5,999.5,999.2,1.6,108,5.4,-3.51,0.0
A359,03/06/2016 10:00,26.2,26.2,25.4,89,90,89,24.3,24.3,23.7,1001.1,1001.2,1000.5,2.5,82,3.3,148.8,0.0
A359,03/06/2016 11:00,28.0,28.0,26.2,79,89,78,23.9,25.5,23.8,1001.5,1001.5,1001.0,3.4,105,6.6,936.4,0.0
A359,03/06/2016 12:00,28.8,29.8,28.0,72,79,69,23.2,24.8,22.9,1002.0,1002.0,1001.5,3.6,111,6.5,1495.,0.0
A359,03/06/2016 09:00,25.4,25.4,25.0,90,91,90,23.7,23.8,23.4,1000.5,1000.5,999.7,0.3,119,2.8,11.26,0.0
A359,03/06/2016 23:00,27.1,27.3,27.0,78,79,77,22.9,23.1,22.9,1001.2,1001.3,1000.6,5.6,104,8.8,-1.39,0.0
A359,03/06/2016 13:00,29.5,30.9,28.1,67,75,64,22.8,24.1,22.7,1001.9,1002.1,1001.9,3.9,114,6.7,1523.,0.0
A359,03/06/2016 14:00,30.2,31.5,29.4,64,70,61,22.7,23.9,22.5,1001.4,1001.9,1001.4,4.1,104,7.5,1870.,0.0
A359,03/06/2016 15:00,32.1,32.7,29.6,62,69,57,23.9,23.9,22.4,1000.2,1001.4,1000.2,4.5,76,8.3,1995.,0.0
A359,03/06/2016 16:00,32.2,32.5,30.0,59,70,58,23.0,24.2,22.6,999.3,1000.2,999.3,5.5,88,9.0,1979.,0.0
A359,03/06/2016 17:00,31.6,33.3,31.1,61,62,55,23.3,23.5,22.5,998.3,999.3,998.3,6.2,85,9.9,2267.,0.0
A359,03/06/2016 18:00,30.4,32.5,30.4,63,63,58,22.7,23.5,22.5,998.2,998.3,998.0,6.4,89,10.4,2016.,0.0
A359,03/06/2016 19:00,29.8,31.2,29.8,66,66,61,22.7,23.3,22.6,998.3,998.3,997.9,6.2,96,12.0,1321.,0.0
A359,04/06/2016 02:00,26.7,26.8,26.6,79,79,77,22.6,22.9,22.4,1001.4,1001.7,1001.4,4.7,112,9.7,-3.53,0.0
A359,04/06/2016 10:00,27.3,27.4,25.9,70,76,70,21.4,21.5,21.1,1000.3,1000.4,999.7,2.7,112,7.9,241.6,0.0
A359,04/06/2016 03:00,26.4,26.7,26.3,81,81,79,22.7,22.7,22.6,1000.6,1001.4,1000.6,4.0,119,9.4,-3.52,0.0
A359,04/06/2016 13:00,30.2,31.6,28.7,57,63,54,20.6,21.8,20.4,1001.5,1001.6,1001.4,4.4,114,10.2,2206.,0.0
A359,04/06/2016 04:00,26.1,26.4,26.1,81,81,80,22.5,22.7,22.5,1000.0,1000.6,1000.0,3.3,100,8.4,-3.54,0.0
A359,04/06/2016 05:00,26.1,26.2,25.9,80,81,80,22.3,22.6,22.2,999.3,1000.0,999.3,3.2,115,7.1,-3.54,0.0
A359,04/06/2016 11:00,28.4,28.6,27.3,66,70,65,21.4,21.8,20.8,1001.1,1001.1,1000.3,4.2,126,9.4,1212.,0.0
A359,04/06/2016 06:00,25.9,26.2,25.9,81,81,79,22.4,22.5,22.2,999.3,999.3,999.1,2.7,116,7.6,-3.47,0.0
A359,04/06/2016 14:00,30.6,31.4,29.8,55,59,53,20.6,21.7,20.3,1000.8,1001.5,1000.8,3.9,136,9.0,2577.,0.0
A359,04/06/2016 07:00,25.8,26.0,25.8,81,81,80,22.3,22.3,22.2,999.4,999.4,999.2,3.7,112,7.4,-3.54,0.0
A359,04/06/2016 12:00,29.6,29.8,28.4,61,66,60,21.2,21.6,20.9,1001.5,1001.5,1001.1,4.7,121,10.0,1999.,0.0
