location,rain,when
paraipaba,59.0,01/04/17
paraipaba,39.0,02/04/17
paraipaba,5.8,03/04/17
paraipaba,23.0,04/04/17
paraipaba,80.4,05/04/17
paraipaba,30.0,06/04/17
paraipaba,0.0,07/04/17
paraipaba,0.0,08/04/17
paraipaba,0.0,09/04/17
paraipaba,13.2,10/04/17
paraipaba,83.0,11/04/17
paraipaba,32.0,12/04/17
paraipaba,8.0,13/04/17
paraipaba,7.0,14/04/17
paraipaba,36.4,15/04/17
paraipaba,0.0,16/04/17
paraipaba,0.0,17/04/17
paraipaba,0.0,18/04/17
paraipaba,0.0,19/04/17
paraipaba,5.0,20/04/17
paraipaba,6.0,21/04/17
paraipaba,4.0,22/04/17
paraipaba,0.0,23/04/17
paraipaba,34.0,24/04/17
paraipaba,14.2,25/04/17
paraipaba,0.0,26/04/17
paraipaba,0.0,27/04/17
paraipaba,9.0,28/04/17
paraipaba,2.0,29/04/17
paraipaba,28.0,30/04/17
paraipaba,0.0,01/05/17
paraipaba,28.0,02/05/17
paraipaba,0.0,03/05/17
paraipaba,16.4,04/05/17
paraipaba,0.0,05/05/17
paraipaba,0.0,06/05/17
paraipaba,0.0,07/05/17
paraipaba,20.0,08/05/17
paraipaba,68.0,09/05/17
paraipaba,13.0,10/05/17
