when,battery,d15cm,d15cm_bias,d45cm,d45cm_bias,d75cm,d75cm_bias
27-Apr-2017 06:47:00,5.126858,972,253,669,-28,997,-162
27-Apr-2017 07:00:11,5.126858,972,253,669,-28,997,-162
27-Apr-2017 07:15:11,5.126858,969,262,668,-26,1026,-181
27-Apr-2017 07:30:11,5.126858,969,262,668,-26,1026,-181
27-Apr-2017 07:45:07,5.126858,969,250,670,-27,1037,-188
27-Apr-2017 08:00:10,5.126858,969,250,670,-27,1037,-188
27-Apr-2017 08:15:04,5.126858,969,258,666,-37,1033,-184
27-Apr-2017 08:30:07,5.126858,969,258,666,-37,1033,-184
27-Apr-2017 08:45:05,5.126858,970,256,666,-28,1033,-190
27-Apr-2017 09:00:27,5.126858,970,256,666,-28,1033,-190
27-Apr-2017 09:16:17,5.126858,973,253,669,-25,1041,-191
27-Apr-2017 09:30:24,5.126858,973,253,669,-25,1041,-191
27-Apr-2017 09:45:18,5.126858,979,253,668,-22,1045,-192
27-Apr-2017 10:16:17,5.126858,982,258,670,-26,1047,-191
27-Apr-2017 10:30:13,5.126858,982,258,670,-26,1047,-191
27-Apr-2017 10:45:12,5.126858,985,259,694,-31,1048,-191
09-May-2017 10:05:16,4.948533,793,-217,630,4,6528,-600
09-May-2017 10:06:55,4.948533,793,-217,630,4,6528,-600
09-May-2017 10:15:13,4.948533,793,-217,630,4,6528,-600
09-May-2017 10:30:14,4.948533,784,-226,628,1,6560,-620
09-May-2017 10:45:10,4.948533,784,-226,628,1,6560,-620
09-May-2017 11:00:14,4.948533,775,-218,628,3,6602,-630
09-May-2017 11:45:14,4.948533,775,-218,628,3,6602,-630
09-May-2017 12:00:15,4.948533,775,-218,628,3,6602,-630
09-May-2017 12:30:14,4.948533,771,-220,626,1,6724,-650
09-May-2017 12:45:16,4.948533,771,-220,626,1,6724,-650
09-May-2017 13:00:13,4.948533,771,-220,626,1,6724,-650
09-May-2017 13:45:14,4.970141,763,-226,628,-5,6777,-656
09-May-2017 14:00:10,4.970141,763,-226,628,-5,6777,-656
09-May-2017 14:15:12,4.970141,763,-226,628,-5,6777,-656
09-May-2017 15:00:20,4.99194,751,-233,629,-2,6848,-675
09-May-2017 15:15:13,4.99194,751,-233,629,-2,6848,-675
09-May-2017 15:32:42,4.970141,757,-225,626,-2,6915,-650
09-May-2017 16:00:15,4.99194,751,-217,626,-2,6911,-657
09-May-2017 16:15:12,4.99194,751,-217,626,-2,6911,-657
09-May-2017 16:45:15,4.99194,746,-224,622,-6,6890,-654
09-May-2017 17:00:15,4.970141,755,-222,625,-4,6914,-654
09-May-2017 17:15:17,4.970141,755,-222,625,-4,6914,-654
09-May-2017 17:30:14,4.970141,755,-222,625,-4,6914,-654
09-May-2017 18:00:13,4.970141,760,-222,619,-14,6899,-638
09-May-2017 18:15:13,4.970141,760,-222,619,-14,6899,-638
09-May-2017 18:30:17,4.948533,765,-219,616,-3,6912,-646
09-May-2017 18:45:12,4.948533,765,-219,616,-3,6912,-646
09-May-2017 19:00:13,4.948533,764,-218,617,-5,6897,-629
09-May-2017 19:30:13,4.948533,767,-219,616,-8,6893,-635
09-May-2017 19:45:17,4.948533,767,-219,616,-8,6893,-635
09-May-2017 20:00:14,4.948533,770,-217,615,-10,6905,-659
09-May-2017 20:30:14,4.948533,777,-223,613,-3,6934,-660
09-May-2017 20:45:12,4.948533,777,-223,613,-3,6934,-660
09-May-2017 21:00:18,4.948533,777,-223,613,-3,6934,-660
09-May-2017 21:30:13,4.92711,780,-223,613,1,6965,-660
09-May-2017 22:00:13,4.92711,780,-218,613,1,6956,-655
09-May-2017 22:15:12,4.92711,780,-218,613,1,6956,-655
09-May-2017 22:30:09,4.92711,781,-223,614,3,6948,-658
09-May-2017 22:45:08,4.92711,781,-223,614,3,6948,-658
09-May-2017 23:00:10,4.92711,781,-226,616,2,6951,-665
09-May-2017 23:30:13,4.92711,781,-223,615,-2,6944,-624
10-May-2017 00:15:10,4.92711,782,-222,616,-6,6941,-638
10-May-2017 00:30:10,4.905872,788,-227,615,-4,6955,-666
10-May-2017 00:45:15,4.905872,788,-227,615,-4,6955,-666
10-May-2017 01:00:18,4.905872,788,-227,615,-4,6955,-666
10-May-2017 01:15:08,4.905872,788,-227,615,-4,6955,-666
10-May-2017 01:30:15,4.905872,788,-227,615,-4,6955,-666
10-May-2017 01:45:11,4.905872,788,-227,615,-4,6955,-666
10-May-2017 02:00:15,4.905872,788,-227,615,-4,6955,-666
10-May-2017 02:15:12,4.905872,788,-227,615,-4,6955,-666
10-May-2017 02:45:13,4.905872,788,-227,615,-4,6955,-666
10-May-2017 03:00:14,4.905872,788,-227,615,-4,6955,-666
10-May-2017 03:15:11,4.905872,788,-227,615,-4,6955,-666
10-May-2017 03:30:14,4.905872,788,-227,615,-4,6955,-666
10-May-2017 04:00:13,4.905872,788,-227,615,-4,6955,-666
10-May-2017 04:15:11,4.905872,788,-227,615,-4,6955,-666
10-May-2017 04:30:13,4.905872,788,-227,615,-4,6955,-666
10-May-2017 04:45:06,4.905872,788,-227,615,-4,6955,-666
10-May-2017 05:00:08,4.905872,788,-227,615,-4,6955,-666
10-May-2017 05:15:12,4.905872,788,-227,615,-4,6955,-666
10-May-2017 05:45:11,4.905872,788,-227,615,-4,6955,-666
10-May-2017 06:00:14,4.905872,788,-227,615,-4,6955,-666
10-May-2017 06:30:12,4.905872,788,-227,615,-4,6955,-666
10-May-2017 06:45:11,4.905872,788,-227,615,-4,6955,-666
