when,module,battery,d15cm,d15cm_bias,d45cm,d45cm_bias,d75cm,d75cm_bias
2017-04-25 15:00:00.000,3,5.24004697799683,791,219,858,246,730,-192
2017-04-25 16:00:00.000,3,5.36190891265869,728,212,829,252,604,-189
2017-04-25 17:00:00.000,3,5.33708524703979,703,224,801,266,597,-205
2017-04-25 18:00:00.000,3,5.31249046325684,686,224,783,270,598,-212
2017-04-25 19:00:00.000,3,5.2639741897583,671,230,767,276,605,-217
2017-04-25 20:00:00.000,3,5.24004697799683,658,229,750,272,604,-225
2017-04-25 21:00:00.000,3,5.19283962249756,655,239,735,278,609,-224
2017-04-25 22:00:00.000,3,5.12360191345215,658,243,715,267,607,-226
2017-04-25 23:00:00.000,3,5.10093069076538,659,242,706,270,609,-229
2017-04-26 00:00:00.000,3,5.0784592628479,661,244,697,270,610,-230
2017-04-26 01:00:00.000,3,5.05618572235107,662,237,688,264,604,-232
2017-04-26 02:00:00.000,3,5.03410625457764,664,240,681,258,601,-231
2017-04-26 03:00:00.000,3,5.01221895217896,664,236,675,262,607,-236
2017-04-26 04:00:00.000,3,4.92654037475586,665,237,670,261,603,-231
2017-04-26 05:00:00.000,3,4.9476842880249,667,241,668,260,605,-230
2017-04-26 06:00:00.000,3,4.88478946685791,665,246,663,251,594,-220
2017-04-26 07:00:00.000,3,4.82347440719604,667,247,663,250,598,-221
2017-04-26 09:00:00.000,3,4.8033766746521,667,249,656,250,599,-228
2017-04-26 10:00:00.000,3,4.9055757522583,668,248,652,252,604,-228
2017-04-26 11:00:00.000,3,4.9476842880249,664,249,650,247,600,-219
2017-04-26 12:00:00.000,3,4.9476842880249,660,249,648,252,603,-229
2017-04-26 13:00:00.000,3,4.9476842880249,651,254,645,251,601,-229
2017-04-26 14:00:00.000,3,4.96901035308838,648,254,646,252,605,-224
2017-04-26 15:00:00.000,3,4.96901035308838,640,254,644,249,600,-220
2017-04-26 16:00:00.000,3,4.9476842880249,633,249,644,251,604,-228
2017-04-26 17:00:00.000,3,4.9055757522583,625,246,634,254,606,-234
2017-04-26 18:00:00.000,3,4.88478946685791,619,249,633,251,603,-227
2017-04-26 19:00:00.000,3,4.82347440719604,615,257,628,245,605,-225
2017-04-26 20:00:00.000,3,4.78344535827637,614,259,628,244,603,-229
2017-04-26 21:00:00.000,3,4.74407577514648,614,257,621,245,605,-226
2017-04-26 22:00:00.000,3,4.6862211227417,614,264,619,235,599,-219
2017-04-26 23:00:00.000,3,4.66724824905396,615,252,617,242,601,-228
2017-04-27 00:00:00.000,3,4.64842891693115,615,257,616,237,600,-230
2017-04-27 01:00:00.000,3,4.62976026535034,617,264,614,234,601,-222
2017-04-27 02:00:00.000,3,4.62976026535034,618,259,614,242,601,-229
2017-04-27 03:00:00.000,3,4.61124134063721,620,264,614,234,603,-222
2017-04-27 04:00:00.000,3,4.59287023544312,620,259,611,239,601,-227
2017-04-27 05:00:00.000,3,4.59287023544312,623,260,611,238,607,-217
2017-04-27 06:00:00.000,3,4.57464456558228,621,265,610,233,602,-214
2017-04-27 07:00:00.000,3,4.57464456558228,624,267,613,230,604,-216
2017-04-27 08:00:00.000,3,4.55656290054321,626,263,612,241,608,-222
2017-04-27 09:00:00.000,3,4.55656290054321,625,266,613,233,604,-221
2017-04-27 10:00:00.000,3,4.61124134063721,627,262,615,238,608,-223
