when,battery,temperature,wetness,rain
27-Apr-2017 07:15:04,3.806563,-127,1023,1
27-Apr-2017 07:45:01,3.897816,-127,1023,1
27-Apr-2017 08:00:01,3.819337,28.125,1023,1
27-Apr-2017 08:30:00,3.819337,28.0625,1023,1
27-Apr-2017 09:00:14,3.871301,28,1023,1
27-Apr-2017 09:16:07,3.806563,28,1014,1
27-Apr-2017 09:30:02,3.78127,25.0625,1023,1
27-Apr-2017 10:45:01,5.026084,26.6875,888,0
09-May-2017 10:05:13,4.67007,26.8125,204,1
09-May-2017 10:30:12,4.67007,26.875,246,1
09-May-2017 11:00:13,4.67007,27,232,1
09-May-2017 11:30:15,4.67007,27.0625,217,1
09-May-2017 12:30:12,4.67007,27.125,193,1
09-May-2017 13:00:11,4.67007,27.1875,213,1
09-May-2017 13:30:18,4.68961,27.3125,250,1
09-May-2017 14:00:07,4.68961,27.4375,249,1
09-May-2017 14:45:12,4.68961,27.5625,231,1
09-May-2017 15:00:16,4.67007,27.6875,208,1
09-May-2017 15:30:25,4.67007,27.8125,193,1
09-May-2017 16:00:13,4.67007,27.9375,193,1
09-May-2017 16:45:11,4.650692,28,195,1
09-May-2017 17:00:12,4.650692,28.125,195,1
09-May-2017 17:30:11,4.631474,28.125,189,1
09-May-2017 18:00:11,4.631474,28.1875,194,1
09-May-2017 18:30:13,4.612415,28.1875,206,1
09-May-2017 19:30:12,4.612415,28.125,195,1
09-May-2017 20:00:10,4.593512,28.0625,214,1
09-May-2017 20:30:10,4.593512,28,205,1
09-May-2017 21:00:11,4.574762,27.9375,195,1
09-May-2017 22:00:14,4.574762,27.8125,193,1
09-May-2017 22:30:07,4.574762,27.75,195,1
09-May-2017 23:00:10,4.556166,27.625,208,1
09-May-2017 23:30:11,4.556166,27.5625,207,1
10-May-2017 00:00:11,4.556166,27.5,206,1
10-May-2017 00:30:06,4.53772,27.4375,208,1
10-May-2017 01:00:10,4.53772,27.375,197,1
10-May-2017 01:30:11,4.53772,27.3125,204,1
10-May-2017 02:30:12,4.519423,27.1875,256,1
10-May-2017 03:00:12,4.519423,27.125,274,1
10-May-2017 03:30:10,4.519423,27.0625,286,1
10-May-2017 04:30:10,4.501272,26.9375,291,1
10-May-2017 05:00:07,4.501272,26.875,315,1
10-May-2017 05:30:11,4.501272,26.8125,294,1
10-May-2017 06:00:11,4.483267,26.75,285,1
10-May-2017 06:30:10,4.501272,26.6875,262,1
10-May-2017 07:00:08,4.501272,26.625,236,1
10-May-2017 07:30:11,4.519423,26.5625,238,1
10-May-2017 08:00:12,4.53772,26.5,256,1
10-May-2017 08:30:11,4.53772,26.5625,313,1
10-May-2017 09:30:12,4.574762,26.6875,1023,0
10-May-2017 10:30:16,4.574762,27,1023,0
10-May-2017 11:30:19,4.574762,27.3125,1023,0
10-May-2017 13:00:11,4.574762,27.8125,1023,0
10-May-2017 14:00:10,4.574762,28.25,1023,0
10-May-2017 14:30:07,4.556166,28.4375,1023,0
10-May-2017 15:00:13,4.556166,28.625,1023,0
10-May-2017 15:30:12,4.53772,28.8125,1023,0
10-May-2017 16:00:17,4.53772,28.9375,1023,0
10-May-2017 16:30:07,4.501272,29,1023,0
10-May-2017 17:00:07,4.483267,29.0625,1023,0
10-May-2017 17:30:07,4.465406,29.0625,1023,0
10-May-2017 18:00:07,4.447686,29.0625,1023,0
10-May-2017 18:30:05,4.430106,29.0625,1023,0
10-May-2017 19:30:10,4.412664,28.9375,1023,0
10-May-2017 20:00:06,4.39536,28.8125,1023,0
10-May-2017 21:00:08,4.378191,28.625,1023,0
10-May-2017 21:30:10,4.378191,28.5,1023,0
10-May-2017 22:00:05,4.378191,28.4375,1023,0
10-May-2017 22:30:10,4.361155,28.3125,1023,0
10-May-2017 23:00:12,4.361155,28.25,1023,0
10-May-2017 23:30:10,4.344251,28.125,1023,0
11-May-2017 00:00:06,4.344251,28.0625,1023,0
11-May-2017 00:30:10,4.344251,28,1023,0
11-May-2017 01:00:09,4.327478,27.875,1023,0
11-May-2017 01:30:06,4.327478,27.8125,1023,0
11-May-2017 02:00:05,4.310834,27.75,1023,0
11-May-2017 02:30:07,4.310834,27.625,1022,0
11-May-2017 03:00:10,4.310834,27.5625,1019,0
11-May-2017 03:30:05,4.294317,27.5,1018,0
11-May-2017 04:00:05,4.294317,27.4375,1017,0
11-May-2017 04:30:05,4.277926,27.375,876,0
11-May-2017 05:00:05,4.277926,27.25,895,0
11-May-2017 05:30:10,4.277926,27.1875,924,0
11-May-2017 06:30:05,4.261661,27.0625,851,0
11-May-2017 07:00:10,4.277926,27,823,0
11-May-2017 08:30:22,4.310834,26.9375,1023,0
11-May-2017 09:30:10,4.310834,27.125,1023,0
11-May-2017 10:00:15,4.310834,27.25,1023,0
11-May-2017 10:30:10,4.294317,27.375,1023,0
11-May-2017 11:45:10,4.277926,27.875,1023,0
11-May-2017 12:30:26,4.261661,28.4375,1023,0
11-May-2017 13:00:05,4.261661,28.6875,1023,0
11-May-2017 13:30:09,4.245518,29,1023,0
11-May-2017 14:45:12,4.229497,29.5,1023,0
11-May-2017 15:00:10,4.229497,29.6875,1023,0
11-May-2017 15:30:09,4.213597,29.8125,1023,0
11-May-2017 16:00:09,4.197815,29.9375,1023,0
11-May-2017 16:30:06,4.182152,30.0625,1023,0
11-May-2017 17:00:20,4.166605,30.0625,1023,0
11-May-2017 17:45:09,4.166605,30.125,1023,0
11-May-2017 18:00:06,4.151174,30.0625,1023,0
11-May-2017 18:30:06,4.135855,30,1023,0
11-May-2017 19:00:10,4.12065,29.9375,1023,0
11-May-2017 19:30:09,4.12065,29.875,1023,0
11-May-2017 20:30:09,4.105556,29.625,1023,0
11-May-2017 22:30:05,4.090572,29.1875,1023,0
11-May-2017 23:00:07,4.075697,29.0625,1023,0
11-May-2017 23:30:10,4.075697,28.9375,1023,0
12-May-2017 00:00:05,4.075697,28.8125,1023,0
12-May-2017 00:30:04,4.060931,28.75,1023,0
12-May-2017 01:00:09,4.060931,28.625,1023,0
12-May-2017 01:15:09,3.91894,-127,665,0
12-May-2017 01:45:05,4.031715,-127,917,0
12-May-2017 02:15:09,4.060931,-127,953,0
12-May-2017 02:45:05,4.060931,-127,952,0
12-May-2017 03:15:09,4.04627,-127,945,0
12-May-2017 03:45:09,4.04627,-127,935,0
12-May-2017 04:15:04,4.04627,-127,928,0
12-May-2017 04:45:09,4.031715,-127,931,0
12-May-2017 05:15:08,4.031715,-127,924,0
12-May-2017 06:15:08,4.017264,-127,611,0
12-May-2017 06:45:09,4.017264,-127,552,0
12-May-2017 07:15:10,4.04627,-127,617,0
12-May-2017 07:45:10,4.04627,-127,1023,0
12-May-2017 08:15:06,4.04627,-127,1023,0
12-May-2017 08:45:06,4.060931,-127,1023,0
12-May-2017 09:15:05,4.060931,-127,1023,0
12-May-2017 09:45:08,4.060931,-127,1023,0
12-May-2017 10:15:11,4.060931,-127,1023,0
12-May-2017 10:45:10,4.075697,-127,1023,0
12-May-2017 11:15:05,4.075697,-127,1023,0
12-May-2017 11:45:09,4.075697,-127,1023,0
12-May-2017 12:15:03,4.060931,-127,1023,0
12-May-2017 12:45:08,4.060931,-127,1023,0
12-May-2017 13:15:08,4.060931,-127,1023,0
12-May-2017 13:45:08,4.060931,-127,1023,0
12-May-2017 14:15:09,4.04627,-127,1023,0
12-May-2017 14:45:09,4.031715,-127,1023,0
12-May-2017 15:15:16,4.017264,-127,1023,0
12-May-2017 15:45:10,4.002917,-127,1023,0
12-May-2017 16:15:09,3.988672,-127,1023,0
12-May-2017 16:45:09,3.974528,-127,1023,0
12-May-2017 17:15:05,3.960484,-127,1023,0
12-May-2017 17:45:03,3.946538,-127,1023,0
12-May-2017 18:15:04,3.932691,-127,1023,0
12-May-2017 18:45:03,3.91894,-127,1023,0
12-May-2017 19:15:05,3.905285,-127,1023,0
12-May-2017 19:45:04,3.891725,-127,1023,0
12-May-2017 21:15:04,3.864886,-127,1023,0
12-May-2017 22:15:04,3.851604,-127,1023,0
12-May-2017 23:15:04,3.838414,-127,1023,0
13-May-2017 01:15:04,3.812302,-127,1021,0
13-May-2017 03:15:04,3.773794,-127,1018,0
13-May-2017 05:15:09,3.748551,-127,1013,0
13-May-2017 09:15:11,3.76113,-127,1023,0
13-May-2017 11:15:04,3.773794,-127,1023,0
13-May-2017 12:45:08,3.748551,-127,1023,0
13-May-2017 13:15:03,3.748551,-127,1023,0
13-May-2017 14:15:09,3.711314,-127,1023,0
13-May-2017 14:45:08,3.686898,-127,1023,0
13-May-2017 15:15:08,3.6628,-127,1023,0
14-May-2017 05:15:04,3.335764,-127,1021,0
15-May-2017 19:15:06,2.7471,-127,1023,0
18-May-2017 11:29:51,5.026084,28.625,302,1
18-May-2017 12:00:37,5.026084,28.6875,242,1
18-May-2017 12:30:42,5.026084,28.75,209,1
18-May-2017 13:00:37,5.026084,28.8125,155,1
18-May-2017 13:30:37,5.026084,28.8125,133,1
18-May-2017 14:30:42,5.026084,29,113,1
18-May-2017 15:00:37,5.026084,29.125,125,1
18-May-2017 17:30:36,5.026084,29.1875,101,1
18-May-2017 18:00:39,5.026084,29.125,91,1
19-May-2017 07:15:37,5.026084,26.8125,62,1
19-May-2017 07:45:44,5.026084,26.8125,59,1
19-May-2017 08:30:53,5.026084,26.75,75,1
19-May-2017 09:00:39,5.026084,26.8125,68,1
19-May-2017 10:30:37,5.026084,27.0625,116,1
19-May-2017 11:00:37,5.026084,27.1875,110,1
19-May-2017 15:00:39,5.026084,28.75,391,1
19-May-2017 15:30:37,5.026084,28.8125,1023,0
19-May-2017 16:30:38,5.026084,28.9375,1023,0
19-May-2017 17:00:38,5.026084,28.875,1023,0
19-May-2017 17:30:36,5.026084,28.875,1023,0
19-May-2017 18:00:37,5.026084,28.8125,1023,0
19-May-2017 18:30:36,5.026084,28.75,1022,0
19-May-2017 20:00:36,5.026084,28.4375,1022,0
19-May-2017 20:30:36,5.026084,28.3125,1023,0
19-May-2017 21:00:41,5.026084,28.25,1023,0
20-May-2017 01:30:36,5.026084,27.4375,1020,0
20-May-2017 02:00:36,5.026084,27.375,1019,0
20-May-2017 02:30:36,5.026084,27.3125,1019,0
20-May-2017 03:00:35,5.026084,27.25,1018,0
20-May-2017 03:30:36,5.026084,27.1875,1018,0
20-May-2017 04:00:36,5.026084,27.125,1017,0
20-May-2017 05:00:36,5.026084,27,1007,0
20-May-2017 05:30:36,5.026084,26.9375,459,0
20-May-2017 06:30:36,5.026084,26.8125,177,1
20-May-2017 10:30:41,5.026084,27.125,177,1
20-May-2017 11:30:38,5.026084,27.5625,145,1
20-May-2017 13:30:36,5.026084,28.5,139,1
20-May-2017 16:00:37,5.026084,29.0625,1023,0
20-May-2017 17:00:36,5.026084,29.125,1023,0
20-May-2017 17:30:37,5.026084,29.0625,1023,0
20-May-2017 19:15:42,5.003647,28.75,1023,0
20-May-2017 20:15:36,4.981408,28.5625,1023,0
20-May-2017 21:15:37,4.981408,28.3125,1023,0
20-May-2017 21:45:37,4.959366,28.25,1023,0
21-May-2017 00:45:36,4.937519,27.625,1023,0
21-May-2017 01:15:35,4.937519,27.5625,1023,0
21-May-2017 01:45:36,4.937519,27.5,1023,0
21-May-2017 03:15:35,4.937519,27.25,996,0
21-May-2017 04:15:36,4.915863,27.125,963,0
21-May-2017 04:45:36,4.915863,27.0625,950,0
21-May-2017 06:15:35,4.915863,26.9375,875,0
21-May-2017 07:15:37,4.915863,26.75,1023,0
21-May-2017 09:45:35,4.959366,26.9375,1023,0
21-May-2017 12:45:35,4.981408,28.4375,1023,0
21-May-2017 13:45:35,4.981408,29.1875,1023,0
21-May-2017 14:45:35,4.959366,29.8125,1023,0
21-May-2017 18:15:36,4.894396,30.375,1023,0
21-May-2017 19:15:36,4.873117,30.1875,1023,0
21-May-2017 19:45:36,4.873117,30.0625,1023,0
21-May-2017 20:45:36,4.852021,29.8125,1023,0
21-May-2017 21:15:35,4.852021,29.6875,1023,0
22-May-2017 00:00:35,4.810373,29,1023,0
22-May-2017 00:30:35,4.810373,28.6875,1023,0
22-May-2017 03:30:35,4.810373,28,873,0
22-May-2017 04:00:35,4.789815,27.875,847,0
22-May-2017 04:30:35,4.789815,27.75,833,0
22-May-2017 05:00:35,4.789815,27.625,792,0
22-May-2017 05:30:35,4.789815,27.5625,757,0
22-May-2017 06:00:35,4.789815,27.4375,707,0
22-May-2017 06:30:35,4.789815,27.3125,636,0
22-May-2017 07:00:35,4.789815,27.25,445,1
22-May-2017 08:00:35,4.831107,27.125,1023,0
22-May-2017 08:30:35,4.831107,27.0625,1023,0
22-May-2017 09:00:35,4.852021,27.125,1023,0
22-May-2017 10:00:37,4.852021,27.4375,1023,0
22-May-2017 10:30:34,4.873117,27.625,1023,0
22-May-2017 12:30:35,4.873117,29,1023,0
22-May-2017 13:00:36,4.873117,29.4375,1023,0
22-May-2017 14:00:35,4.852021,30.1875,1023,0
22-May-2017 17:30:37,4.789815,31.25,1023,0
22-May-2017 20:30:36,4.729185,30.5625,1023,0
22-May-2017 21:00:36,4.729185,30.4375,1023,0
22-May-2017 21:30:35,4.729185,30.25,1023,0
