tensiometer,d15cm,d45cm,d75cm,when
4,2,7,8,25/04/17 07:00
4,2,2,8,26/04/17 07:00
4,5,8,8,27/04/17 07:00
4,4,8,12,28/04/17 07:00
4,NaN,NaN,NaN,29/04/17 07:00
4,NaN,NaN,NaN,30/04/17 07:00
4,NaN,NaN,NaN,01/05/17 07:00
4,4,5,5,02/05/17 07:00
4,6,6,8,03/05/17 07:00
4,1,6,3,04/05/17 07:00
4,2,2,3,05/05/17 07:00
4,NaN,NaN,NaN,06/05/17 07:00
4,NaN,NaN,NaN,07/05/17 07:00
4,28,2,2,08/05/17 07:00
4,33,2,2,09/05/17 07:00
4,38,3,3,10/05/17 07:00
4,15,2,8,11/05/17 07:00
4,20,2,4,12/05/17 07:00
4,NaN,NaN,NaN,13/05/17 07:00
4,NaN,NaN,NaN,14/05/17 07:00
4,12,6,2,15/05/17 07:00
4,11,8,2,16/05/17 07:00
4,11,8,3,17/05/17 07:00
